lap,actual_lap_time,cf_lap_time_mean,cf_lap_time_q10,cf_lap_time_q90,lap_delta,cumulative_delta,actual_compound,cf_compound,actual_tyre_age,cf_tyre_age,actual_traffic_effect,cf_traffic_effect,pit_state,track_status,actual_position,cf_position_median,cf_position_q10,cf_position_q90,actual_lap_inferred,lap_delta_q10,lap_delta_q90,cumulative_delta_q10,cumulative_delta_q90,delta_tyre_mean,delta_pit_mean,actual_pit_state,frozen
1,101.333000,101.333000,101.333000,101.333000,0.000000,0.000000,HARD,HARD,1.000000,1.000000,0.000000,0.000000,run,GREEN,16,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
2,86.828000,86.828000,86.828000,86.828000,0.000000,0.000000,HARD,HARD,2.000000,2.000000,0.000000,0.000000,run,GREEN,15,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
3,87.096000,87.096000,87.096000,87.096000,0.000000,0.000000,HARD,HARD,3.000000,3.000000,0.000000,0.000000,run,GREEN,14,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
4,86.571000,86.571000,86.571000,86.571000,0.000000,0.000000,HARD,HARD,4.000000,4.000000,0.000000,0.000000,run,GREEN,13,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
5,84.879000,84.879000,84.879000,84.879000,0.000000,0.000000,HARD,HARD,5.000000,5.000000,0.000000,0.000000,run,GREEN,12,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
6,84.968000,84.968000,84.968000,84.968000,0.000000,0.000000,HARD,HARD,6.000000,6.000000,0.000000,0.000000,run,GREEN,11,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
7,85.384000,85.384000,85.384000,85.384000,0.000000,0.000000,HARD,HARD,7.000000,7.000000,0.000000,0.000000,run,GREEN,11,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
8,84.707000,84.707000,84.707000,84.707000,0.000000,0.000000,HARD,HARD,8.000000,8.000000,0.000000,0.000000,run,GREEN,10,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
9,85.071000,85.071000,85.071000,85.071000,0.000000,0.000000,HARD,HARD,9.000000,9.000000,0.000000,0.000000,run,GREEN,10,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
10,85.133000,85.133000,85.133000,85.133000,0.000000,0.000000,HARD,HARD,10.000000,10.000000,0.000000,0.000000,run,GREEN,9,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
11,91.029000,91.029000,91.029000,91.029000,0.000000,0.000000,HARD,HARD,11.000000,11.000000,0.000000,0.000000,run,VSC,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
12,114.214000,114.214000,114.214000,114.214000,0.000000,0.000000,HARD,HARD,12.000000,12.000000,0.000000,0.000000,run,VSC,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
13,114.861000,114.861000,114.861000,114.861000,0.000000,0.000000,HARD,HARD,13.000000,13.000000,0.000000,0.000000,run,VSC,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
14,86.130000,86.130000,86.130000,86.130000,0.000000,0.000000,HARD,HARD,14.000000,14.000000,0.000000,0.000000,run,VSC,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
15,84.098000,84.098000,84.098000,84.098000,0.000000,0.000000,HARD,HARD,15.000000,15.000000,0.000000,0.000000,run,GREEN,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
16,84.606000,84.606000,84.606000,84.606000,0.000000,0.000000,HARD,HARD,16.000000,16.000000,0.000000,0.000000,run,GREEN,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
17,84.757000,97.810065,93.962241,101.793987,13.053065,13.053065,HARD,HARD,17.000000,17.000000,0.000000,0.000000,in_lap,GREEN,6,,,,False,9.205241,17.036987,9.205241,17.036987,0.000000,13.053065,run,False
18,108.547000,110.402268,107.885917,113.151355,1.855268,14.908332,HARD,MEDIUM,18.000000,1.000000,0.000000,0.000000,out_lap,VSC,7,,,,False,-0.661083,4.604355,8.539599,21.281127,-1.529165,3.384433,in_lap,False
19,116.349000,110.953294,110.314137,111.560923,-5.395706,9.512627,MEDIUM,MEDIUM,1.000000,2.000000,0.000000,0.000000,warm_up_1,VSC,7,,,,False,-6.034863,-4.788077,3.040746,15.944493,0.003903,-5.399608,out_lap,False
20,83.566000,83.486092,82.874173,84.132330,-0.079908,9.432719,MEDIUM,MEDIUM,2.000000,3.000000,0.000000,0.000000,warm_up_2,GREEN,6,,,,False,-0.691827,0.566330,2.674371,15.848668,0.003903,-0.083810,run,False
21,83.536000,83.539903,83.521420,83.559661,0.003903,9.436622,MEDIUM,MEDIUM,3.000000,4.000000,0.000000,0.000000,run,GREEN,6,,,,False,-0.014580,0.023661,2.687105,15.854447,0.003903,0.000000,run,False
22,83.458000,83.461903,83.443420,83.481661,0.003903,9.440524,MEDIUM,MEDIUM,4.000000,5.000000,0.000000,0.000000,run,GREEN,6,,,,False,-0.014580,0.023661,2.701104,15.860225,0.003903,0.000000,run,False
23,83.516000,83.519903,83.501420,83.539661,0.003903,9.444427,MEDIUM,MEDIUM,5.000000,6.000000,0.000000,0.000000,run,GREEN,6,,,,False,-0.014580,0.023661,2.715931,15.864747,0.003903,0.000000,run,False
24,83.472000,83.475903,83.457420,83.495661,0.003903,9.448329,MEDIUM,MEDIUM,6.000000,7.000000,0.000000,0.000000,run,GREEN,6,,,,False,-0.014580,0.023661,2.730759,15.866991,0.003903,0.000000,run,False
25,83.554000,83.557903,83.539420,83.577661,0.003903,9.452232,MEDIUM,MEDIUM,7.000000,8.000000,0.000000,0.000000,run,GREEN,6,,,,False,-0.014580,0.023661,2.745586,15.869235,0.003903,0.000000,run,False
26,83.363000,83.366903,83.348420,83.386661,0.003903,9.456134,MEDIUM,MEDIUM,8.000000,9.000000,0.000000,0.000000,run,GREEN,6,,,,False,-0.014580,0.023661,2.760414,15.871479,0.003903,0.000000,run,False
27,83.740000,83.743903,83.725420,83.763661,0.003903,9.460037,MEDIUM,MEDIUM,9.000000,10.000000,0.000000,0.000000,run,GREEN,6,,,,False,-0.014580,0.023661,2.775241,15.873724,0.003903,0.000000,run,False
28,83.463000,83.466903,83.448420,83.486661,0.003903,9.463939,MEDIUM,MEDIUM,10.000000,11.000000,0.000000,0.000000,run,GREEN,6,,,,False,-0.014580,0.023661,2.790069,15.875968,0.003903,0.000000,run,False
