lap,actual_lap_time,cf_lap_time_mean,cf_lap_time_q10,cf_lap_time_q90,lap_delta,cumulative_delta,actual_compound,cf_compound,actual_tyre_age,cf_tyre_age,actual_traffic_effect,cf_traffic_effect,pit_state,track_status,actual_position,cf_position_median,cf_position_q10,cf_position_q90,actual_lap_inferred,lap_delta_q10,lap_delta_q90,cumulative_delta_q10,cumulative_delta_q90,delta_tyre_mean,delta_pit_mean,actual_pit_state,frozen
1,77.653000,77.653000,77.653000,77.653000,0.000000,0.000000,MEDIUM,MEDIUM,1.000000,1.000000,0.298352,0.298352,run,GREEN,5,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
2,72.102000,72.102000,72.102000,72.102000,0.000000,0.000000,MEDIUM,MEDIUM,2.000000,2.000000,0.227387,0.227387,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
3,72.084000,72.084000,72.084000,72.084000,0.000000,0.000000,MEDIUM,MEDIUM,3.000000,3.000000,0.015907,0.015907,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
4,71.733000,71.733000,71.733000,71.733000,0.000000,0.000000,MEDIUM,MEDIUM,4.000000,4.000000,0.014770,0.014770,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
5,71.846000,71.846000,71.846000,71.846000,0.000000,0.000000,MEDIUM,MEDIUM,5.000000,5.000000,0.021676,0.021676,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
6,71.845000,71.845000,71.845000,71.845000,0.000000,0.000000,MEDIUM,MEDIUM,6.000000,6.000000,0.047759,0.047759,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
7,72.072000,72.072000,72.072000,72.072000,0.000000,0.000000,MEDIUM,MEDIUM,7.000000,7.000000,0.144734,0.144734,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
8,72.396000,72.396000,72.396000,72.396000,0.000000,0.000000,MEDIUM,MEDIUM,8.000000,8.000000,0.262862,0.262862,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
9,72.558000,72.558000,72.558000,72.558000,0.000000,0.000000,MEDIUM,MEDIUM,9.000000,9.000000,0.262122,0.262122,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
10,72.875000,72.875000,72.875000,72.875000,0.000000,0.000000,MEDIUM,MEDIUM,10.000000,10.000000,0.292567,0.292567,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
11,74.413000,74.413000,74.413000,74.413000,0.000000,0.000000,MEDIUM,MEDIUM,11.000000,11.000000,0.282205,0.282205,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
12,73.340000,73.340000,73.340000,73.340000,0.000000,0.000000,MEDIUM,MEDIUM,12.000000,12.000000,0.252785,0.252785,run,GREEN,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
13,72.789000,72.789000,72.789000,72.789000,0.000000,0.000000,MEDIUM,MEDIUM,13.000000,13.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
14,72.607000,72.607000,72.607000,72.607000,0.000000,0.000000,MEDIUM,MEDIUM,14.000000,14.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
15,72.765000,72.765000,72.765000,72.765000,0.000000,0.000000,MEDIUM,MEDIUM,15.000000,15.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
16,72.626000,72.626000,72.626000,72.626000,0.000000,0.000000,MEDIUM,MEDIUM,16.000000,16.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
17,72.733000,72.733000,72.733000,72.733000,0.000000,0.000000,MEDIUM,MEDIUM,17.000000,17.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
18,76.633000,76.527412,76.330880,76.730895,-0.105588,-0.105588,MEDIUM,MEDIUM,18.000000,18.000000,0.003762,0.003762,in_lap,GREEN,3,,,,False,-0.302120,0.097895,-0.302120,0.097895,0.000000,-0.105588,in_lap,False
19,88.537000,89.461822,88.487504,90.548279,0.924822,0.819234,HARD,HARD,1.000000,1.000000,0.049663,0.049663,out_lap,GREEN,6,,,,False,-0.049496,2.011279,-0.305836,2.068026,0.000000,0.924822,out_lap,False
20,71.480000,71.456035,71.098200,71.829325,-0.023965,0.795269,HARD,HARD,2.000000,2.000000,0.145386,0.145386,warm_up_1,GREEN,5,,,,False,-0.381800,0.349325,-0.396413,2.069784,0.000000,-0.023965,run,False
21,71.484000,71.624727,70.974436,72.320537,0.140727,0.935996,HARD,HARD,3.000000,3.000000,0.235661,0.235661,warm_up_2,GREEN,4,,,,False,-0.509564,0.836537,-0.509772,2.470925,0.000000,0.140727,run,False
22,72.409000,72.409000,72.409000,72.409000,0.000000,0.935996,HARD,HARD,4.000000,4.000000,0.181020,0.181020,run,GREEN,3,,,,False,0.000000,0.000000,-0.509772,2.470925,0.000000,0.000000,run,False
23,71.787000,71.787000,71.787000,71.787000,0.000000,0.935996,HARD,HARD,5.000000,5.000000,0.000000,0.000000,run,GREEN,3,,,,False,0.000000,0.000000,-0.509772,2.470925,0.000000,0.000000,run,False
24,72.016000,72.016000,72.016000,72.016000,0.000000,0.935996,HARD,HARD,6.000000,6.000000,0.000000,0.000000,run,YELLOW,3,,,,False,0.000000,0.000000,-0.509772,2.470925,0.000000,0.000000,run,False
25,96.916000,96.916000,96.916000,96.916000,0.000000,0.935996,HARD,HARD,7.000000,7.000000,0.000000,0.000000,run,VSC,2,,,,False,0.000000,0.000000,-0.509772,2.470925,0.000000,0.000000,run,True
26,93.030000,93.030000,93.030000,93.030000,0.000000,0.935996,HARD,HARD,8.000000,8.000000,0.000000,0.000000,run,VSC,2,,,,False,0.000000,0.000000,-0.509772,2.470925,0.000000,0.000000,run,True
27,71.307000,71.307000,71.307000,71.307000,0.000000,0.935996,HARD,HARD,9.000000,9.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-0.509772,2.470925,0.000000,0.000000,run,False
28,71.072000,71.072000,71.072000,71.072000,0.000000,0.935996,HARD,HARD,10.000000,10.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-0.509772,2.470925,0.000000,0.000000,run,False
29,71.209000,71.209000,71.209000,71.209000,0.000000,0.935996,HARD,HARD,11.000000,11.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-0.509772,2.470925,0.000000,0.000000,run,False
30,71.041000,71.041000,71.041000,71.041000,0.000000,0.935996,HARD,HARD,12.000000,12.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-0.509772,2.470925,0.000000,0.000000,run,False
31,71.249000,71.249000,71.249000,71.249000,0.000000,0.935996,HARD,HARD,13.000000,13.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-0.509772,2.470925,0.000000,0.000000,run,False
32,71.492000,71.492000,71.492000,71.492000,0.000000,0.935996,HARD,HARD,14.000000,14.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-0.509772,2.470925,0.000000,0.000000,run,False
33,71.442000,71.442000,71.442000,71.442000,0.000000,0.935996,HARD,HARD,15.000000,15.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-0.509772,2.470925,0.000000,0.000000,run,False
34,71.846000,71.846000,71.846000,71.846000,0.000000,0.935996,HARD,HARD,16.000000,16.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-0.509772,2.470925,0.000000,0.000000,run,False
35,71.606000,71.606000,71.606000,71.606000,0.000000,0.935996,HARD,HARD,17.000000,17.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-0.509772,2.470925,0.000000,0.000000,run,False
36,71.931000,71.931000,71.931000,71.931000,0.000000,0.935996,HARD,HARD,18.000000,18.000000,0.009968,0.009968,run,GREEN,2,,,,False,0.000000,0.000000,-0.509772,2.470925,0.000000,0.000000,run,False
37,71.809000,71.809000,71.809000,71.809000,0.000000,0.935996,HARD,HARD,19.000000,19.000000,0.013920,0.013920,run,GREEN,2,,,,False,0.000000,0.000000,-0.509772,2.470925,0.000000,0.000000,run,False
38,72.159000,72.159000,72.159000,72.159000,0.000000,0.935996,HARD,HARD,20.000000,20.000000,0.027590,0.027590,run,GREEN,2,,,,False,0.000000,0.000000,-0.509772,2.470925,0.000000,0.000000,run,False
39,72.245000,72.245000,72.245000,72.245000,0.000000,0.935996,HARD,HARD,21.000000,21.000000,0.042607,0.042607,run,GREEN,2,,,,False,0.000000,0.000000,-0.509772,2.470925,0.000000,0.000000,run,False
40,72.132000,72.132000,72.132000,72.132000,0.000000,0.935996,HARD,HARD,22.000000,22.000000,0.056085,0.056085,run,GREEN,2,,,,False,0.000000,0.000000,-0.509772,2.470925,0.000000,0.000000,run,False
41,71.892000,71.892000,71.892000,71.892000,0.000000,0.935996,HARD,HARD,23.000000,23.000000,0.075056,0.075056,run,GREEN,2,,,,False,0.000000,0.000000,-0.509772,2.470925,0.000000,0.000000,run,False
42,72.168000,72.168000,72.168000,72.168000,0.000000,0.935996,HARD,HARD,24.000000,24.000000,0.076693,0.076693,run,GREEN,2,,,,False,0.000000,0.000000,-0.509772,2.470925,0.000000,0.000000,run,False
43,72.087000,72.087000,72.087000,72.087000,0.000000,0.935996,HARD,HARD,25.000000,25.000000,0.123845,0.123845,run,GREEN,1,,,,False,0.000000,0.000000,-0.509772,2.470925,0.000000,0.000000,run,False
44,72.414000,76.255672,76.059141,76.459156,3.841672,4.777669,HARD,HARD,26.000000,26.000000,0.000000,0.000000,in_lap,GREEN,1,,,,False,3.645141,4.045156,3.194688,6.422616,0.000000,3.841672,run,False
45,72.356000,86.929890,85.865306,87.979810,14.573890,19.351558,HARD,MEDIUM,27.000000,1.000000,0.000000,0.000000,out_lap,GREEN,1,,,,False,13.509306,15.623810,16.864539,22.022265,-3.205623,17.779513,run,False
46,72.380000,69.278825,68.709043,69.868842,-3.101175,16.250383,HARD,MEDIUM,28.000000,2.000000,0.000000,0.000000,warm_up_1,GREEN,1,,,,False,-3.670957,-2.511158,13.654035,19.041080,-3.210045,0.108870,run,False
