lap,actual_lap_time,cf_lap_time_mean,cf_lap_time_q10,cf_lap_time_q90,lap_delta,cumulative_delta,actual_compound,cf_compound,actual_tyre_age,cf_tyre_age,actual_traffic_effect,cf_traffic_effect,pit_state,track_status,actual_position,cf_position_median,cf_position_q10,cf_position_q90,actual_lap_inferred,lap_delta_q10,lap_delta_q90,cumulative_delta_q10,cumulative_delta_q90,delta_tyre_mean,delta_pit_mean,actual_pit_state,frozen
1,130.660000,130.660000,130.660000,130.660000,0.000000,0.000000,MEDIUM,MEDIUM,1.000000,1.000000,0.000000,0.000000,run,SC,5.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
2,161.933000,161.933000,161.933000,161.933000,0.000000,0.000000,MEDIUM,MEDIUM,2.000000,2.000000,0.000000,0.000000,run,MISSING,,,,,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
3,161.933000,161.933000,161.933000,161.933000,0.000000,0.000000,MEDIUM,MEDIUM,3.000000,3.000000,0.000000,0.000000,run,MISSING,,,,,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
4,161.933000,161.933000,161.933000,161.933000,0.000000,0.000000,MEDIUM,MEDIUM,4.000000,4.000000,0.000000,0.000000,run,SC,,,,,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
5,111.956000,111.956000,111.956000,111.956000,0.000000,0.000000,MEDIUM,MEDIUM,5.000000,5.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
6,111.257000,111.257000,111.257000,111.257000,0.000000,0.000000,MEDIUM,MEDIUM,6.000000,6.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
7,110.772000,110.772000,110.772000,110.772000,0.000000,0.000000,MEDIUM,MEDIUM,7.000000,7.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
8,111.677000,111.677000,111.677000,111.677000,0.000000,0.000000,MEDIUM,MEDIUM,8.000000,8.000000,0.000000,0.000000,run,YELLOW,5.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
9,110.199000,110.199000,110.199000,110.199000,0.000000,0.000000,MEDIUM,MEDIUM,9.000000,9.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
10,110.813000,110.813000,110.813000,110.813000,0.000000,0.000000,MEDIUM,MEDIUM,10.000000,10.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
11,111.079000,111.079000,111.079000,111.079000,0.000000,0.000000,MEDIUM,MEDIUM,11.000000,11.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
12,111.420000,111.420000,111.420000,111.420000,0.000000,0.000000,MEDIUM,MEDIUM,12.000000,12.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
13,111.707000,115.568869,114.602823,116.569085,3.861869,3.861869,MEDIUM,MEDIUM,13.000000,13.000000,0.000000,0.000000,in_lap,GREEN,4.000000,,,,False,2.895823,4.862085,2.895823,4.862085,0.000000,3.861869,run,False
14,111.168000,128.896197,124.935197,132.985822,17.728197,21.590066,MEDIUM,HARD,14.000000,1.000000,0.000000,0.000000,out_lap,GREEN,4.000000,,,,False,13.767197,21.817822,16.629249,26.600402,-0.020335,17.748531,run,False
15,111.422000,111.388742,110.298605,112.417164,-0.033258,21.556808,MEDIUM,HARD,15.000000,2.000000,0.000000,0.000000,warm_up_1,GREEN,4.000000,,,,False,-1.123395,0.995164,16.648191,26.928663,-0.011762,-0.021496,run,False
16,111.769000,111.415393,110.385809,112.572878,-0.353607,21.203201,MEDIUM,HARD,16.000000,3.000000,0.000000,0.000000,warm_up_2,GREEN,4.000000,,,,False,-1.383191,0.803878,15.861697,26.796285,-0.003190,-0.350417,run,False
17,111.564000,111.569383,110.767659,112.337461,0.005383,21.208584,MEDIUM,HARD,17.000000,4.000000,0.000000,0.000000,run,GREEN,3.000000,,,,False,-0.796341,0.773461,15.554323,27.085772,0.005383,0.000000,run,False
18,122.860000,122.873955,122.022658,123.670929,0.013955,21.222539,MEDIUM,HARD,18.000000,5.000000,0.000000,0.000000,run,VSC,3.000000,,,,False,-0.837342,0.810929,15.024089,27.367596,0.013955,0.000000,run,False
19,112.803000,112.825527,111.919979,113.653931,0.022527,21.245066,MEDIUM,HARD,19.000000,6.000000,0.000000,0.000000,run,GREEN,2.000000,,,,False,-0.883021,0.850931,14.419881,28.031097,0.022527,0.000000,run,False
20,131.009000,138.295236,137.333012,139.159240,7.286236,28.531302,MEDIUM,HARD,20.000000,7.000000,0.000000,0.000000,run,VSC,2.000000,,,,False,6.324012,8.150240,20.963858,35.788105,0.031100,7.255136,in_lap,False
21,138.908000,111.688993,111.643427,111.735984,-27.219007,1.312295,HARD,HARD,1.000000,8.000000,0.000000,0.000000,run,VSC,6.000000,,,,False,-27.264573,-27.172016,-6.242456,8.659360,0.395993,-27.615000,out_lap,False
22,110.089000,110.484993,110.439427,110.531984,0.395993,1.708288,HARD,HARD,2.000000,9.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,0.350427,0.442984,-5.897065,9.081703,0.395993,0.000000,run,False
23,109.515000,109.910993,109.865427,109.957984,0.395993,2.104281,HARD,HARD,3.000000,10.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,0.350427,0.442984,-5.549991,9.542611,0.395993,0.000000,run,False
24,110.524000,110.919993,110.874427,110.966984,0.395993,2.500274,HARD,HARD,4.000000,11.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,0.350427,0.442984,-5.102382,9.917147,0.395993,0.000000,run,False
25,110.332000,110.727993,110.682427,110.774984,0.395993,2.896266,HARD,HARD,5.000000,12.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,0.350427,0.442984,-4.654542,10.266051,0.395993,0.000000,run,False
26,110.142000,110.537993,110.492427,110.584984,0.395993,3.292259,HARD,HARD,6.000000,13.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,0.350427,0.442984,-4.206702,10.607841,0.395993,0.000000,run,False
27,110.163000,110.558993,110.513427,110.605984,0.395993,3.688252,HARD,HARD,7.000000,14.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,0.350427,0.442984,-3.758862,10.970575,0.395993,0.000000,run,False
28,110.082000,110.477993,110.432427,110.524984,0.395993,4.084245,HARD,HARD,8.000000,15.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,0.350427,0.442984,-3.354362,11.395832,0.395993,0.000000,run,False
29,109.858000,110.253993,110.208427,110.300984,0.395993,4.480238,HARD,HARD,9.000000,16.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,0.350427,0.442984,-3.003116,11.821089,0.395993,0.000000,run,False
30,110.014000,110.409993,110.364427,110.456984,0.395993,4.876231,HARD,HARD,10.000000,17.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,0.350427,0.442984,-2.650393,12.207816,0.395993,0.000000,run,False
31,109.867000,110.262993,110.217427,110.309984,0.395993,5.272224,HARD,HARD,11.000000,18.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,0.350427,0.442984,-2.297670,12.570078,0.395993,0.000000,run,False
32,109.626000,110.021993,109.976427,110.068984,0.395993,5.668217,HARD,HARD,12.000000,19.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,0.350427,0.442984,-1.944947,12.932340,0.395993,0.000000,run,False
33,109.454000,109.849993,109.804427,109.896984,0.395993,6.064210,HARD,HARD,13.000000,20.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,0.350427,0.442984,-1.592224,13.294602,0.395993,0.000000,run,False
34,109.972000,110.367993,110.322427,110.414984,0.395993,6.460203,HARD,HARD,14.000000,21.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,0.350427,0.442984,-1.199173,13.656865,0.395993,0.000000,run,False
35,110.160000,110.555993,110.510427,110.602984,0.395993,6.856196,HARD,HARD,15.000000,22.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,0.350427,0.442984,-0.788614,14.062952,0.395993,0.000000,run,False
36,110.141000,110.536993,110.491427,110.583984,0.395993,7.252188,HARD,HARD,16.000000,23.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,0.350427,0.442984,-0.340323,14.465113,0.395993,0.000000,run,False
37,109.538000,109.933993,109.888427,109.980984,0.395993,7.648181,HARD,HARD,17.000000,24.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,0.350427,0.442984,0.108777,14.863345,0.395993,0.000000,run,False
38,109.880000,110.275993,110.230427,110.322984,0.395993,8.044174,HARD,HARD,18.000000,25.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,0.350427,0.442984,0.557877,15.261576,0.395993,0.000000,run,False
39,110.691000,111.086993,111.041427,111.133984,0.395993,8.440167,HARD,HARD,19.000000,26.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,0.350427,0.442984,0.938223,15.659807,0.395993,0.000000,run,False
40,109.539000,109.934993,109.889427,109.981984,0.395993,8.836160,HARD,HARD,20.000000,27.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,0.350427,0.442984,1.311389,15.995209,0.395993,0.000000,run,False
41,109.683000,110.078993,110.033427,110.125984,0.395993,9.232153,HARD,HARD,21.000000,28.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,0.350427,0.442984,1.684555,16.415051,0.395993,0.000000,run,False
42,110.152000,110.547993,110.502427,110.594984,0.395993,9.628146,HARD,HARD,22.000000,29.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,0.350427,0.442984,2.057721,16.850742,0.395993,0.000000,run,False
43,111.054000,111.449993,111.404427,111.496984,0.395993,10.024139,HARD,HARD,23.000000,30.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,0.350427,0.442984,2.454472,17.286433,0.395993,0.000000,run,False
44,110.619000,111.014993,110.969427,111.061984,0.395993,10.420132,HARD,HARD,24.000000,31.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,0.350427,0.442984,2.825157,17.702190,0.395993,0.000000,run,False
