lap,actual_lap_time,cf_lap_time_mean,cf_lap_time_q10,cf_lap_time_q90,lap_delta,cumulative_delta,actual_compound,cf_compound,actual_tyre_age,cf_tyre_age,actual_traffic_effect,cf_traffic_effect,pit_state,track_status,actual_position,cf_position_median,cf_position_q10,cf_position_q90,actual_lap_inferred,lap_delta_q10,lap_delta_q90,cumulative_delta_q10,cumulative_delta_q90,delta_tyre_mean,delta_pit_mean,actual_pit_state,frozen
1,130.660000,130.660000,130.660000,130.660000,0.000000,0.000000,MEDIUM,MEDIUM,1.000000,1.000000,0.000000,0.000000,run,SC,5.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
2,161.933000,161.933000,161.933000,161.933000,0.000000,0.000000,MEDIUM,MEDIUM,2.000000,2.000000,0.000000,0.000000,run,MISSING,,,,,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
3,161.933000,161.933000,161.933000,161.933000,0.000000,0.000000,MEDIUM,MEDIUM,3.000000,3.000000,0.000000,0.000000,run,MISSING,,,,,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
4,161.933000,161.933000,161.933000,161.933000,0.000000,0.000000,MEDIUM,MEDIUM,4.000000,4.000000,0.000000,0.000000,run,SC,,,,,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
5,111.956000,111.956000,111.956000,111.956000,0.000000,0.000000,MEDIUM,MEDIUM,5.000000,5.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
6,111.257000,111.257000,111.257000,111.257000,0.000000,0.000000,MEDIUM,MEDIUM,6.000000,6.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
7,110.772000,110.772000,110.772000,110.772000,0.000000,0.000000,MEDIUM,MEDIUM,7.000000,7.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
8,111.677000,111.677000,111.677000,111.677000,0.000000,0.000000,MEDIUM,MEDIUM,8.000000,8.000000,0.000000,0.000000,run,YELLOW,5.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
9,110.199000,110.199000,110.199000,110.199000,0.000000,0.000000,MEDIUM,MEDIUM,9.000000,9.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
10,110.813000,110.813000,110.813000,110.813000,0.000000,0.000000,MEDIUM,MEDIUM,10.000000,10.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
11,111.079000,111.079000,111.079000,111.079000,0.000000,0.000000,MEDIUM,MEDIUM,11.000000,11.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
12,111.420000,111.420000,111.420000,111.420000,0.000000,0.000000,MEDIUM,MEDIUM,12.000000,12.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
13,111.707000,111.707000,111.707000,111.707000,0.000000,0.000000,MEDIUM,MEDIUM,13.000000,13.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
14,111.168000,111.168000,111.168000,111.168000,0.000000,0.000000,MEDIUM,MEDIUM,14.000000,14.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
15,111.422000,111.422000,111.422000,111.422000,0.000000,0.000000,MEDIUM,MEDIUM,15.000000,15.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
16,111.769000,111.769000,111.769000,111.769000,0.000000,0.000000,MEDIUM,MEDIUM,16.000000,16.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
17,111.564000,111.564000,111.564000,111.564000,0.000000,0.000000,MEDIUM,MEDIUM,17.000000,17.000000,0.000000,0.000000,run,GREEN,3.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
18,122.860000,122.860000,122.860000,122.860000,0.000000,0.000000,MEDIUM,MEDIUM,18.000000,18.000000,0.000000,0.000000,run,VSC,3.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
19,112.803000,112.803000,112.803000,112.803000,0.000000,0.000000,MEDIUM,MEDIUM,19.000000,19.000000,0.000000,0.000000,run,GREEN,2.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
20,131.009000,138.264136,138.264136,138.264136,7.255136,7.255136,MEDIUM,MEDIUM,20.000000,20.000000,0.000000,0.000000,run,VSC,2.000000,,,,False,7.255136,7.255136,7.255136,7.255136,0.000000,7.255136,in_lap,False
21,138.908000,111.649321,110.726611,112.622690,-27.258679,-20.003543,HARD,MEDIUM,1.000000,21.000000,0.000000,0.000000,run,VSC,6.000000,,,,False,-28.181389,-26.285310,-20.926252,-19.030173,0.356321,-27.615000,out_lap,False
22,110.089000,110.436749,109.481474,111.458446,0.347749,-19.655794,HARD,MEDIUM,2.000000,22.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,-0.607526,1.369446,-21.539127,-17.660727,0.347749,0.000000,run,False
23,109.515000,109.854176,108.863739,110.922520,0.339176,-19.316618,HARD,MEDIUM,3.000000,23.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,-0.651261,1.407520,-22.182443,-16.251525,0.339176,0.000000,run,False
24,110.524000,110.854604,109.817473,111.973516,0.330604,-18.986014,HARD,MEDIUM,4.000000,24.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,-0.706527,1.449516,-22.869333,-14.802568,0.330604,0.000000,run,False
25,110.332000,110.654031,109.575211,111.824669,0.322031,-18.663983,HARD,MEDIUM,5.000000,25.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,-0.756789,1.492669,-23.616170,-13.322263,0.322031,0.000000,run,False
26,110.142000,110.455459,109.340324,111.677384,0.313459,-18.350524,HARD,MEDIUM,6.000000,26.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,-0.801676,1.535384,-24.405132,-11.815670,0.313459,0.000000,run,False
27,110.163000,114.329756,112.683647,115.866744,4.166756,-14.183768,HARD,MEDIUM,7.000000,27.000000,0.000000,0.000000,in_lap,GREEN,6.000000,,,,False,2.520647,5.703744,-21.602114,-5.844508,0.304887,3.861869,run,False
28,110.082000,126.368461,122.590059,130.183627,16.286461,2.102694,HARD,SOFT,8.000000,1.000000,0.000000,0.000000,out_lap,GREEN,6.000000,,,,False,12.508059,20.101627,-7.643510,11.323819,-1.462070,17.748531,run,False
29,109.858000,108.488794,107.606894,109.339693,-1.369206,0.733488,HARD,SOFT,9.000000,2.000000,0.000000,0.000000,warm_up_1,GREEN,6.000000,,,,False,-2.251106,-0.518307,-9.044978,9.878969,-1.333375,-0.035832,run,False
30,110.014000,108.387101,107.494187,109.282590,-1.626899,-0.893412,HARD,SOFT,10.000000,3.000000,0.000000,0.000000,warm_up_2,GREEN,6.000000,,,,False,-2.519813,-0.731410,-10.657049,8.541459,-1.204679,-0.422220,run,False
31,109.867000,108.791016,108.495665,109.073767,-1.075984,-1.969396,HARD,SOFT,11.000000,4.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,-1.371335,-0.793233,-11.797424,7.575683,-1.075984,0.000000,run,False
32,109.626000,108.678711,108.342118,109.007948,-0.947289,-2.916684,HARD,SOFT,12.000000,5.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,-1.283882,-0.618052,-12.771623,6.737941,-0.947289,0.000000,run,False
33,109.454000,108.635407,108.254620,109.004820,-0.818593,-3.735278,HARD,SOFT,13.000000,6.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,-1.199380,-0.449180,-13.723732,5.981355,-0.818593,0.000000,run,False
34,109.972000,109.282102,108.853917,109.678694,-0.689898,-4.425176,HARD,SOFT,14.000000,7.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,-1.118083,-0.293306,-14.646545,5.435118,-0.689898,0.000000,run,False
35,110.160000,109.598797,109.119064,110.030359,-0.561203,-4.986379,HARD,SOFT,15.000000,8.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,-1.040936,-0.129641,-15.503348,5.218708,-0.561203,0.000000,run,False
36,110.141000,109.708492,109.184288,110.182700,-0.432508,-5.418886,HARD,SOFT,16.000000,9.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,-0.956712,0.041700,-16.074451,4.891053,-0.432508,0.000000,run,False
37,109.538000,109.234188,108.651798,109.741234,-0.303812,-5.722698,HARD,SOFT,17.000000,10.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,-0.886202,0.203234,-16.607673,4.783139,-0.303812,0.000000,run,False
38,109.880000,109.704883,109.068809,110.263018,-0.175117,-5.897815,HARD,SOFT,18.000000,11.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,-0.811191,0.383018,-16.513080,4.545249,-0.175117,0.000000,run,False
39,110.691000,110.644578,109.963684,111.251477,-0.046422,-5.944237,HARD,SOFT,19.000000,12.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,-0.727316,0.560477,-16.685210,4.995941,-0.046422,0.000000,run,False
40,109.539000,109.621274,108.880945,110.281061,0.082274,-5.861963,HARD,SOFT,20.000000,13.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,-0.658055,0.742061,-16.974695,5.572176,0.082274,0.000000,run,False
41,109.683000,109.893969,109.102180,110.593878,0.210969,-5.650994,HARD,SOFT,21.000000,14.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,-0.580820,0.910878,-17.147294,6.312215,0.210969,0.000000,run,False
42,110.152000,110.491664,109.651604,111.234852,0.339664,-5.311330,HARD,SOFT,22.000000,15.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,-0.500396,1.082852,-17.584932,7.087290,0.339664,0.000000,run,False
43,111.054000,111.522360,110.634457,112.319748,0.468360,-4.842970,HARD,SOFT,23.000000,16.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,-0.419543,1.265748,-17.586931,7.699178,0.468360,0.000000,run,False
44,110.619000,111.216055,110.280434,112.061355,0.597055,-4.245916,HARD,SOFT,24.000000,17.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,-0.338566,1.442355,-17.850725,8.802049,0.597055,0.000000,run,False
