lap,actual_lap_time,cf_lap_time_mean,cf_lap_time_q10,cf_lap_time_q90,lap_delta,cumulative_delta,actual_compound,cf_compound,actual_tyre_age,cf_tyre_age,actual_traffic_effect,cf_traffic_effect,pit_state,track_status,actual_position,cf_position_median,cf_position_q10,cf_position_q90,actual_lap_inferred,lap_delta_q10,lap_delta_q90,cumulative_delta_q10,cumulative_delta_q90,delta_tyre_mean,delta_pit_mean,actual_pit_state,frozen
1,106.149000,106.149000,106.149000,106.149000,0.000000,0.000000,MEDIUM,MEDIUM,1.000000,1.000000,0.465969,0.465969,run,GREEN,19.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
2,98.019000,98.019000,98.019000,98.019000,0.000000,0.000000,MEDIUM,MEDIUM,2.000000,2.000000,0.224745,0.224745,run,GREEN,19.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
3,96.530000,96.530000,96.530000,96.530000,0.000000,0.000000,MEDIUM,MEDIUM,3.000000,3.000000,0.319187,0.319187,run,GREEN,18.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
4,96.632000,96.632000,96.632000,96.632000,0.000000,0.000000,MEDIUM,MEDIUM,4.000000,4.000000,0.349755,0.349755,run,GREEN,17.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
5,96.858000,96.858000,96.858000,96.858000,0.000000,0.000000,MEDIUM,MEDIUM,5.000000,5.000000,0.377079,0.377079,run,GREEN,17.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
6,97.522000,97.522000,97.522000,97.522000,0.000000,0.000000,MEDIUM,MEDIUM,6.000000,6.000000,0.355489,0.355489,run,GREEN,17.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
7,97.424000,97.424000,97.424000,97.424000,0.000000,0.000000,MEDIUM,MEDIUM,7.000000,7.000000,0.346934,0.346934,run,GREEN,17.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
8,97.149000,97.149000,97.149000,97.149000,0.000000,0.000000,MEDIUM,MEDIUM,8.000000,8.000000,0.359123,0.359123,run,GREEN,17.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
9,96.695000,96.695000,96.695000,96.695000,0.000000,0.000000,MEDIUM,MEDIUM,9.000000,9.000000,0.374984,0.374984,run,GREEN,17.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
10,96.943000,96.943000,96.943000,96.943000,0.000000,0.000000,MEDIUM,MEDIUM,10.000000,10.000000,0.297124,0.297124,run,GREEN,17.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
11,96.387000,96.387000,96.387000,96.387000,0.000000,0.000000,MEDIUM,MEDIUM,11.000000,11.000000,0.342164,0.342164,run,GREEN,17.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
12,97.397000,97.397000,97.397000,97.397000,0.000000,0.000000,MEDIUM,MEDIUM,12.000000,12.000000,0.360297,0.360297,run,GREEN,17.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
13,96.972000,96.972000,96.972000,96.972000,0.000000,0.000000,MEDIUM,MEDIUM,13.000000,13.000000,0.282294,0.282294,run,GREEN,17.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
14,96.490000,96.490000,96.490000,96.490000,0.000000,0.000000,MEDIUM,MEDIUM,14.000000,14.000000,0.264544,0.264544,run,GREEN,17.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
15,95.778000,95.778000,95.778000,95.778000,0.000000,0.000000,MEDIUM,MEDIUM,15.000000,15.000000,0.191729,0.191729,run,GREEN,16.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
16,96.277000,98.563189,98.294629,98.841248,2.286189,2.286189,MEDIUM,MEDIUM,16.000000,16.000000,0.059483,0.059483,in_lap,GREEN,15.000000,,,,False,2.017629,2.564248,2.017629,2.564248,0.000000,2.286189,run,False
17,96.171000,117.330873,114.898586,119.677631,21.159873,23.446062,MEDIUM,HARD,17.000000,1.000000,0.154323,0.154323,out_lap,GREEN,15.000000,,,,False,18.727586,23.506631,20.746212,26.078884,-0.107648,21.267521,run,False
18,96.037000,96.205747,95.759628,96.634001,0.168747,23.614809,MEDIUM,HARD,18.000000,2.000000,0.077835,0.077835,warm_up_1,GREEN,14.000000,,,,False,-0.277372,0.597001,20.882849,26.377173,-0.122088,0.290835,run,False
19,95.575000,95.728035,95.241035,96.247047,0.153035,23.767844,MEDIUM,HARD,19.000000,3.000000,0.076706,0.076706,warm_up_2,GREEN,13.000000,,,,False,-0.333965,0.672047,20.925822,26.724976,-0.136527,0.289562,run,False
20,95.655000,95.504034,95.163742,95.828967,-0.150966,23.616878,MEDIUM,HARD,20.000000,4.000000,0.482362,0.482362,run,GREEN,11.000000,,,,False,-0.491258,0.173967,20.672454,26.662203,-0.150966,0.000000,run,False
21,95.944000,95.778594,95.433681,96.106020,-0.165406,23.451472,MEDIUM,HARD,21.000000,5.000000,0.469345,0.469345,run,YELLOW,11.000000,,,,False,-0.510319,0.162020,20.311881,26.664329,-0.165406,0.000000,run,False
22,124.599000,124.599000,124.599000,124.599000,0.000000,23.451472,MEDIUM,HARD,22.000000,6.000000,0.373059,0.373059,run,SC,9.000000,,,,False,0.000000,0.000000,20.311881,26.664329,0.000000,0.000000,run,True
23,129.419000,139.748783,139.748783,139.748783,10.329783,33.781255,MEDIUM,HARD,23.000000,7.000000,0.057015,0.057015,run,SC,7.000000,,,,False,10.329783,10.329783,30.641664,36.994112,0.000000,10.329783,in_lap,True
24,144.563000,149.363670,149.363670,149.363670,4.800670,38.581925,HARD,HARD,1.000000,8.000000,0.242508,0.242508,run,SC,11.000000,,,,False,4.800670,4.800670,35.442333,41.794782,0.000000,4.800670,out_lap,True
25,150.461000,150.461000,150.461000,150.461000,0.000000,38.581925,HARD,HARD,2.000000,9.000000,0.000000,0.000000,run,SC,,,,,True,0.000000,0.000000,35.442333,41.794782,0.000000,0.000000,run,True
26,147.547000,147.547000,147.547000,147.547000,0.000000,38.581925,HARD,HARD,3.000000,10.000000,0.388859,0.388859,run,SC,12.000000,,,,False,0.000000,0.000000,35.442333,41.794782,0.000000,0.000000,run,True
27,135.697000,135.697000,135.697000,135.697000,0.000000,38.581925,HARD,HARD,4.000000,11.000000,0.384096,0.384096,run,SC,12.000000,,,,False,0.000000,0.000000,35.442333,41.794782,0.000000,0.000000,run,True
28,96.375000,96.538952,96.504918,96.574050,0.163952,38.745876,HARD,HARD,5.000000,12.000000,0.475147,0.475147,run,GREEN,12.000000,,,,False,0.129918,0.199050,35.577561,41.967957,0.163952,0.000000,run,False
29,96.820000,96.983952,96.949918,97.019050,0.163952,38.909828,HARD,HARD,6.000000,13.000000,0.470244,0.470244,run,GREEN,13.000000,,,,False,0.129918,0.199050,35.725633,42.147594,0.163952,0.000000,run,False
30,96.242000,96.405952,96.371918,96.441050,0.163952,39.073779,HARD,HARD,7.000000,14.000000,0.183891,0.183891,run,GREEN,14.000000,,,,False,0.129918,0.199050,35.880248,42.322992,0.163952,0.000000,run,False
31,94.637000,94.800952,94.766918,94.836050,0.163952,39.237731,HARD,HARD,8.000000,15.000000,0.180858,0.180858,run,GREEN,13.000000,,,,False,0.129918,0.199050,36.035885,42.465784,0.163952,0.000000,run,False
32,94.905000,95.068952,95.034918,95.104050,0.163952,39.401683,HARD,HARD,9.000000,16.000000,0.484413,0.484413,run,GREEN,13.000000,,,,False,0.129918,0.199050,36.192507,42.641056,0.163952,0.000000,run,False
33,94.820000,94.983952,94.949918,95.019050,0.163952,39.565634,HARD,HARD,10.000000,17.000000,0.461458,0.461458,run,GREEN,13.000000,,,,False,0.129918,0.199050,36.344094,42.830168,0.163952,0.000000,run,False
34,95.027000,95.190952,95.156918,95.226050,0.163952,39.729586,HARD,HARD,11.000000,18.000000,0.393286,0.393286,run,GREEN,13.000000,,,,False,0.129918,0.199050,36.502416,42.975048,0.163952,0.000000,run,False
35,95.547000,95.710952,95.676918,95.746050,0.163952,39.893537,HARD,HARD,12.000000,19.000000,0.474920,0.474920,run,GREEN,13.000000,,,,False,0.129918,0.199050,36.640473,43.140793,0.163952,0.000000,run,False
36,95.386000,95.549952,95.515918,95.585050,0.163952,40.057489,HARD,HARD,13.000000,20.000000,0.502772,0.502772,run,GREEN,13.000000,,,,False,0.129918,0.199050,36.809106,43.343450,0.163952,0.000000,run,False
37,95.018000,95.181952,95.147918,95.217050,0.163952,40.221440,HARD,HARD,14.000000,21.000000,0.502772,0.502772,run,GREEN,13.000000,,,,False,0.129918,0.199050,36.959460,43.524701,0.163952,0.000000,run,False
38,94.831000,94.994952,94.960918,95.030050,0.163952,40.385392,HARD,HARD,15.000000,22.000000,0.460641,0.460641,run,GREEN,12.000000,,,,False,0.129918,0.199050,37.112991,43.669265,0.163952,0.000000,run,False
39,94.222000,94.385952,94.351918,94.421050,0.163952,40.549344,HARD,HARD,16.000000,23.000000,0.042608,0.042608,run,GREEN,12.000000,,,,False,0.129918,0.199050,37.266522,43.813829,0.163952,0.000000,run,False
40,94.132000,94.295952,94.261918,94.331050,0.163952,40.713295,HARD,HARD,17.000000,24.000000,0.034552,0.034552,run,GREEN,12.000000,,,,False,0.129918,0.199050,37.420053,43.958393,0.163952,0.000000,run,False
41,94.011000,94.174952,94.140918,94.210050,0.163952,40.877247,HARD,HARD,18.000000,25.000000,0.048745,0.048745,run,GREEN,12.000000,,,,False,0.129918,0.199050,37.574490,44.102143,0.163952,0.000000,run,False
42,94.212000,94.375952,94.341918,94.411050,0.163952,41.041198,HARD,HARD,19.000000,26.000000,0.164099,0.164099,run,GREEN,12.000000,,,,False,0.129918,0.199050,37.755708,44.248740,0.163952,0.000000,run,False
43,94.168000,94.331952,94.297918,94.367050,0.163952,41.205150,HARD,HARD,20.000000,27.000000,0.419322,0.419322,run,GREEN,12.000000,,,,False,0.129918,0.199050,37.926880,44.440816,0.163952,0.000000,run,False
44,94.426000,94.589952,94.555918,94.625050,0.163952,41.369102,HARD,HARD,21.000000,28.000000,0.420164,0.420164,run,GREEN,12.000000,,,,False,0.129918,0.199050,38.074116,44.623038,0.163952,0.000000,run,False
45,95.678000,95.841952,95.807918,95.877050,0.163952,41.533053,HARD,HARD,22.000000,29.000000,0.422159,0.422159,run,GREEN,12.000000,,,,False,0.129918,0.199050,38.231788,44.809852,0.163952,0.000000,run,False
46,96.379000,96.542952,96.508918,96.578050,0.163952,41.697005,HARD,HARD,23.000000,30.000000,0.502772,0.502772,run,GREEN,12.000000,,,,False,0.129918,0.199050,38.388703,44.979502,0.163952,0.000000,run,False
47,93.732000,93.895952,93.861918,93.931050,0.163952,41.860956,HARD,HARD,24.000000,31.000000,0.037959,0.037959,run,GREEN,11.000000,,,,False,0.129918,0.199050,38.528046,45.143476,0.163952,0.000000,run,False
48,94.137000,94.300952,94.266918,94.336050,0.163952,42.024908,HARD,HARD,25.000000,32.000000,0.000000,0.000000,run,GREEN,11.000000,,,,False,0.129918,0.199050,38.665556,45.307449,0.163952,0.000000,run,False
49,94.171000,94.334952,94.300918,94.370050,0.163952,42.188860,HARD,HARD,26.000000,33.000000,0.010592,0.010592,run,GREEN,11.000000,,,,False,0.129918,0.199050,38.796036,45.503011,0.163952,0.000000,run,False
50,94.177000,94.340952,94.306918,94.376050,0.163952,42.352811,HARD,HARD,27.000000,34.000000,0.038078,0.038078,run,GREEN,11.000000,,,,False,0.129918,0.199050,38.942618,45.677689,0.163952,0.000000,run,False
51,94.101000,94.264952,94.230918,94.300050,0.163952,42.516763,HARD,HARD,28.000000,35.000000,0.054979,0.054979,run,GREEN,11.000000,,,,False,0.129918,0.199050,39.093178,45.816844,0.163952,0.000000,run,False
52,93.853000,94.016952,93.982918,94.052050,0.163952,42.680714,HARD,HARD,29.000000,36.000000,0.049176,0.049176,run,GREEN,11.000000,,,,False,0.129918,0.199050,39.246486,45.980752,0.163952,0.000000,run,False
53,93.796000,93.959952,93.925918,93.995050,0.163952,42.844666,HARD,HARD,30.000000,37.000000,0.161082,0.161082,run,GREEN,11.000000,,,,False,0.129918,0.199050,39.398986,46.150312,0.163952,0.000000,run,False
