lap,actual_lap_time,cf_lap_time_mean,cf_lap_time_q10,cf_lap_time_q90,lap_delta,cumulative_delta,actual_compound,cf_compound,actual_tyre_age,cf_tyre_age,actual_traffic_effect,cf_traffic_effect,pit_state,track_status,actual_position,cf_position_median,cf_position_q10,cf_position_q90,actual_lap_inferred,lap_delta_q10,lap_delta_q90,cumulative_delta_q10,cumulative_delta_q90,delta_tyre_mean,delta_pit_mean,actual_pit_state,frozen
1,102.498000,102.498000,102.498000,102.498000,0.000000,0.000000,MEDIUM,MEDIUM,1.000000,1.000000,0.347675,0.347675,run,GREEN,12.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
2,97.029000,97.029000,97.029000,97.029000,0.000000,0.000000,MEDIUM,MEDIUM,2.000000,2.000000,0.325730,0.325730,run,GREEN,12.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
3,97.030000,97.030000,97.030000,97.030000,0.000000,0.000000,MEDIUM,MEDIUM,3.000000,3.000000,0.340498,0.340498,run,GREEN,12.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
4,96.522000,96.522000,96.522000,96.522000,0.000000,0.000000,MEDIUM,MEDIUM,4.000000,4.000000,0.247654,0.247654,run,GREEN,12.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
5,96.380000,96.380000,96.380000,96.380000,0.000000,0.000000,MEDIUM,MEDIUM,5.000000,5.000000,0.137504,0.137504,run,GREEN,12.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
6,97.206000,97.206000,97.206000,97.206000,0.000000,0.000000,MEDIUM,MEDIUM,6.000000,6.000000,0.285194,0.285194,run,GREEN,12.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
7,96.572000,96.572000,96.572000,96.572000,0.000000,0.000000,MEDIUM,MEDIUM,7.000000,7.000000,0.212629,0.212629,run,GREEN,12.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
8,96.432000,96.432000,96.432000,96.432000,0.000000,0.000000,MEDIUM,MEDIUM,8.000000,8.000000,0.194780,0.194780,run,GREEN,12.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
9,96.629000,96.629000,96.629000,96.629000,0.000000,0.000000,MEDIUM,MEDIUM,9.000000,9.000000,0.064965,0.064965,run,GREEN,12.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
10,96.618000,96.618000,96.618000,96.618000,0.000000,0.000000,MEDIUM,MEDIUM,10.000000,10.000000,0.049588,0.049588,run,GREEN,12.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
11,96.550000,96.550000,96.550000,96.550000,0.000000,0.000000,MEDIUM,MEDIUM,11.000000,11.000000,0.062408,0.062408,run,GREEN,12.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
12,97.258000,97.258000,97.258000,97.258000,0.000000,0.000000,MEDIUM,MEDIUM,12.000000,12.000000,0.265771,0.265771,run,GREEN,12.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
13,97.049000,97.049000,97.049000,97.049000,0.000000,0.000000,MEDIUM,MEDIUM,13.000000,13.000000,0.361261,0.361261,run,GREEN,12.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
14,97.013000,97.013000,97.013000,97.013000,0.000000,0.000000,MEDIUM,MEDIUM,14.000000,14.000000,0.232420,0.232420,run,GREEN,12.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
15,96.726000,96.726000,96.726000,96.726000,0.000000,0.000000,MEDIUM,MEDIUM,15.000000,15.000000,0.091853,0.091853,run,GREEN,12.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
16,96.822000,96.822000,96.822000,96.822000,0.000000,0.000000,MEDIUM,MEDIUM,16.000000,16.000000,0.300555,0.300555,run,GREEN,12.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
17,96.720000,96.720000,96.720000,96.720000,0.000000,0.000000,MEDIUM,MEDIUM,17.000000,17.000000,0.274176,0.274176,run,GREEN,12.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
18,96.604000,96.604000,96.604000,96.604000,0.000000,0.000000,MEDIUM,MEDIUM,18.000000,18.000000,0.227261,0.227261,run,GREEN,11.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
19,96.716000,96.716000,96.716000,96.716000,0.000000,0.000000,MEDIUM,MEDIUM,19.000000,19.000000,0.093539,0.093539,run,GREEN,11.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
20,96.442000,96.442000,96.442000,96.442000,0.000000,0.000000,MEDIUM,MEDIUM,20.000000,20.000000,0.027781,0.027781,run,GREEN,9.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
21,96.180000,96.180000,96.180000,96.180000,0.000000,0.000000,MEDIUM,MEDIUM,21.000000,21.000000,0.023716,0.023716,run,YELLOW,9.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
22,126.314000,125.051452,125.051452,125.051452,-1.262548,-1.262548,MEDIUM,MEDIUM,22.000000,22.000000,0.006344,0.006344,run,SC,10.000000,,,,False,-1.262548,-1.262548,-1.262548,-1.262548,0.000000,-1.262548,in_lap,True
23,144.976000,132.206836,132.206836,132.206836,-12.769164,-14.031713,HARD,MEDIUM,1.000000,23.000000,0.006970,0.006970,run,SC,8.000000,,,,False,-12.769164,-12.769164,-14.031713,-14.031713,0.000000,-12.769164,out_lap,True
24,125.496000,126.753404,126.605696,126.906336,1.257404,-12.774308,HARD,MEDIUM,2.000000,24.000000,0.151901,0.151901,in_lap,SC,8.000000,,,,False,1.109696,1.410336,-12.922016,-12.621376,0.000000,1.257404,run,True
25,150.208000,163.107712,161.755701,164.575699,12.899712,0.125403,HARD,MEDIUM,3.000000,1.000000,0.000000,0.000000,out_lap,SC,,,,,True,11.547701,14.367699,-1.366757,1.742565,0.000000,12.899712,run,True
26,147.096000,147.096000,147.096000,147.096000,0.000000,0.125403,HARD,MEDIUM,4.000000,2.000000,0.236680,0.236680,run,SC,9.000000,,,,False,0.000000,0.000000,-1.366757,1.742565,0.000000,0.000000,run,True
27,138.047000,138.047000,138.047000,138.047000,0.000000,0.125403,HARD,MEDIUM,5.000000,3.000000,0.298763,0.298763,run,SC,9.000000,,,,False,0.000000,0.000000,-1.366757,1.742565,0.000000,0.000000,run,True
28,96.376000,95.770387,95.017377,96.524711,-0.605613,-0.480209,HARD,MEDIUM,6.000000,4.000000,0.441222,0.441222,run,GREEN,9.000000,,,,False,-1.358623,0.148711,-2.054060,1.258707,-0.501654,-0.103959,run,False
29,94.925000,94.437784,94.142686,94.738076,-0.487216,-0.967425,HARD,MEDIUM,7.000000,5.000000,0.331570,0.331570,run,GREEN,9.000000,,,,False,-0.782314,-0.186924,-2.702211,0.835661,-0.487216,0.000000,run,False
30,94.860000,94.387222,94.087967,94.692565,-0.472778,-1.440204,HARD,MEDIUM,8.000000,6.000000,0.094968,0.094968,run,GREEN,9.000000,,,,False,-0.772033,-0.167435,-3.342787,0.442087,-0.472778,0.000000,run,False
31,94.716000,94.257659,93.956453,94.569789,-0.458341,-1.898544,HARD,MEDIUM,9.000000,7.000000,0.207394,0.207394,run,GREEN,9.000000,,,,False,-0.759547,-0.146211,-4.036727,0.068454,-0.458341,0.000000,run,False
32,94.647000,94.203097,93.904632,94.521828,-0.443903,-2.342447,HARD,MEDIUM,10.000000,8.000000,0.014103,0.014103,run,GREEN,9.000000,,,,False,-0.742368,-0.125172,-4.614290,-0.118306,-0.443903,0.000000,run,False
33,94.773000,94.343535,94.033039,94.654098,-0.429465,-2.771912,HARD,MEDIUM,11.000000,9.000000,0.000000,0.000000,run,GREEN,9.000000,,,,False,-0.739961,-0.118902,-5.198316,-0.348404,-0.429465,0.000000,run,False
34,94.850000,94.434972,94.123507,94.740878,-0.415028,-3.186940,HARD,MEDIUM,12.000000,10.000000,0.000000,0.000000,run,GREEN,9.000000,,,,False,-0.726493,-0.109122,-5.864715,-0.530797,-0.415028,0.000000,run,False
35,94.999000,94.598410,94.283125,94.910488,-0.400590,-3.587530,HARD,MEDIUM,13.000000,11.000000,0.000000,0.000000,run,GREEN,9.000000,,,,False,-0.715875,-0.088512,-6.574216,-0.666433,-0.400590,0.000000,run,False
36,94.581000,94.194848,93.881907,94.514473,-0.386152,-3.973683,HARD,MEDIUM,14.000000,12.000000,0.000000,0.000000,run,GREEN,9.000000,,,,False,-0.699093,-0.066527,-7.253961,-0.822731,-0.386152,0.000000,run,False
37,94.938000,94.566285,94.245103,94.895678,-0.371715,-4.345397,HARD,MEDIUM,15.000000,13.000000,0.000000,0.000000,run,GREEN,9.000000,,,,False,-0.692897,-0.042322,-7.855400,-0.963204,-0.371715,0.000000,run,False
38,94.436000,94.078723,93.761938,94.414169,-0.357277,-4.702675,HARD,MEDIUM,16.000000,14.000000,0.000000,0.000000,run,GREEN,9.000000,,,,False,-0.674062,-0.021831,-8.510667,-0.956163,-0.357277,0.000000,run,False
39,94.526000,94.183160,93.859610,94.523454,-0.342840,-5.045514,HARD,MEDIUM,17.000000,15.000000,0.000000,0.000000,run,GREEN,9.000000,,,,False,-0.666390,-0.002546,-9.109527,-1.059159,-0.342840,0.000000,run,False
40,94.879000,94.550598,94.233374,94.891411,-0.328402,-5.373916,HARD,MEDIUM,18.000000,16.000000,0.000000,0.000000,run,GREEN,9.000000,,,,False,-0.645626,0.012411,-9.744129,-1.014136,-0.328402,0.000000,run,False
41,94.796000,94.482036,94.161551,94.830224,-0.313964,-5.687880,HARD,MEDIUM,19.000000,17.000000,0.000000,0.000000,run,GREEN,9.000000,,,,False,-0.634449,0.034224,-10.334516,-1.001229,-0.313964,0.000000,run,False
42,94.926000,94.626473,94.302072,94.982308,-0.299527,-5.987407,HARD,MEDIUM,20.000000,18.000000,0.000000,0.000000,run,GREEN,9.000000,,,,False,-0.623928,0.056308,-10.975737,-0.921933,-0.299527,0.000000,run,False
43,94.870000,94.584911,94.256324,94.949819,-0.285089,-6.272496,HARD,MEDIUM,21.000000,19.000000,0.000000,0.000000,run,GREEN,9.000000,,,,False,-0.613676,0.079819,-11.560666,-0.786778,-0.285089,0.000000,run,False
44,94.882000,94.611349,94.279787,94.984819,-0.270651,-6.543147,HARD,MEDIUM,22.000000,20.000000,0.000000,0.000000,run,GREEN,9.000000,,,,False,-0.602213,0.102819,-12.178194,-0.798596,-0.270651,0.000000,run,False
45,94.794000,94.537786,94.200739,94.924213,-0.256214,-6.799361,HARD,MEDIUM,23.000000,21.000000,0.000000,0.000000,run,GREEN,9.000000,,,,False,-0.593261,0.130213,-12.808535,-0.650988,-0.256214,0.000000,run,False
46,94.827000,94.585224,94.243106,94.979261,-0.241776,-7.041137,HARD,MEDIUM,24.000000,22.000000,0.000000,0.000000,run,GREEN,9.000000,,,,False,-0.583894,0.152261,-13.418781,-0.510371,-0.241776,0.000000,run,False
47,94.955000,94.727662,94.378758,95.125423,-0.227338,-7.268475,HARD,MEDIUM,25.000000,23.000000,0.000000,0.000000,run,GREEN,9.000000,,,,False,-0.576242,0.170423,-13.878227,-0.451894,-0.227338,0.000000,run,False
48,94.668000,94.455099,94.100970,94.857542,-0.212901,-7.481376,HARD,MEDIUM,26.000000,24.000000,0.000000,0.000000,run,GREEN,9.000000,,,,False,-0.567030,0.189542,-14.428974,-0.334771,-0.212901,0.000000,run,False
