scenario_id,driver,lap,to_compound,set_status,mode,plan,n_stops_cf,elapsed_delta_median_s,elapsed_delta_q10_s,elapsed_delta_q90_s,probability_of_gain,tyre_delta_mean_s,pit_delta_mean_s,in_support,free_stop,stop_lap_status,compile_ms
monza_alb_lap2_to_soft_new_fixed_context,ALB,2,SOFT,new,fixed_context,M-S-S,2,-55.467268,-78.338585,-37.797892,1.000000,-50.051271,-6.904430,False,True,YELLOW,66.319791
monza_alb_lap2_to_medium_new_fixed_context,ALB,2,MEDIUM,new,fixed_context,M-M-S,2,-22.697037,-35.640323,-9.405359,0.990000,-15.865363,-6.778857,True,True,YELLOW,0.752500
monza_alb_lap2_to_hard_new_fixed_context,ALB,2,HARD,new,fixed_context,M-H-S,2,-6.562338,-10.286447,-2.686769,0.986000,0.000000,-6.472685,True,True,YELLOW,0.667583
monza_alb_lap3_to_soft_new_fixed_context,ALB,3,SOFT,new,fixed_context,M-H-S-S,3,-56.473666,-78.620355,-39.661360,1.000000,-51.004813,-6.904430,False,True,RED,0.573459
monza_alb_lap3_to_medium_new_fixed_context,ALB,3,MEDIUM,new,fixed_context,M-H-M-S,3,-23.765126,-36.635350,-10.523871,0.992000,-16.934419,-6.778857,True,True,RED,0.552959
monza_alb_lap3_to_hard_new_fixed_context,ALB,3,HARD,new,fixed_context,M-H-H-S,3,-6.562338,-10.286447,-2.686769,0.986000,0.000000,-6.472685,True,True,RED,0.524125
monza_alb_lap4_to_soft_new_fixed_context,ALB,4,SOFT,new,fixed_context,M-H-S-S,3,-57.643510,-78.869493,-41.358432,1.000000,-51.958356,-6.904430,False,True,RED,0.532000
monza_alb_lap4_to_medium_new_fixed_context,ALB,4,MEDIUM,new,fixed_context,M-H-M-S,3,-24.884679,-37.693172,-11.499034,0.996000,-18.003475,-6.778857,True,True,RED,0.520667
monza_alb_lap4_to_hard_new_fixed_context,ALB,4,HARD,new,fixed_context,M-H-H-S,3,-7.459745,-11.227188,-3.720391,0.992000,-0.900875,-6.472685,True,True,RED,0.520000
monza_alb_lap5_to_soft_new_fixed_context,ALB,5,SOFT,new,fixed_context,M-H-S-S,3,-58.847545,-79.332095,-42.893168,1.000000,-52.911899,-6.904430,False,True,RED,0.512500
monza_alb_lap5_to_medium_new_fixed_context,ALB,5,MEDIUM,new,fixed_context,M-H-M-S,3,-25.976479,-38.757893,-12.709713,0.998000,-19.072531,-6.778857,True,True,RED,0.509750
monza_alb_lap5_to_hard_new_fixed_context,ALB,5,HARD,new,fixed_context,M-H-H-S,3,-8.343951,-12.069363,-4.688506,0.994000,-1.801750,-6.472685,True,True,RED,0.520167
monza_alb_lap6_to_soft_new_fixed_context,ALB,6,SOFT,new,fixed_context,M-H-S-S,3,-36.315531,-57.377314,-19.653438,0.996000,-52.434272,14.970045,False,False,YELLOW,0.514333
monza_alb_lap6_to_medium_new_fixed_context,ALB,6,MEDIUM,new,fixed_context,M-H-M-S,3,-4.599922,-18.512458,9.930458,0.636000,-19.516122,15.265962,True,False,YELLOW,0.506750
monza_alb_lap6_to_hard_new_fixed_context,ALB,6,HARD,new,fixed_context,M-H-H-S,3,12.658321,5.867371,19.799558,0.010000,-2.610228,15.397253,True,False,YELLOW,0.507875
monza_alb_lap7_to_soft_new_fixed_context,ALB,7,SOFT,new,fixed_context,M-H-S-S,3,-35.966502,-56.137745,-19.808387,0.996000,-51.909096,14.970045,False,False,GREEN,0.502667
monza_alb_lap7_to_medium_new_fixed_context,ALB,7,MEDIUM,new,fixed_context,M-H-M-S,3,-5.004186,-18.652457,9.236844,0.652000,-19.909202,15.265962,True,False,GREEN,0.498958
monza_alb_lap7_to_hard_new_fixed_context,ALB,7,HARD,new,fixed_context,M-H-H-S,3,11.912796,5.190721,19.019618,0.018000,-3.372507,15.397253,True,False,GREEN,0.505333
monza_alb_lap8_to_soft_new_fixed_context,ALB,8,SOFT,new,fixed_context,M-H-S-S,3,-35.486963,-54.828966,-19.821568,0.996000,-51.336370,14.970045,False,False,GREEN,0.506000
monza_alb_lap8_to_medium_new_fixed_context,ALB,8,MEDIUM,new,fixed_context,M-H-M-S,3,-5.359953,-18.600653,8.598783,0.666000,-20.251770,15.265962,True,False,GREEN,0.509583
