scenario_id,driver,lap,to_compound,set_status,mode,plan,n_stops_cf,elapsed_delta_median_s,elapsed_delta_q10_s,elapsed_delta_q90_s,probability_of_gain,tyre_delta_mean_s,pit_delta_mean_s,in_support,free_stop,stop_lap_status,compile_ms
monza_alb_lap2_to_soft_new_tyre_only,ALB,2,SOFT,new,tyre_only,M-S-S,2,-61.463901,-85.355142,-42.911232,1.000000,-56.552659,-6.472685,False,True,YELLOW,65.214084
monza_alb_lap2_to_medium_new_tyre_only,ALB,2,MEDIUM,new,tyre_only,M-M-S,2,-24.881511,-39.190086,-10.517311,0.990000,-18.169403,-6.472685,True,True,YELLOW,0.736000
monza_alb_lap2_to_hard_new_tyre_only,ALB,2,HARD,new,tyre_only,M-H-S,2,-6.562338,-10.286447,-2.686769,0.986000,0.000000,-6.472685,True,True,YELLOW,0.644334
monza_alb_lap3_to_soft_new_tyre_only,ALB,3,SOFT,new,tyre_only,M-H-S-S,3,-61.103811,-84.366557,-43.334103,1.000000,-56.266580,-6.472685,False,True,RED,0.522584
monza_alb_lap3_to_medium_new_tyre_only,ALB,3,MEDIUM,new,tyre_only,M-H-M-S,3,-25.457117,-39.460698,-11.723773,0.992000,-18.819350,-6.472685,True,True,RED,0.505792
monza_alb_lap3_to_hard_new_tyre_only,ALB,3,HARD,new,tyre_only,M-H-H-S,3,-6.537103,-10.260931,-2.670432,0.986000,0.023099,-6.472685,True,True,RED,0.470625
monza_alb_lap4_to_soft_new_tyre_only,ALB,4,SOFT,new,tyre_only,M-H-S-S,3,-60.788950,-83.302572,-43.743449,1.000000,-55.932951,-6.472685,False,True,RED,0.491916
monza_alb_lap4_to_medium_new_tyre_only,ALB,4,MEDIUM,new,tyre_only,M-H-M-S,3,-26.020722,-39.711076,-12.614365,0.994000,-19.418786,-6.472685,True,True,RED,0.516250
monza_alb_lap4_to_hard_new_tyre_only,ALB,4,HARD,new,tyre_only,M-H-H-S,3,-7.486604,-11.250865,-3.745437,0.992000,-0.923974,-6.472685,True,True,RED,0.514708
monza_alb_lap5_to_soft_new_tyre_only,ALB,5,SOFT,new,tyre_only,M-H-S-S,3,-60.640060,-82.179163,-43.981839,1.000000,-55.551772,-6.472685,False,True,RED,0.509250
monza_alb_lap5_to_medium_new_tyre_only,ALB,5,MEDIUM,new,tyre_only,M-H-M-S,3,-26.568509,-39.916321,-13.287377,0.998000,-19.967711,-6.472685,True,True,RED,0.500958
monza_alb_lap5_to_hard_new_tyre_only,ALB,5,HARD,new,tyre_only,M-H-H-S,3,-8.365895,-12.096270,-4.709035,0.994000,-1.824849,-6.472685,True,True,RED,0.503959
monza_alb_lap6_to_soft_new_tyre_only,ALB,6,SOFT,new,tyre_only,M-H-S-S,3,-39.079878,-60.551181,-21.442015,0.998000,-55.123045,15.185917,False,False,YELLOW,0.499542
monza_alb_lap6_to_medium_new_tyre_only,ALB,6,MEDIUM,new,tyre_only,M-H-M-S,3,-5.186638,-20.078095,9.478095,0.654000,-20.466125,15.419047,True,False,YELLOW,0.494708
monza_alb_lap6_to_hard_new_tyre_only,ALB,6,HARD,new,tyre_only,M-H-H-S,3,12.596291,5.805857,19.729667,0.010000,-2.679526,15.397253,True,False,YELLOW,0.496791
monza_alb_lap7_to_soft_new_tyre_only,ALB,7,SOFT,new,tyre_only,M-H-S-S,3,-38.659618,-58.995751,-21.457690,0.998000,-54.646769,15.185917,False,False,GREEN,0.497209
monza_alb_lap7_to_medium_new_tyre_only,ALB,7,MEDIUM,new,tyre_only,M-H-M-S,3,-5.627621,-20.235303,8.861265,0.674000,-20.914029,15.419047,True,False,GREEN,0.492958
monza_alb_lap7_to_hard_new_tyre_only,ALB,7,HARD,new,tyre_only,M-H-H-S,3,11.796422,5.088424,18.900912,0.018000,-3.488003,15.397253,True,False,GREEN,0.496875
monza_alb_lap8_to_soft_new_tyre_only,ALB,8,SOFT,new,tyre_only,M-H-S-S,3,-38.191926,-57.850329,-21.417302,0.998000,-54.122943,15.185917,False,False,GREEN,0.495833
