lap,actual_lap_time,cf_lap_time_mean,cf_lap_time_q10,cf_lap_time_q90,lap_delta,cumulative_delta,actual_compound,cf_compound,actual_tyre_age,cf_tyre_age,actual_traffic_effect,cf_traffic_effect,pit_state,track_status,actual_position,cf_position_median,cf_position_q10,cf_position_q90,actual_lap_inferred,lap_delta_q10,lap_delta_q90,cumulative_delta_q10,cumulative_delta_q90,delta_tyre_mean,delta_pit_mean,actual_pit_state,frozen
1,92.115000,92.115000,92.115000,92.115000,0.000000,0.000000,MEDIUM,MEDIUM,1.000000,1.000000,0.000000,0.000000,run,GREEN,10,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
2,95.404000,95.404000,95.404000,95.404000,0.000000,0.000000,MEDIUM,MEDIUM,2.000000,2.000000,0.000000,0.000000,run,GREEN,10,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
3,94.932000,94.932000,94.932000,94.932000,0.000000,0.000000,MEDIUM,MEDIUM,3.000000,3.000000,0.000000,0.000000,run,GREEN,10,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
4,94.770000,94.770000,94.770000,94.770000,0.000000,0.000000,MEDIUM,MEDIUM,4.000000,4.000000,0.000000,0.000000,run,GREEN,10,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
5,95.888000,95.888000,95.888000,95.888000,0.000000,0.000000,MEDIUM,MEDIUM,5.000000,5.000000,0.000000,0.000000,run,YELLOW,9,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
6,135.327000,135.327000,135.327000,135.327000,0.000000,0.000000,MEDIUM,MEDIUM,6.000000,6.000000,0.000000,0.000000,run,SC,9,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
7,127.970000,127.970000,127.970000,127.970000,0.000000,0.000000,MEDIUM,MEDIUM,7.000000,7.000000,0.000000,0.000000,run,SC,8,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
8,144.680000,144.680000,144.680000,144.680000,0.000000,0.000000,MEDIUM,MEDIUM,8.000000,8.000000,0.000000,0.000000,run,SC,8,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
9,143.515000,143.515000,143.515000,143.515000,0.000000,0.000000,MEDIUM,MEDIUM,9.000000,9.000000,0.000000,0.000000,run,SC,8,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
10,140.112000,140.112000,140.112000,140.112000,0.000000,0.000000,MEDIUM,MEDIUM,10.000000,10.000000,0.000000,0.000000,run,SC,8,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
11,145.176000,145.176000,145.176000,145.176000,0.000000,0.000000,MEDIUM,MEDIUM,11.000000,11.000000,0.000000,0.000000,run,SC,5,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
12,95.206000,95.206000,95.206000,95.206000,0.000000,0.000000,MEDIUM,MEDIUM,12.000000,12.000000,0.000000,0.000000,run,GREEN,8,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
13,94.553000,94.553000,94.553000,94.553000,0.000000,0.000000,MEDIUM,MEDIUM,13.000000,13.000000,0.000000,0.000000,run,GREEN,8,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
14,94.161000,94.161000,94.161000,94.161000,0.000000,0.000000,MEDIUM,MEDIUM,14.000000,14.000000,0.000000,0.000000,run,GREEN,8,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
15,95.470000,95.470000,95.470000,95.470000,0.000000,0.000000,MEDIUM,MEDIUM,15.000000,15.000000,0.000000,0.000000,run,GREEN,9,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
16,95.245000,95.245000,95.245000,95.245000,0.000000,0.000000,MEDIUM,MEDIUM,16.000000,16.000000,0.000000,0.000000,run,YELLOW,9,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
17,95.824000,100.309987,100.035051,100.594648,4.485987,4.485987,MEDIUM,MEDIUM,17.000000,17.000000,0.000000,0.000000,in_lap,GREEN,10,,,,False,4.211051,4.770648,4.211051,4.770648,0.000000,4.485987,run,False
18,95.189000,109.932906,108.853873,111.065714,14.743906,19.229893,MEDIUM,HARD,18.000000,1.000000,0.000000,0.000000,out_lap,GREEN,10,,,,False,13.664873,15.876714,17.927816,20.564693,-0.626633,15.370539,run,False
19,94.979000,94.129176,93.590082,94.647745,-0.849824,18.380069,MEDIUM,HARD,19.000000,2.000000,0.000000,0.000000,warm_up_1,GREEN,10,,,,False,-1.388918,-0.331255,16.927847,19.920310,-0.617635,-0.232189,run,False
20,95.212000,94.674249,94.169086,95.237146,-0.537751,17.842318,MEDIUM,HARD,20.000000,3.000000,0.000000,0.000000,warm_up_2,GREEN,10,,,,False,-1.042914,0.025146,16.064774,19.611763,-0.608638,0.070887,run,False
21,94.879000,94.279360,93.872913,94.669654,-0.599640,17.242678,MEDIUM,HARD,21.000000,4.000000,0.000000,0.000000,run,GREEN,9,,,,False,-1.006087,-0.209346,15.203697,19.164390,-0.599640,0.000000,run,False
22,94.800000,94.209357,93.785383,94.612039,-0.590643,16.652035,MEDIUM,HARD,22.000000,5.000000,0.000000,0.000000,run,GREEN,8,,,,False,-1.014617,-0.187961,14.247170,18.847081,-0.590643,0.000000,run,False
23,95.097000,94.515355,94.080403,94.925175,-0.581645,16.070389,MEDIUM,HARD,23.000000,6.000000,0.000000,0.000000,run,GREEN,8,,,,False,-1.016597,-0.171825,13.305275,18.592163,-0.581645,0.000000,run,False
24,95.901000,95.328352,94.885729,95.749301,-0.572648,15.497741,MEDIUM,HARD,24.000000,7.000000,0.000000,0.000000,run,GREEN,10,,,,False,-1.015271,-0.151699,12.352305,18.420145,-0.572648,0.000000,run,False
25,95.119000,94.555349,94.108465,94.985172,-0.563651,14.934091,MEDIUM,HARD,25.000000,8.000000,0.000000,0.000000,run,GREEN,10,,,,False,-1.010535,-0.133828,11.314571,18.231977,-0.563651,0.000000,run,False
26,94.964000,94.409347,93.949139,94.848099,-0.554653,14.379438,MEDIUM,HARD,26.000000,9.000000,0.000000,0.000000,run,GREEN,10,,,,False,-1.014861,-0.115901,10.533372,18.120947,-0.554653,0.000000,run,False
27,99.764000,94.557818,94.080962,95.004463,-5.206182,9.173256,MEDIUM,HARD,27.000000,10.000000,0.000000,0.000000,run,GREEN,11,,,,False,-5.683038,-4.759537,4.811922,13.309474,-0.545656,-4.660526,in_lap,False
28,107.798000,94.629118,94.573281,94.686702,-13.168882,-3.995627,HARD,HARD,1.000000,11.000000,0.000000,0.000000,run,GREEN,12,,,,False,-13.224719,-13.111298,-8.433070,0.124602,0.585091,-13.753974,out_lap,False
29,93.875000,94.460091,94.404254,94.517675,0.585091,-3.410536,HARD,HARD,2.000000,12.000000,0.000000,0.000000,run,GREEN,12,,,,False,0.529254,0.642675,-7.844905,0.709962,0.585091,0.000000,run,False
30,93.784000,94.369091,94.313254,94.426675,0.585091,-2.825444,HARD,HARD,3.000000,13.000000,0.000000,0.000000,run,GREEN,12,,,,False,0.529254,0.642675,-7.232181,1.297539,0.585091,0.000000,run,False
31,93.837000,94.422091,94.366254,94.479675,0.585091,-2.240353,HARD,HARD,4.000000,14.000000,0.000000,0.000000,run,GREEN,12,,,,False,0.529254,0.642675,-6.661796,1.891085,0.585091,0.000000,run,False
32,94.194000,94.779091,94.723254,94.836675,0.585091,-1.655262,HARD,HARD,5.000000,15.000000,0.000000,0.000000,run,GREEN,10,,,,False,0.529254,0.642675,-6.091093,2.482832,0.585091,0.000000,run,False
33,94.240000,94.825091,94.769254,94.882675,0.585091,-1.070171,HARD,HARD,6.000000,16.000000,0.000000,0.000000,run,GREEN,10,,,,False,0.529254,0.642675,-5.526774,3.083264,0.585091,0.000000,run,False
34,94.433000,95.018091,94.962254,95.075675,0.585091,-0.485079,HARD,HARD,7.000000,17.000000,0.000000,0.000000,run,GREEN,10,,,,False,0.529254,0.642675,-4.967741,3.663384,0.585091,0.000000,run,False
35,94.296000,94.881091,94.825254,94.938675,0.585091,0.100012,HARD,HARD,8.000000,18.000000,0.000000,0.000000,run,GREEN,10,,,,False,0.529254,0.642675,-4.418453,4.233332,0.585091,0.000000,run,False
