lap,actual_lap_time,cf_lap_time_mean,cf_lap_time_q10,cf_lap_time_q90,lap_delta,cumulative_delta,actual_compound,cf_compound,actual_tyre_age,cf_tyre_age,actual_traffic_effect,cf_traffic_effect,pit_state,track_status,actual_position,cf_position_median,cf_position_q10,cf_position_q90,actual_lap_inferred,lap_delta_q10,lap_delta_q90,cumulative_delta_q10,cumulative_delta_q90,delta_tyre_mean,delta_pit_mean,actual_pit_state,frozen
1,84.337000,84.337000,84.337000,84.337000,0.000000,0.000000,MEDIUM,MEDIUM,1.000000,1.000000,0.591746,0.591746,run,GREEN,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
2,93.545000,93.545000,93.545000,93.545000,0.000000,0.000000,MEDIUM,MEDIUM,2.000000,2.000000,0.261599,0.261599,run,GREEN,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
3,93.789000,93.789000,93.789000,93.789000,0.000000,0.000000,MEDIUM,MEDIUM,3.000000,3.000000,0.222272,0.222272,run,GREEN,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
4,93.971000,93.971000,93.971000,93.971000,0.000000,0.000000,MEDIUM,MEDIUM,4.000000,4.000000,0.287746,0.287746,run,GREEN,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
5,94.184000,94.184000,94.184000,94.184000,0.000000,0.000000,MEDIUM,MEDIUM,5.000000,5.000000,0.256777,0.256777,run,YELLOW,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
6,135.026000,135.026000,135.026000,135.026000,0.000000,0.000000,MEDIUM,MEDIUM,6.000000,6.000000,0.215405,0.215405,run,SC,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,True
7,134.270000,134.270000,134.270000,134.270000,0.000000,0.000000,MEDIUM,MEDIUM,7.000000,7.000000,0.342378,0.342378,run,SC,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,True
8,142.859000,142.859000,142.859000,142.859000,0.000000,0.000000,MEDIUM,MEDIUM,8.000000,8.000000,0.435000,0.435000,run,SC,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,True
9,147.200000,147.200000,147.200000,147.200000,0.000000,0.000000,MEDIUM,MEDIUM,9.000000,9.000000,0.528703,0.528703,run,SC,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,True
10,137.890000,137.890000,137.890000,137.890000,0.000000,0.000000,MEDIUM,MEDIUM,10.000000,10.000000,0.471216,0.471216,run,SC,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,True
11,148.268000,148.268000,148.268000,148.268000,0.000000,0.000000,MEDIUM,MEDIUM,11.000000,11.000000,0.568499,0.568499,run,SC,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,True
12,94.726000,94.726000,94.726000,94.726000,0.000000,0.000000,MEDIUM,MEDIUM,12.000000,12.000000,0.627484,0.627484,run,GREEN,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
13,93.754000,93.754000,93.754000,93.754000,0.000000,0.000000,MEDIUM,MEDIUM,13.000000,13.000000,0.499875,0.499875,run,GREEN,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
14,93.554000,93.554000,93.554000,93.554000,0.000000,0.000000,MEDIUM,MEDIUM,14.000000,14.000000,0.599962,0.599962,run,GREEN,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
15,93.777000,93.777000,93.777000,93.777000,0.000000,0.000000,MEDIUM,MEDIUM,15.000000,15.000000,0.625719,0.625719,run,GREEN,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
