lap,actual_lap_time,cf_lap_time_mean,cf_lap_time_q10,cf_lap_time_q90,lap_delta,cumulative_delta,actual_compound,cf_compound,actual_tyre_age,cf_tyre_age,actual_traffic_effect,cf_traffic_effect,pit_state,track_status,actual_position,cf_position_median,cf_position_q10,cf_position_q90,actual_lap_inferred,lap_delta_q10,lap_delta_q90,cumulative_delta_q10,cumulative_delta_q90,delta_tyre_mean,delta_pit_mean,actual_pit_state,frozen
1,90.028000,90.028000,90.028000,90.028000,0.000000,0.000000,MEDIUM,MEDIUM,1.000000,1.000000,0.272616,0.272616,run,GREEN,5.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
2,87.486000,87.486000,87.486000,87.486000,0.000000,0.000000,MEDIUM,MEDIUM,2.000000,2.000000,0.330415,0.330415,run,GREEN,4.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
3,133.714000,133.714000,133.714000,133.714000,0.000000,0.000000,MEDIUM,MEDIUM,3.000000,3.000000,0.125441,0.125441,free_change,RED,5.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,free_change,True
4,770.394333,770.394333,770.394333,770.394333,0.000000,0.000000,HARD,HARD,1.000000,1.000000,0.000000,0.000000,free_change,RED,,,,,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,free_change,True
5,770.394333,770.394333,770.394333,770.394333,0.000000,0.000000,HARD,HARD,2.000000,2.000000,0.000000,0.000000,run,RED,,,,,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,True
6,770.394333,770.394333,770.394333,770.394333,0.000000,0.000000,HARD,HARD,3.000000,3.000000,0.000000,0.000000,run,MISSING,,,,,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,True
7,87.432000,87.432000,87.432000,87.432000,0.000000,0.000000,HARD,HARD,4.000000,4.000000,0.212912,0.212912,run,GREEN,5.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
8,86.051000,86.051000,86.051000,86.051000,0.000000,0.000000,HARD,HARD,5.000000,5.000000,0.298752,0.298752,run,GREEN,5.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
9,85.978000,85.978000,85.978000,85.978000,0.000000,0.000000,HARD,HARD,6.000000,6.000000,0.252853,0.252853,run,GREEN,5.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
10,86.321000,86.321000,86.321000,86.321000,0.000000,0.000000,HARD,HARD,7.000000,7.000000,0.182570,0.182570,run,GREEN,4.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
11,86.086000,86.086000,86.086000,86.086000,0.000000,0.000000,HARD,HARD,8.000000,8.000000,0.268398,0.268398,run,GREEN,4.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
12,85.975000,85.975000,85.975000,85.975000,0.000000,0.000000,HARD,HARD,9.000000,9.000000,0.121866,0.121866,run,GREEN,3.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
13,86.547000,86.547000,86.547000,86.547000,0.000000,0.000000,HARD,HARD,10.000000,10.000000,0.221645,0.221645,run,GREEN,4.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
14,86.111000,86.111000,86.111000,86.111000,0.000000,0.000000,HARD,HARD,11.000000,11.000000,0.327341,0.327341,run,GREEN,4.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
15,86.233000,86.233000,86.233000,86.233000,0.000000,0.000000,HARD,HARD,12.000000,12.000000,0.157415,0.157415,run,GREEN,4.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
16,86.723000,90.153884,89.562374,90.766316,3.430884,3.430884,HARD,HARD,13.000000,13.000000,0.190997,0.190997,in_lap,GREEN,5.000000,,,,False,2.839374,4.043316,2.839374,4.043316,0.000000,3.430884,run,False
17,86.552000,104.341273,101.646338,107.243445,17.789273,21.220157,HARD,MEDIUM,14.000000,1.000000,0.322489,0.322489,out_lap,GREEN,5.000000,,,,False,15.094338,20.691445,17.951505,24.696617,-0.817195,18.606468,run,False
18,86.764000,86.005218,85.457268,86.567447,-0.758782,20.461376,HARD,MEDIUM,15.000000,2.000000,0.298130,0.298130,warm_up_1,GREEN,5.000000,,,,False,-1.306732,-0.196553,17.105581,24.013048,-0.812036,0.053255,run,False
19,85.646000,84.640248,84.021915,85.256321,-1.005752,19.455624,HARD,MEDIUM,16.000000,3.000000,0.079487,0.079487,warm_up_2,GREEN,4.000000,,,,False,-1.624085,-0.389679,15.925767,23.014715,-0.806877,-0.198874,run,False
20,86.094000,85.292281,85.003415,85.598003,-0.801719,18.653905,HARD,MEDIUM,17.000000,4.000000,0.012238,0.012238,run,GREEN,4.000000,,,,False,-1.090585,-0.495997,15.100369,22.280337,-0.801719,0.000000,run,False
21,86.231000,85.434440,85.143904,85.740159,-0.796560,17.857346,HARD,MEDIUM,18.000000,5.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,-1.087096,-0.490841,14.182321,21.730319,-0.796560,0.000000,run,False
22,86.083000,85.291599,84.996691,85.599789,-0.791401,17.065945,HARD,MEDIUM,19.000000,6.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,-1.086309,-0.483211,13.212112,21.061891,-0.791401,0.000000,run,False
23,86.811000,86.024758,85.731101,86.335064,-0.786242,16.279703,HARD,MEDIUM,20.000000,7.000000,0.167247,0.167247,run,GREEN,5.000000,,,,False,-1.079899,-0.475936,12.341595,20.347203,-0.786242,0.000000,run,False
24,85.926000,85.144917,84.850092,85.456867,-0.781083,15.498620,HARD,MEDIUM,21.000000,8.000000,0.208738,0.208738,run,GREEN,5.000000,,,,False,-1.075908,-0.469133,11.311806,19.724334,-0.781083,0.000000,run,False
25,85.884000,85.108076,84.811816,85.421394,-0.775924,14.722696,HARD,MEDIUM,22.000000,9.000000,0.032146,0.032146,run,GREEN,4.000000,,,,False,-1.072184,-0.462606,10.189252,19.048064,-0.775924,0.000000,run,False
26,86.143000,85.372235,85.071566,85.686224,-0.770765,13.951931,HARD,MEDIUM,23.000000,10.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,-1.071434,-0.456776,9.278744,18.519074,-0.770765,0.000000,run,False
27,86.106000,85.340394,85.037756,85.657667,-0.765606,13.186324,HARD,MEDIUM,24.000000,11.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,-1.068244,-0.448333,8.131294,17.974366,-0.765606,0.000000,run,False
28,109.065000,109.065000,109.065000,109.065000,0.000000,13.186324,HARD,MEDIUM,25.000000,12.000000,0.000000,0.000000,run,VSC,4.000000,,,,False,0.000000,0.000000,8.131294,17.974366,0.000000,0.000000,run,True
29,92.536000,92.536000,92.536000,92.536000,0.000000,13.186324,HARD,MEDIUM,26.000000,13.000000,0.005177,0.005177,run,VSC,2.000000,,,,False,0.000000,0.000000,8.131294,17.974366,0.000000,0.000000,run,True
30,85.915000,85.011785,84.163787,85.844862,-0.903215,12.283109,HARD,MEDIUM,27.000000,14.000000,0.000000,0.000000,run,GREEN,2.000000,,,,False,-1.751213,-0.070138,7.038555,17.569938,-0.750130,-0.153086,run,False
31,85.967000,85.222029,84.907445,85.539665,-0.744971,11.538138,HARD,MEDIUM,28.000000,15.000000,0.000000,0.000000,run,GREEN,2.000000,,,,False,-1.059555,-0.427335,5.980168,16.936777,-0.744971,0.000000,run,False
32,86.020000,85.280188,84.961319,85.601185,-0.739812,10.798326,HARD,MEDIUM,29.000000,16.000000,0.000000,0.000000,run,GREEN,2.000000,,,,False,-1.058681,-0.418815,5.217753,16.396015,-0.739812,0.000000,run,False
33,86.251000,85.516347,85.193586,85.843146,-0.734653,10.063673,HARD,MEDIUM,30.000000,17.000000,0.000000,0.000000,run,GREEN,2.000000,,,,False,-1.057414,-0.407854,4.359297,15.866439,-0.734653,0.000000,run,False
34,86.035000,85.305506,84.980822,85.635507,-0.729494,9.334179,HARD,MEDIUM,31.000000,18.000000,0.000000,0.000000,run,GREEN,2.000000,,,,False,-1.054178,-0.399493,3.305581,15.346876,-0.729494,0.000000,run,False
35,85.597000,84.872665,84.545896,85.205006,-0.724335,8.609844,HARD,MEDIUM,32.000000,19.000000,0.007239,0.007239,run,GREEN,2.000000,,,,False,-1.051104,-0.391994,2.369595,14.856384,-0.724335,0.000000,run,False
36,85.544000,84.824824,84.492487,85.163585,-0.719176,7.890667,HARD,MEDIUM,33.000000,20.000000,0.000000,0.000000,run,GREEN,2.000000,,,,False,-1.051513,-0.380415,1.521608,14.396148,-0.719176,0.000000,run,False
37,86.128000,85.413982,85.079306,85.755255,-0.714018,7.176650,HARD,MEDIUM,34.000000,21.000000,0.131444,0.131444,run,GREEN,3.000000,,,,False,-1.048694,-0.372745,0.546458,13.889231,-0.714018,0.000000,run,False
38,85.315000,84.606141,84.267406,84.952253,-0.708859,6.467791,HARD,MEDIUM,35.000000,22.000000,0.039115,0.039115,run,GREEN,3.000000,,,,False,-1.047594,-0.362747,-0.528310,13.351532,-0.708859,0.000000,run,False
39,86.325000,85.621300,85.282018,85.970985,-0.703700,5.764091,HARD,MEDIUM,36.000000,23.000000,0.114236,0.114236,run,GREEN,4.000000,,,,False,-1.042982,-0.354015,-1.452751,13.022545,-0.703700,0.000000,run,False
40,86.156000,85.457459,85.114776,85.810580,-0.698541,5.065550,HARD,MEDIUM,37.000000,24.000000,0.258673,0.258673,run,GREEN,4.000000,,,,False,-1.041224,-0.345420,-2.466703,12.897166,-0.698541,0.000000,run,False
41,86.152000,85.458618,85.110555,85.814905,-0.693382,4.372168,HARD,MEDIUM,38.000000,25.000000,0.042071,0.042071,run,GREEN,3.000000,,,,False,-1.041445,-0.337095,-3.449650,12.628649,-0.693382,0.000000,run,False
42,85.692000,85.003777,84.652525,85.363302,-0.688223,3.683945,HARD,MEDIUM,39.000000,26.000000,0.000000,0.000000,run,GREEN,3.000000,,,,False,-1.039475,-0.328698,-4.551230,12.124246,-0.688223,0.000000,run,False
43,86.242000,85.558936,85.207941,85.921844,-0.683064,3.000881,HARD,MEDIUM,40.000000,27.000000,0.170260,0.170260,run,GREEN,4.000000,,,,False,-1.034059,-0.320156,-5.661061,11.647154,-0.683064,0.000000,run,False
44,85.194000,84.516095,84.165886,84.882527,-0.677905,2.322976,HARD,MEDIUM,41.000000,28.000000,0.151462,0.151462,run,GREEN,4.000000,,,,False,-1.028114,-0.311473,-6.629129,11.417467,-0.677905,0.000000,run,False
45,85.125000,84.452254,84.101782,84.822211,-0.672746,1.650229,HARD,MEDIUM,42.000000,29.000000,0.194765,0.194765,run,GREEN,4.000000,,,,False,-1.023218,-0.302789,-7.645827,10.944326,-0.672746,0.000000,run,False
46,85.313000,84.645412,84.291933,85.021460,-0.667588,0.982641,HARD,MEDIUM,43.000000,30.000000,0.184218,0.184218,run,GREEN,4.000000,,,,False,-1.021067,-0.291540,-8.671127,10.494197,-0.667588,0.000000,run,False
47,85.385000,84.722571,84.365756,85.100514,-0.662429,0.320213,HARD,MEDIUM,44.000000,31.000000,0.185925,0.185925,run,GREEN,4.000000,,,,False,-1.019244,-0.284486,-9.726978,10.038562,-0.662429,0.000000,run,False
48,85.755000,85.097730,84.737743,85.475387,-0.657270,-0.337057,HARD,MEDIUM,45.000000,32.000000,0.312058,0.312058,run,GREEN,5.000000,,,,False,-1.017257,-0.279613,-10.674860,9.686307,-0.657270,0.000000,run,False
49,85.458000,84.805889,84.442730,85.183357,-0.652111,-0.989168,HARD,MEDIUM,46.000000,33.000000,0.139257,0.139257,run,GREEN,4.000000,,,,False,-1.015270,-0.274643,-11.505011,9.367890,-0.652111,0.000000,run,False
50,85.525000,84.878048,84.511720,85.255493,-0.646952,-1.636120,HARD,MEDIUM,47.000000,34.000000,0.024634,0.024634,run,GREEN,4.000000,,,,False,-1.013280,-0.269507,-12.332600,9.073556,-0.646952,0.000000,run,False
51,86.314000,85.672207,85.301905,86.049546,-0.641793,-2.277913,HARD,MEDIUM,48.000000,35.000000,0.038085,0.038085,run,GREEN,4.000000,,,,False,-1.012095,-0.264454,-13.220622,8.793419,-0.641793,0.000000,run,False
52,85.521000,84.884366,84.512026,85.261599,-0.636634,-2.914548,HARD,MEDIUM,49.000000,36.000000,0.029245,0.029245,run,GREEN,4.000000,,,,False,-1.008974,-0.259401,-14.150201,8.509512,-0.636634,0.000000,run,False
53,85.834000,85.202525,84.827235,85.579652,-0.631475,-3.546023,HARD,MEDIUM,50.000000,37.000000,0.021334,0.021334,run,GREEN,5.000000,,,,False,-1.006765,-0.254348,-15.080323,8.218309,-0.631475,0.000000,run,False
