lap,actual_lap_time,cf_lap_time_mean,cf_lap_time_q10,cf_lap_time_q90,lap_delta,cumulative_delta,actual_compound,cf_compound,actual_tyre_age,cf_tyre_age,actual_traffic_effect,cf_traffic_effect,pit_state,track_status,actual_position,cf_position_median,cf_position_q10,cf_position_q90,actual_lap_inferred,lap_delta_q10,lap_delta_q90,cumulative_delta_q10,cumulative_delta_q90,delta_tyre_mean,delta_pit_mean,actual_pit_state,frozen
1,89.682000,89.682000,89.682000,89.682000,0.000000,0.000000,SOFT,SOFT,1.000000,1.000000,0.330415,0.330415,run,GREEN,4.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
2,87.174000,87.174000,87.174000,87.174000,0.000000,0.000000,SOFT,SOFT,2.000000,2.000000,0.304500,0.304500,run,GREEN,3.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
3,125.983000,125.983000,125.983000,125.983000,0.000000,0.000000,SOFT,SOFT,3.000000,3.000000,0.251843,0.251843,free_change,RED,3.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,free_change,True
4,772.724667,772.724667,772.724667,772.724667,0.000000,0.000000,MEDIUM,MEDIUM,1.000000,1.000000,0.000000,0.000000,free_change,RED,,,,,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,free_change,True
5,772.724667,772.724667,772.724667,772.724667,0.000000,0.000000,MEDIUM,MEDIUM,2.000000,2.000000,0.000000,0.000000,run,RED,,,,,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,True
6,772.724667,772.724667,772.724667,772.724667,0.000000,0.000000,MEDIUM,MEDIUM,3.000000,3.000000,0.000000,0.000000,run,MISSING,,,,,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,True
7,86.328000,86.328000,86.328000,86.328000,0.000000,0.000000,MEDIUM,MEDIUM,4.000000,4.000000,0.206191,0.206191,run,GREEN,2.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
8,86.407000,86.407000,86.407000,86.407000,0.000000,0.000000,MEDIUM,MEDIUM,5.000000,5.000000,0.029899,0.029899,run,GREEN,2.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
9,86.096000,86.096000,86.096000,86.096000,0.000000,0.000000,MEDIUM,MEDIUM,6.000000,6.000000,0.200942,0.200942,run,GREEN,2.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
10,85.609000,85.609000,85.609000,85.609000,0.000000,0.000000,MEDIUM,MEDIUM,7.000000,7.000000,0.128055,0.128055,run,GREEN,2.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
11,86.154000,86.154000,86.154000,86.154000,0.000000,0.000000,MEDIUM,MEDIUM,8.000000,8.000000,0.300749,0.300749,run,GREEN,2.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
12,86.438000,86.438000,86.438000,86.438000,0.000000,0.000000,MEDIUM,MEDIUM,9.000000,9.000000,0.330415,0.330415,run,GREEN,1.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
13,86.280000,86.280000,86.280000,86.280000,0.000000,0.000000,MEDIUM,MEDIUM,10.000000,10.000000,0.330415,0.330415,run,GREEN,1.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
14,86.411000,86.411000,86.411000,86.411000,0.000000,0.000000,MEDIUM,MEDIUM,11.000000,11.000000,0.298605,0.298605,run,GREEN,1.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
15,86.958000,86.958000,86.958000,86.958000,0.000000,0.000000,MEDIUM,MEDIUM,12.000000,12.000000,0.300049,0.300049,run,GREEN,2.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
16,86.445000,86.445000,86.445000,86.445000,0.000000,0.000000,MEDIUM,MEDIUM,13.000000,13.000000,0.318651,0.318651,run,GREEN,3.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
17,85.419000,85.419000,85.419000,85.419000,0.000000,0.000000,MEDIUM,MEDIUM,14.000000,14.000000,0.216756,0.216756,run,GREEN,3.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
18,85.467000,85.467000,85.467000,85.467000,0.000000,0.000000,MEDIUM,MEDIUM,15.000000,15.000000,0.325292,0.325292,run,GREEN,3.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
19,86.426000,86.426000,86.426000,86.426000,0.000000,0.000000,MEDIUM,MEDIUM,16.000000,16.000000,0.132779,0.132779,run,GREEN,3.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
20,86.073000,86.073000,86.073000,86.073000,0.000000,0.000000,MEDIUM,MEDIUM,17.000000,17.000000,0.042268,0.042268,run,GREEN,3.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
21,86.171000,86.171000,86.171000,86.171000,0.000000,0.000000,MEDIUM,MEDIUM,18.000000,18.000000,0.026537,0.026537,run,GREEN,3.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
22,86.062000,86.062000,86.062000,86.062000,0.000000,0.000000,MEDIUM,MEDIUM,19.000000,19.000000,0.016703,0.016703,run,GREEN,3.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
23,85.850000,85.850000,85.850000,85.850000,0.000000,0.000000,MEDIUM,MEDIUM,20.000000,20.000000,0.040144,0.040144,run,GREEN,3.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
24,85.725000,85.725000,85.725000,85.725000,0.000000,0.000000,MEDIUM,MEDIUM,21.000000,21.000000,0.117746,0.117746,run,GREEN,3.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
25,85.377000,85.377000,85.377000,85.377000,0.000000,0.000000,MEDIUM,MEDIUM,22.000000,22.000000,0.153619,0.153619,run,GREEN,3.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
26,85.706000,85.706000,85.706000,85.706000,0.000000,0.000000,MEDIUM,MEDIUM,23.000000,23.000000,0.174684,0.174684,run,GREEN,3.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
27,85.810000,85.810000,85.810000,85.810000,0.000000,0.000000,MEDIUM,MEDIUM,24.000000,24.000000,0.045765,0.045765,run,GREEN,3.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
28,109.197000,110.471472,110.471472,110.471472,1.274472,1.274472,MEDIUM,MEDIUM,25.000000,25.000000,0.105511,0.105511,run,VSC,3.000000,,,,False,1.274472,1.274472,1.274472,1.274472,0.000000,1.274472,in_lap,True
29,108.394000,88.357311,88.357311,88.357311,-20.036689,-18.762217,HARD,MEDIUM,1.000000,26.000000,0.157226,0.157226,run,VSC,7.000000,,,,False,-20.036689,-20.036689,-18.762217,-18.762217,0.000000,-20.036689,out_lap,True
30,85.130000,85.139560,84.305795,85.971229,0.009560,-18.752657,HARD,MEDIUM,2.000000,27.000000,0.029991,0.029991,run,GREEN,7.000000,,,,False,-0.824205,0.841229,-19.586422,-17.920988,0.162646,-0.153086,run,False
31,84.514000,84.681788,84.391809,85.001408,0.167788,-18.584869,HARD,MEDIUM,3.000000,28.000000,0.103980,0.103980,run,GREEN,6.000000,,,,False,-0.122191,0.487408,-19.625771,-17.619716,0.167788,0.000000,run,False
32,85.391000,85.563930,85.269221,85.884859,0.172930,-18.411939,HARD,MEDIUM,4.000000,29.000000,0.322497,0.322497,run,GREEN,6.000000,,,,False,-0.121779,0.493859,-19.661036,-17.262959,0.172930,0.000000,run,False
33,84.900000,88.508956,87.831208,89.192657,3.608956,-14.802982,HARD,MEDIUM,5.000000,30.000000,0.059839,0.059839,in_lap,GREEN,5.000000,,,,False,2.931208,4.292657,-16.331173,-13.257558,0.178072,3.430884,run,False
34,85.025000,102.992167,100.254909,105.888216,17.967167,3.164185,HARD,MEDIUM,6.000000,1.000000,0.013444,0.013444,out_lap,GREEN,5.000000,,,,False,15.229909,20.863216,-0.545358,7.182340,-0.639301,18.606468,run,False
35,84.816000,84.235096,83.689155,84.790234,-0.580904,2.583281,HARD,MEDIUM,7.000000,2.000000,0.021889,0.021889,warm_up_1,GREEN,5.000000,,,,False,-1.126845,-0.025766,-1.282970,6.826944,-0.634159,0.053255,run,False
36,84.677000,83.849109,83.258051,84.478303,-0.827891,1.755391,HARD,MEDIUM,8.000000,3.000000,0.081064,0.081064,warm_up_2,GREEN,5.000000,,,,False,-1.418949,-0.198697,-2.465791,6.184284,-0.629016,-0.198874,run,False
37,84.242000,83.618126,83.328435,83.914356,-0.623874,1.131516,HARD,MEDIUM,9.000000,4.000000,0.111873,0.111873,run,GREEN,4.000000,,,,False,-0.913565,-0.327644,-3.276858,5.638028,-0.623874,0.000000,run,False
38,84.705000,84.086268,83.795022,84.383086,-0.618732,0.512784,HARD,MEDIUM,10.000000,5.000000,0.209038,0.209038,run,GREEN,4.000000,,,,False,-0.909978,-0.321914,-4.048033,5.127009,-0.618732,0.000000,run,False
39,84.614000,84.000410,83.710173,84.301815,-0.613590,-0.100806,HARD,MEDIUM,11.000000,6.000000,0.095674,0.095674,run,GREEN,3.000000,,,,False,-0.903827,-0.312185,-4.817025,4.622454,-0.613590,0.000000,run,False
40,86.643000,86.034552,85.744891,86.339032,-0.608448,-0.709253,HARD,MEDIUM,12.000000,7.000000,0.007052,0.007052,run,GREEN,3.000000,,,,False,-0.898109,-0.303968,-5.661817,4.204507,-0.608448,0.000000,run,False
41,87.132000,86.528694,86.238285,86.831205,-0.603306,-1.312559,HARD,MEDIUM,13.000000,8.000000,0.005583,0.005583,run,GREEN,4.000000,,,,False,-0.893715,-0.300795,-6.469197,3.897187,-0.603306,0.000000,run,False
42,85.533000,84.934837,84.643650,85.235673,-0.598163,-1.910722,HARD,MEDIUM,14.000000,9.000000,0.049718,0.049718,run,GREEN,4.000000,,,,False,-0.889350,-0.297327,-7.230912,3.429256,-0.598163,0.000000,run,False
43,85.030000,84.436979,84.143465,84.736088,-0.593021,-2.503744,HARD,MEDIUM,15.000000,10.000000,0.037967,0.037967,run,GREEN,3.000000,,,,False,-0.886535,-0.293912,-7.997057,3.116123,-0.593021,0.000000,run,False
44,85.158000,84.570121,84.274044,84.868590,-0.587879,-3.091623,HARD,MEDIUM,16.000000,11.000000,0.015561,0.015561,run,GREEN,3.000000,,,,False,-0.883956,-0.289410,-8.755673,2.614685,-0.587879,0.000000,run,False
45,85.411000,84.828263,84.530082,85.129100,-0.582737,-3.674360,HARD,MEDIUM,17.000000,12.000000,0.000000,0.000000,run,GREEN,3.000000,,,,False,-0.880918,-0.281900,-9.579925,2.204003,-0.582737,0.000000,run,False
46,85.235000,84.657405,84.357354,84.959108,-0.577595,-4.251955,HARD,MEDIUM,18.000000,13.000000,0.000000,0.000000,run,GREEN,3.000000,,,,False,-0.877646,-0.275892,-10.333005,1.824389,-0.577595,0.000000,run,False
47,85.209000,84.636547,84.334627,84.939136,-0.572453,-4.824407,HARD,MEDIUM,19.000000,14.000000,0.000000,0.000000,run,GREEN,3.000000,,,,False,-0.874373,-0.269864,-11.133861,1.477627,-0.572453,0.000000,run,False
48,84.844000,84.276689,83.972997,84.580240,-0.567311,-5.391718,HARD,MEDIUM,20.000000,15.000000,0.000000,0.000000,run,GREEN,3.000000,,,,False,-0.871003,-0.263760,-11.933700,1.197813,-0.567311,0.000000,run,False
49,85.023000,84.460832,84.153337,84.763763,-0.562168,-5.953886,HARD,MEDIUM,21.000000,16.000000,0.000000,0.000000,run,GREEN,3.000000,,,,False,-0.869663,-0.259237,-12.729146,0.735476,-0.562168,0.000000,run,False
50,85.392000,84.834974,84.525876,85.137371,-0.557026,-6.510912,HARD,MEDIUM,22.000000,17.000000,0.052227,0.052227,run,GREEN,3.000000,,,,False,-0.866124,-0.254629,-13.532435,0.448095,-0.557026,0.000000,run,False
51,85.419000,84.867116,84.555987,85.173201,-0.551884,-7.062797,HARD,MEDIUM,23.000000,18.000000,0.005228,0.005228,run,GREEN,3.000000,,,,False,-0.863013,-0.245799,-14.404268,0.210181,-0.551884,0.000000,run,False
52,85.373000,84.826258,84.512198,85.134713,-0.546742,-7.609538,HARD,MEDIUM,24.000000,19.000000,0.040595,0.040595,run,GREEN,3.000000,,,,False,-0.860802,-0.238287,-15.196823,-0.133485,-0.546742,0.000000,run,False
53,84.804000,84.262400,83.948918,84.573983,-0.541600,-8.151138,HARD,MEDIUM,25.000000,20.000000,0.010540,0.010540,run,GREEN,3.000000,,,,False,-0.855082,-0.230017,-16.059350,-0.498496,-0.541600,0.000000,run,False
