lap,actual_lap_time,cf_lap_time_mean,cf_lap_time_q10,cf_lap_time_q90,lap_delta,cumulative_delta,actual_compound,cf_compound,actual_tyre_age,cf_tyre_age,actual_traffic_effect,cf_traffic_effect,pit_state,track_status,actual_position,cf_position_median,cf_position_q10,cf_position_q90,actual_lap_inferred,lap_delta_q10,lap_delta_q90,cumulative_delta_q10,cumulative_delta_q90,delta_tyre_mean,delta_pit_mean,actual_pit_state,frozen
1,130.660000,130.660000,130.660000,130.660000,0.000000,0.000000,MEDIUM,MEDIUM,1.000000,1.000000,0.000000,0.000000,run,SC,5.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
2,161.933000,161.933000,161.933000,161.933000,0.000000,0.000000,MEDIUM,MEDIUM,2.000000,2.000000,0.000000,0.000000,run,MISSING,,,,,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
3,161.933000,161.933000,161.933000,161.933000,0.000000,0.000000,MEDIUM,MEDIUM,3.000000,3.000000,0.000000,0.000000,run,MISSING,,,,,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
4,161.933000,161.933000,161.933000,161.933000,0.000000,0.000000,MEDIUM,MEDIUM,4.000000,4.000000,0.000000,0.000000,run,SC,,,,,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
5,111.956000,111.956000,111.956000,111.956000,0.000000,0.000000,MEDIUM,MEDIUM,5.000000,5.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
6,111.257000,111.257000,111.257000,111.257000,0.000000,0.000000,MEDIUM,MEDIUM,6.000000,6.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
7,110.772000,110.772000,110.772000,110.772000,0.000000,0.000000,MEDIUM,MEDIUM,7.000000,7.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
8,111.677000,111.677000,111.677000,111.677000,0.000000,0.000000,MEDIUM,MEDIUM,8.000000,8.000000,0.000000,0.000000,run,YELLOW,5.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
9,110.199000,110.199000,110.199000,110.199000,0.000000,0.000000,MEDIUM,MEDIUM,9.000000,9.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
10,110.813000,110.813000,110.813000,110.813000,0.000000,0.000000,MEDIUM,MEDIUM,10.000000,10.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
11,111.079000,111.079000,111.079000,111.079000,0.000000,0.000000,MEDIUM,MEDIUM,11.000000,11.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
12,111.420000,111.420000,111.420000,111.420000,0.000000,0.000000,MEDIUM,MEDIUM,12.000000,12.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
13,111.707000,115.568869,114.602823,116.569085,3.861869,3.861869,MEDIUM,MEDIUM,13.000000,13.000000,0.000000,0.000000,in_lap,GREEN,4.000000,,,,False,2.895823,4.862085,2.895823,4.862085,0.000000,3.861869,run,False
14,111.168000,128.600151,124.613371,132.741730,17.432151,21.294021,MEDIUM,HARD,14.000000,1.000000,0.000000,0.000000,out_lap,GREEN,4.000000,,,,False,13.445371,21.573730,16.325998,26.258623,-0.316380,17.748531,run,False
15,111.422000,111.043663,109.742440,112.313085,-0.378337,20.915683,MEDIUM,HARD,15.000000,2.000000,0.000000,0.000000,warm_up_1,GREEN,4.000000,,,,False,-1.679560,0.891085,15.726838,26.554933,-0.356841,-0.021496,run,False
16,111.769000,111.021280,109.708802,112.485572,-0.747720,20.167964,MEDIUM,HARD,16.000000,3.000000,0.000000,0.000000,warm_up_2,GREEN,4.000000,,,,False,-2.060198,0.716572,14.116936,26.008096,-0.397302,-0.350417,run,False
17,111.564000,111.126236,109.858918,112.292736,-0.437764,19.730200,MEDIUM,HARD,17.000000,4.000000,0.000000,0.000000,run,GREEN,3.000000,,,,False,-1.705082,0.728736,13.070879,26.326726,-0.437764,0.000000,run,False
18,122.860000,122.381775,121.025672,123.598711,-0.478225,19.251975,MEDIUM,HARD,18.000000,5.000000,0.000000,0.000000,run,VSC,3.000000,,,,False,-1.834328,0.738711,11.936415,26.737270,-0.478225,0.000000,run,False
19,112.803000,112.284314,110.853423,113.561055,-0.518686,18.733290,MEDIUM,HARD,19.000000,6.000000,0.000000,0.000000,run,GREEN,2.000000,,,,False,-1.949577,0.758055,10.261975,26.860682,-0.518686,0.000000,run,False
20,131.009000,137.704989,136.203257,139.040639,6.695989,25.429279,MEDIUM,HARD,20.000000,7.000000,0.000000,0.000000,run,VSC,2.000000,,,,False,5.194257,8.031639,15.671049,34.518663,-0.559147,7.255136,in_lap,False
21,138.908000,111.478765,111.179494,111.787401,-27.429235,-1.999956,HARD,HARD,1.000000,8.000000,0.000000,0.000000,run,VSC,6.000000,,,,False,-27.728506,-27.120599,-11.583630,7.309348,0.185765,-27.615000,out_lap,False
22,110.089000,110.274765,109.975494,110.583401,0.185765,-1.814191,HARD,HARD,2.000000,9.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,-0.113506,0.494401,-11.447378,7.544665,0.185765,0.000000,run,False
23,109.515000,109.700765,109.401494,110.009401,0.185765,-1.628425,HARD,HARD,3.000000,10.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,-0.113506,0.494401,-11.509663,7.666704,0.185765,0.000000,run,False
24,110.524000,110.709765,110.410494,111.018401,0.185765,-1.442660,HARD,HARD,4.000000,11.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,-0.113506,0.494401,-11.402313,7.758320,0.185765,0.000000,run,False
25,110.332000,110.517765,110.218494,110.826401,0.185765,-1.256895,HARD,HARD,5.000000,12.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,-0.113506,0.494401,-11.416796,8.060569,0.185765,0.000000,run,False
26,110.142000,110.327765,110.028494,110.636401,0.185765,-1.071130,HARD,HARD,6.000000,13.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,-0.113506,0.494401,-11.387752,8.294023,0.185765,0.000000,run,False
27,110.163000,110.348765,110.049494,110.657401,0.185765,-0.885365,HARD,HARD,7.000000,14.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,-0.113506,0.494401,-11.347808,8.641841,0.185765,0.000000,run,False
28,110.082000,110.267765,109.968494,110.576401,0.185765,-0.699600,HARD,HARD,8.000000,15.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,-0.113506,0.494401,-11.142632,8.893806,0.185765,0.000000,run,False
29,109.858000,110.043765,109.744494,110.352401,0.185765,-0.513835,HARD,HARD,9.000000,16.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,-0.113506,0.494401,-11.061717,9.124075,0.185765,0.000000,run,False
30,110.014000,110.199765,109.900494,110.508401,0.185765,-0.328069,HARD,HARD,10.000000,17.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,-0.113506,0.494401,-11.004487,9.534186,0.185765,0.000000,run,False
31,109.867000,110.052765,109.753494,110.361401,0.185765,-0.142304,HARD,HARD,11.000000,18.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,-0.113506,0.494401,-11.033408,10.055856,0.185765,0.000000,run,False
32,109.626000,109.811765,109.512494,110.120401,0.185765,0.043461,HARD,HARD,12.000000,19.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,-0.113506,0.494401,-10.755810,10.334018,0.185765,0.000000,run,False
33,109.454000,109.639765,109.340494,109.948401,0.185765,0.229226,HARD,HARD,13.000000,20.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,-0.113506,0.494401,-10.801494,10.737295,0.185765,0.000000,run,False
34,109.972000,110.157765,109.858494,110.466401,0.185765,0.414991,HARD,HARD,14.000000,21.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,-0.113506,0.494401,-10.621819,11.116322,0.185765,0.000000,run,False
35,110.160000,110.345765,110.046494,110.654401,0.185765,0.600756,HARD,HARD,15.000000,22.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,-0.113506,0.494401,-10.650981,11.493918,0.185765,0.000000,run,False
36,110.141000,110.326765,110.027494,110.635401,0.185765,0.786521,HARD,HARD,16.000000,23.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,-0.113506,0.494401,-10.661377,11.783842,0.185765,0.000000,run,False
37,109.538000,109.723765,109.424494,110.032401,0.185765,0.972287,HARD,HARD,17.000000,24.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,-0.113506,0.494401,-10.636931,12.154040,0.185765,0.000000,run,False
38,109.880000,110.065765,109.766494,110.374401,0.185765,1.158052,HARD,HARD,18.000000,25.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,-0.113506,0.494401,-10.572540,12.656398,0.185765,0.000000,run,False
39,110.691000,110.876765,110.577494,111.185401,0.185765,1.343817,HARD,HARD,19.000000,26.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,-0.113506,0.494401,-10.772447,13.141313,0.185765,0.000000,run,False
40,109.539000,109.724765,109.425494,110.033401,0.185765,1.529582,HARD,HARD,20.000000,27.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,-0.113506,0.494401,-10.872414,13.385922,0.185765,0.000000,run,False
41,109.683000,109.868765,109.569494,110.177401,0.185765,1.715347,HARD,HARD,21.000000,28.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,-0.113506,0.494401,-10.861714,13.660615,0.185765,0.000000,run,False
42,110.152000,110.337765,110.038494,110.646401,0.185765,1.901112,HARD,HARD,22.000000,29.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,-0.113506,0.494401,-10.969317,14.092269,0.185765,0.000000,run,False
43,111.054000,111.239765,110.940494,111.548401,0.185765,2.086877,HARD,HARD,23.000000,30.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,-0.113506,0.494401,-10.948171,14.458703,0.185765,0.000000,run,False
44,110.619000,110.804765,110.505494,111.113401,0.185765,2.272643,HARD,HARD,24.000000,31.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,-0.113506,0.494401,-10.909170,14.708681,0.185765,0.000000,run,False
