lap,actual_lap_time,cf_lap_time_mean,cf_lap_time_q10,cf_lap_time_q90,lap_delta,cumulative_delta,actual_compound,cf_compound,actual_tyre_age,cf_tyre_age,actual_traffic_effect,cf_traffic_effect,pit_state,track_status,actual_position,cf_position_median,cf_position_q10,cf_position_q90,actual_lap_inferred,lap_delta_q10,lap_delta_q90,cumulative_delta_q10,cumulative_delta_q90,delta_tyre_mean,delta_pit_mean,actual_pit_state,frozen
1,130.660000,130.660000,130.660000,130.660000,0.000000,0.000000,MEDIUM,MEDIUM,1.000000,1.000000,0.000000,0.000000,run,SC,5.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
2,161.933000,161.933000,161.933000,161.933000,0.000000,0.000000,MEDIUM,MEDIUM,2.000000,2.000000,0.000000,0.000000,run,MISSING,,,,,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
3,161.933000,161.933000,161.933000,161.933000,0.000000,0.000000,MEDIUM,MEDIUM,3.000000,3.000000,0.000000,0.000000,run,MISSING,,,,,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
4,161.933000,161.933000,161.933000,161.933000,0.000000,0.000000,MEDIUM,MEDIUM,4.000000,4.000000,0.000000,0.000000,run,SC,,,,,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
5,111.956000,111.956000,111.956000,111.956000,0.000000,0.000000,MEDIUM,MEDIUM,5.000000,5.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
6,111.257000,111.257000,111.257000,111.257000,0.000000,0.000000,MEDIUM,MEDIUM,6.000000,6.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
7,110.772000,110.772000,110.772000,110.772000,0.000000,0.000000,MEDIUM,MEDIUM,7.000000,7.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
8,111.677000,111.677000,111.677000,111.677000,0.000000,0.000000,MEDIUM,MEDIUM,8.000000,8.000000,0.000000,0.000000,run,YELLOW,5.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
9,110.199000,110.199000,110.199000,110.199000,0.000000,0.000000,MEDIUM,MEDIUM,9.000000,9.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
10,110.813000,110.813000,110.813000,110.813000,0.000000,0.000000,MEDIUM,MEDIUM,10.000000,10.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
11,111.079000,111.079000,111.079000,111.079000,0.000000,0.000000,MEDIUM,MEDIUM,11.000000,11.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
12,111.420000,111.420000,111.420000,111.420000,0.000000,0.000000,MEDIUM,MEDIUM,12.000000,12.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
13,111.707000,115.568869,114.602823,116.569085,3.861869,3.861869,MEDIUM,MEDIUM,13.000000,13.000000,0.000000,0.000000,in_lap,GREEN,4.000000,,,,False,2.895823,4.862085,2.895823,4.862085,0.000000,3.861869,run,False
14,111.168000,127.531176,123.613447,131.657668,16.363176,20.225045,MEDIUM,SOFT,14.000000,1.000000,0.000000,0.000000,out_lap,GREEN,4.000000,,,,False,12.445447,20.489668,15.303217,25.176345,-1.385356,17.748531,run,False
15,111.422000,110.086148,108.692837,111.425395,-1.335852,18.889193,MEDIUM,SOFT,15.000000,2.000000,0.000000,0.000000,warm_up_1,GREEN,4.000000,,,,False,-2.729163,0.003395,13.595252,24.395314,-1.300020,-0.035832,run,False
16,111.769000,110.132096,108.767422,111.459776,-1.636904,17.252289,MEDIUM,SOFT,16.000000,3.000000,0.000000,0.000000,warm_up_2,GREEN,4.000000,,,,False,-3.001578,-0.309224,11.677418,23.275337,-1.214684,-0.422220,run,False
17,111.564000,110.434651,109.121589,111.715829,-1.129349,16.122941,MEDIUM,SOFT,17.000000,4.000000,0.000000,0.000000,run,GREEN,3.000000,,,,False,-2.442411,0.151829,9.924236,22.579794,-1.129349,0.000000,run,False
18,122.860000,121.815987,120.370854,123.215915,-1.044013,15.078928,MEDIUM,SOFT,18.000000,5.000000,0.000000,0.000000,run,VSC,3.000000,,,,False,-2.489146,0.355915,7.569028,22.303220,-1.044013,0.000000,run,False
19,112.803000,111.844323,110.311463,113.389148,-0.958677,14.120250,MEDIUM,SOFT,19.000000,6.000000,0.000000,0.000000,run,GREEN,2.000000,,,,False,-2.491537,0.586148,5.500184,22.912048,-0.958677,0.000000,run,False
20,131.009000,137.390795,135.757717,139.064607,6.381795,20.502045,MEDIUM,SOFT,20.000000,7.000000,0.000000,0.000000,run,VSC,2.000000,,,,False,4.748717,8.055607,10.138649,30.173793,-0.873342,7.255136,in_lap,False
21,138.908000,111.290367,110.222040,112.268718,-27.617633,-7.115587,HARD,SOFT,1.000000,8.000000,0.000000,0.000000,run,VSC,6.000000,,,,False,-28.685960,-26.639282,-17.475903,2.862312,-0.002633,-27.615000,out_lap,False
22,110.089000,110.212164,109.020711,111.312459,0.123164,-6.992423,HARD,SOFT,2.000000,9.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,-1.068289,1.223459,-18.088075,3.688719,0.123164,0.000000,run,False
23,109.515000,109.763961,108.438141,110.974808,0.248961,-6.743462,HARD,SOFT,3.000000,10.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,-1.076859,1.459808,-18.825661,5.015497,0.248961,0.000000,run,False
24,110.524000,110.898758,109.429953,112.247956,0.374758,-6.368705,HARD,SOFT,4.000000,11.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,-1.094047,1.723956,-19.530897,6.566786,0.374758,0.000000,run,False
25,110.332000,110.832554,109.254963,112.313566,0.500554,-5.868150,HARD,SOFT,5.000000,12.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,-1.077037,1.981566,-20.286056,8.087489,0.500554,0.000000,run,False
26,110.142000,110.768351,109.064775,112.383857,0.626351,-5.241799,HARD,SOFT,6.000000,13.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,-1.077225,2.241857,-20.171170,10.117146,0.626351,0.000000,run,False
27,110.163000,110.915148,109.087560,112.659267,0.752148,-4.489651,HARD,SOFT,7.000000,14.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,-1.075440,2.496267,-21.553745,12.252006,0.752148,0.000000,run,False
28,110.082000,110.959945,109.025266,112.833341,0.877945,-3.611706,HARD,SOFT,8.000000,15.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,-1.056734,2.751341,-23.051982,14.525252,0.877945,0.000000,run,False
29,109.858000,110.861742,108.820970,112.862590,1.003742,-2.607964,HARD,SOFT,9.000000,16.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,-1.037030,3.004590,-23.987776,16.912885,1.003742,0.000000,run,False
30,110.014000,111.143539,108.993797,113.271806,1.129539,-1.478426,HARD,SOFT,10.000000,17.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,-1.020203,3.257806,-25.354463,19.727211,1.129539,0.000000,run,False
31,109.867000,111.122335,108.829201,113.375156,1.255335,-0.223090,HARD,SOFT,11.000000,18.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,-1.037799,3.508156,-26.332136,22.864191,1.255335,0.000000,run,False
32,109.626000,111.007132,108.581494,113.391844,1.381132,1.158042,HARD,SOFT,12.000000,19.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,-1.044506,3.765844,-27.283412,26.473955,1.381132,0.000000,run,False
33,109.454000,110.960929,108.403441,113.474124,1.506929,2.664971,HARD,SOFT,13.000000,20.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,-1.050559,4.020124,-28.199859,30.454934,1.506929,0.000000,run,False
34,109.972000,111.604726,108.917403,114.246673,1.632726,4.297696,HARD,SOFT,14.000000,21.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,-1.054597,4.274673,-28.920801,34.955123,1.632726,0.000000,run,False
35,110.160000,111.918523,109.102837,114.688504,1.758523,6.056219,HARD,SOFT,15.000000,22.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,-1.057163,4.528504,-30.222291,39.015764,1.758523,0.000000,run,False
36,110.141000,112.025319,109.081961,114.923334,1.884319,7.940538,HARD,SOFT,16.000000,23.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,-1.059039,4.782334,-32.029899,43.800363,1.884319,0.000000,run,False
37,109.538000,111.548116,108.492743,114.574070,2.010116,9.950654,HARD,SOFT,17.000000,24.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,-1.045257,5.036070,-33.258790,48.464195,2.010116,0.000000,run,False
38,109.880000,112.015913,108.847525,115.161323,2.135913,12.086567,HARD,SOFT,18.000000,25.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,-1.032475,5.281323,-34.539547,53.395055,2.135913,0.000000,run,False
39,110.691000,112.952710,109.656852,116.221202,2.261710,14.348277,HARD,SOFT,19.000000,26.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,-1.034148,5.530202,-35.838817,58.636697,2.261710,0.000000,run,False
40,109.539000,111.926507,108.503179,115.322440,2.387507,16.735783,HARD,SOFT,20.000000,27.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,-1.035821,5.783440,-37.278314,64.079532,2.387507,0.000000,run,False
41,109.683000,112.196303,108.642972,115.719678,2.513303,19.249087,HARD,SOFT,21.000000,28.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,-1.040028,6.036678,-38.536725,69.733484,2.513303,0.000000,run,False
42,110.152000,112.791100,109.097022,116.441916,2.639100,21.888187,HARD,SOFT,22.000000,29.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,-1.054978,6.289916,-39.899282,76.121769,2.639100,0.000000,run,False
43,111.054000,113.818897,109.984072,117.597112,2.764897,24.653084,HARD,SOFT,23.000000,30.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,-1.069928,6.543112,-41.154880,82.348433,2.764897,0.000000,run,False
44,110.619000,113.509694,109.532022,117.415196,2.890694,27.543778,HARD,SOFT,24.000000,31.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,-1.086978,6.796196,-41.422080,89.248585,2.890694,0.000000,run,False
