lap,actual_lap_time,cf_lap_time_mean,cf_lap_time_q10,cf_lap_time_q90,lap_delta,cumulative_delta,actual_compound,cf_compound,actual_tyre_age,cf_tyre_age,actual_traffic_effect,cf_traffic_effect,pit_state,track_status,actual_position,cf_position_median,cf_position_q10,cf_position_q90,actual_lap_inferred,lap_delta_q10,lap_delta_q90,cumulative_delta_q10,cumulative_delta_q90,delta_tyre_mean,delta_pit_mean,actual_pit_state,frozen
1,92.030000,92.030000,92.030000,92.030000,0.000000,0.000000,MEDIUM,MEDIUM,1.000000,1.000000,0.769507,0.769507,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
2,85.958000,85.958000,85.958000,85.958000,0.000000,0.000000,MEDIUM,MEDIUM,2.000000,2.000000,0.685735,0.685735,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
3,85.597000,85.597000,85.597000,85.597000,0.000000,0.000000,MEDIUM,MEDIUM,3.000000,3.000000,0.760997,0.760997,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
4,85.359000,85.359000,85.359000,85.359000,0.000000,0.000000,MEDIUM,MEDIUM,4.000000,4.000000,0.693260,0.693260,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
5,85.743000,85.743000,85.743000,85.743000,0.000000,0.000000,MEDIUM,MEDIUM,5.000000,5.000000,0.259252,0.259252,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
6,85.396000,85.396000,85.396000,85.396000,0.000000,0.000000,MEDIUM,MEDIUM,6.000000,6.000000,0.166089,0.166089,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
7,85.388000,85.388000,85.388000,85.388000,0.000000,0.000000,MEDIUM,MEDIUM,7.000000,7.000000,0.560624,0.560624,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
8,85.474000,85.474000,85.474000,85.474000,0.000000,0.000000,MEDIUM,MEDIUM,8.000000,8.000000,0.601868,0.601868,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
9,85.635000,85.635000,85.635000,85.635000,0.000000,0.000000,MEDIUM,MEDIUM,9.000000,9.000000,0.338245,0.338245,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
10,85.622000,85.622000,85.622000,85.622000,0.000000,0.000000,MEDIUM,MEDIUM,10.000000,10.000000,0.182877,0.182877,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
11,85.627000,85.627000,85.627000,85.627000,0.000000,0.000000,MEDIUM,MEDIUM,11.000000,11.000000,0.263796,0.263796,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
12,85.733000,85.733000,85.733000,85.733000,0.000000,0.000000,MEDIUM,MEDIUM,12.000000,12.000000,0.238729,0.238729,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
13,85.957000,85.957000,85.957000,85.957000,0.000000,0.000000,MEDIUM,MEDIUM,13.000000,13.000000,0.538049,0.538049,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
14,88.509000,85.789500,85.789500,85.789500,-2.719500,-2.719500,MEDIUM,MEDIUM,14.000000,14.000000,0.066296,0.066296,run,GREEN,4,,,,False,-2.719500,-2.719500,-2.719500,-2.719500,0.000000,-2.719500,in_lap,False
15,103.352000,85.725512,84.958974,86.543147,-17.626488,-20.345988,HARD,MEDIUM,1.000000,15.000000,0.184682,0.184682,run,GREEN,8,,,,False,-18.393026,-16.808853,-21.112526,-19.528353,0.186262,-17.812750,out_lap,False
16,84.985000,85.173596,84.359648,86.042740,0.188596,-20.157392,HARD,MEDIUM,2.000000,16.000000,0.249031,0.249031,run,GREEN,6,,,,False,-0.625352,1.057740,-21.753699,-18.456268,0.188596,0.000000,run,False
17,84.969000,85.159930,84.275388,86.108546,0.190930,-19.966462,HARD,MEDIUM,3.000000,17.000000,0.084837,0.084837,run,GREEN,5,,,,False,-0.693612,1.139546,-22.408306,-17.359030,0.190930,0.000000,run,False
18,85.979000,86.172264,85.233232,87.190863,0.193264,-19.773198,HARD,MEDIUM,4.000000,18.000000,0.329097,0.329097,run,GREEN,5,,,,False,-0.745768,1.211863,-23.150624,-16.156198,0.193264,0.000000,run,False
19,85.648000,85.843598,84.874545,86.945715,0.195598,-19.577600,HARD,MEDIUM,5.000000,19.000000,0.410003,0.410003,run,GREEN,4,,,,False,-0.773455,1.297715,-24.000312,-14.834518,0.195598,0.000000,run,False
20,84.965000,85.162931,84.136765,86.335175,0.197931,-19.379669,HARD,MEDIUM,6.000000,20.000000,0.067862,0.067862,run,GREEN,4,,,,False,-0.828235,1.370175,-24.895868,-13.469887,0.197931,0.000000,run,False
21,85.211000,87.804583,86.566005,89.021204,2.593583,-16.786086,HARD,MEDIUM,7.000000,21.000000,0.516600,0.516600,in_lap,GREEN,4,,,,False,1.355005,3.810204,-23.314469,-9.607012,0.200265,2.393317,run,False
22,85.317000,103.822923,101.607697,106.191423,18.505923,1.719837,HARD,SOFT,8.000000,1.000000,0.039188,0.039188,out_lap,GREEN,4,,,,False,16.290697,20.874423,-5.886770,9.194328,-1.489610,19.995533,run,False
23,85.073000,83.785056,82.902347,84.663432,-1.287944,0.431893,HARD,SOFT,9.000000,2.000000,0.498336,0.498336,warm_up_1,GREEN,3,,,,False,-2.170653,-0.409568,-7.583674,8.132830,-1.411286,0.123342,run,False
24,85.027000,83.364251,82.499792,84.233811,-1.662749,-1.230855,HARD,SOFT,10.000000,3.000000,0.552466,0.552466,warm_up_2,GREEN,3,,,,False,-2.527208,-0.793189,-9.498930,7.064944,-1.332962,-0.329787,run,False
25,85.172000,83.917362,82.983067,84.799742,-1.254638,-2.485493,HARD,SOFT,11.000000,4.000000,0.000000,0.000000,run,GREEN,3,,,,False,-2.188933,-0.372258,-11.246524,6.266377,-1.254638,0.000000,run,False
26,85.446000,84.269686,83.232592,85.253108,-1.176314,-3.661807,HARD,SOFT,12.000000,5.000000,0.685967,0.685967,run,GREEN,3,,,,False,-2.213408,-0.192892,-13.244105,5.768539,-1.176314,0.000000,run,False
27,85.470000,84.372010,83.220098,85.482837,-1.097990,-4.759798,HARD,SOFT,13.000000,6.000000,0.288716,0.288716,run,GREEN,3,,,,False,-2.249902,0.012837,-14.593310,5.281333,-1.097990,0.000000,run,False
28,85.114000,84.094334,82.827006,85.308881,-1.019666,-5.779464,HARD,SOFT,14.000000,7.000000,0.200266,0.200266,run,GREEN,3,,,,False,-2.286994,0.194881,-16.488477,5.139586,-1.019666,0.000000,run,False
29,85.496000,84.554658,83.134497,85.867959,-0.941342,-6.720806,HARD,SOFT,15.000000,8.000000,0.000000,0.000000,run,GREEN,3,,,,False,-2.361503,0.371959,-18.069933,5.055433,-0.941342,0.000000,run,False
30,85.064000,84.200982,82.641451,85.627960,-0.863018,-7.583824,HARD,SOFT,16.000000,9.000000,0.056511,0.056511,run,GREEN,3,,,,False,-2.422549,0.563960,-20.242645,5.196188,-0.863018,0.000000,run,False
31,85.398000,84.613306,82.908464,86.156639,-0.784694,-8.368518,HARD,SOFT,17.000000,10.000000,0.145941,0.145941,run,GREEN,3,,,,False,-2.489536,0.758639,-22.648286,6.080225,-0.784694,0.000000,run,False
32,85.494000,84.787630,82.951108,86.453058,-0.706370,-9.074889,HARD,SOFT,18.000000,11.000000,0.041529,0.041529,run,GREEN,3,,,,False,-2.542892,0.959058,-24.857199,6.674828,-0.706370,0.000000,run,False
33,85.772000,85.143954,83.193931,86.932689,-0.628046,-9.702935,HARD,SOFT,19.000000,12.000000,0.405960,0.405960,run,GREEN,3,,,,False,-2.578069,1.160689,-27.377397,7.782545,-0.628046,0.000000,run,False
34,85.394000,84.844277,82.772908,86.750165,-0.549723,-10.252658,HARD,SOFT,20.000000,13.000000,0.317422,0.317422,run,GREEN,2,,,,False,-2.621092,1.356165,-29.739222,9.130339,-0.549723,0.000000,run,False
35,85.763000,85.291601,83.081776,87.327687,-0.471399,-10.724056,HARD,SOFT,21.000000,14.000000,0.028633,0.028633,run,GREEN,2,,,,False,-2.681224,1.564687,-32.153894,10.481374,-0.471399,0.000000,run,False
36,85.424000,85.030925,82.687615,87.194337,-0.393075,-11.117131,HARD,SOFT,22.000000,15.000000,0.000000,0.000000,run,GREEN,2,,,,False,-2.736385,1.770337,-34.745714,12.125917,-0.393075,0.000000,run,False
37,86.041000,85.726249,83.255994,88.012111,-0.314751,-11.431882,HARD,SOFT,23.000000,16.000000,0.026744,0.026744,run,GREEN,2,,,,False,-2.785006,1.971111,-37.658537,13.810367,-0.314751,0.000000,run,False
38,85.724000,85.487573,82.887486,87.895884,-0.236427,-11.668309,HARD,SOFT,24.000000,17.000000,0.021744,0.021744,run,GREEN,2,,,,False,-2.836514,2.171884,-40.402923,15.551019,-0.236427,0.000000,run,False
39,85.712000,85.553897,82.823977,88.084658,-0.158103,-11.826412,HARD,SOFT,25.000000,18.000000,0.000000,0.000000,run,YELLOW,2,,,,False,-2.888023,2.372658,-42.953110,17.791922,-0.158103,0.000000,run,False
