lap,actual_lap_time,cf_lap_time_mean,cf_lap_time_q10,cf_lap_time_q90,lap_delta,cumulative_delta,actual_compound,cf_compound,actual_tyre_age,cf_tyre_age,actual_traffic_effect,cf_traffic_effect,pit_state,track_status,actual_position,cf_position_median,cf_position_q10,cf_position_q90,actual_lap_inferred,lap_delta_q10,lap_delta_q90,cumulative_delta_q10,cumulative_delta_q90,delta_tyre_mean,delta_pit_mean,actual_pit_state,frozen
1,103.908000,103.908000,103.908000,103.908000,0.000000,0.000000,MEDIUM,MEDIUM,1.000000,1.000000,0.441598,0.441598,run,GREEN,15.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
2,97.798000,97.798000,97.798000,97.798000,0.000000,0.000000,MEDIUM,MEDIUM,2.000000,2.000000,0.376907,0.376907,run,GREEN,16.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
3,97.881000,97.881000,97.881000,97.881000,0.000000,0.000000,MEDIUM,MEDIUM,3.000000,3.000000,0.375030,0.375030,run,GREEN,16.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
4,97.390000,97.390000,97.390000,97.390000,0.000000,0.000000,MEDIUM,MEDIUM,4.000000,4.000000,0.343538,0.343538,run,GREEN,16.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
5,96.720000,96.720000,96.720000,96.720000,0.000000,0.000000,MEDIUM,MEDIUM,5.000000,5.000000,0.182508,0.182508,run,GREEN,16.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
6,97.683000,97.683000,97.683000,97.683000,0.000000,0.000000,MEDIUM,MEDIUM,6.000000,6.000000,0.282809,0.282809,run,GREEN,16.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
7,97.362000,97.362000,97.362000,97.362000,0.000000,0.000000,MEDIUM,MEDIUM,7.000000,7.000000,0.022597,0.022597,run,GREEN,16.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
8,96.893000,96.893000,96.893000,96.893000,0.000000,0.000000,MEDIUM,MEDIUM,8.000000,8.000000,0.025909,0.025909,run,GREEN,16.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
9,96.848000,96.848000,96.848000,96.848000,0.000000,0.000000,MEDIUM,MEDIUM,9.000000,9.000000,0.042774,0.042774,run,GREEN,16.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
10,96.761000,96.761000,96.761000,96.761000,0.000000,0.000000,MEDIUM,MEDIUM,10.000000,10.000000,0.103451,0.103451,run,GREEN,16.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
11,96.489000,96.489000,96.489000,96.489000,0.000000,0.000000,MEDIUM,MEDIUM,11.000000,11.000000,0.009776,0.009776,run,GREEN,16.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
