lap,actual_lap_time,cf_lap_time_mean,cf_lap_time_q10,cf_lap_time_q90,lap_delta,cumulative_delta,actual_compound,cf_compound,actual_tyre_age,cf_tyre_age,actual_traffic_effect,cf_traffic_effect,pit_state,track_status,actual_position,cf_position_median,cf_position_q10,cf_position_q90,actual_lap_inferred,lap_delta_q10,lap_delta_q90,cumulative_delta_q10,cumulative_delta_q90,delta_tyre_mean,delta_pit_mean,actual_pit_state,frozen
1,89.682000,89.682000,89.682000,89.682000,0.000000,0.000000,SOFT,SOFT,1.000000,1.000000,0.000000,0.000000,run,GREEN,4.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
2,87.174000,87.174000,87.174000,87.174000,0.000000,0.000000,SOFT,SOFT,2.000000,2.000000,0.000000,0.000000,run,GREEN,3.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
3,125.983000,125.983000,125.983000,125.983000,0.000000,0.000000,SOFT,SOFT,3.000000,3.000000,0.000000,0.000000,free_change,RED,3.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,free_change,False
4,772.724667,772.724667,772.724667,772.724667,0.000000,0.000000,MEDIUM,MEDIUM,1.000000,1.000000,0.000000,0.000000,free_change,RED,,,,,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,free_change,False
5,772.724667,772.724667,772.724667,772.724667,0.000000,0.000000,MEDIUM,MEDIUM,2.000000,2.000000,0.000000,0.000000,run,RED,,,,,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
6,772.724667,772.724667,772.724667,772.724667,0.000000,0.000000,MEDIUM,MEDIUM,3.000000,3.000000,0.000000,0.000000,run,MISSING,,,,,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
7,86.328000,86.328000,86.328000,86.328000,0.000000,0.000000,MEDIUM,MEDIUM,4.000000,4.000000,0.000000,0.000000,run,GREEN,2.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
8,86.407000,86.407000,86.407000,86.407000,0.000000,0.000000,MEDIUM,MEDIUM,5.000000,5.000000,0.000000,0.000000,run,GREEN,2.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
9,86.096000,86.096000,86.096000,86.096000,0.000000,0.000000,MEDIUM,MEDIUM,6.000000,6.000000,0.000000,0.000000,run,GREEN,2.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
10,85.609000,85.609000,85.609000,85.609000,0.000000,0.000000,MEDIUM,MEDIUM,7.000000,7.000000,0.000000,0.000000,run,GREEN,2.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
11,86.154000,86.154000,86.154000,86.154000,0.000000,0.000000,MEDIUM,MEDIUM,8.000000,8.000000,0.000000,0.000000,run,GREEN,2.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
12,86.438000,86.438000,86.438000,86.438000,0.000000,0.000000,MEDIUM,MEDIUM,9.000000,9.000000,0.000000,0.000000,run,GREEN,1.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
13,86.280000,86.280000,86.280000,86.280000,0.000000,0.000000,MEDIUM,MEDIUM,10.000000,10.000000,0.000000,0.000000,run,GREEN,1.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
14,86.411000,86.411000,86.411000,86.411000,0.000000,0.000000,MEDIUM,MEDIUM,11.000000,11.000000,0.000000,0.000000,run,GREEN,1.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
15,86.958000,86.958000,86.958000,86.958000,0.000000,0.000000,MEDIUM,MEDIUM,12.000000,12.000000,0.000000,0.000000,run,GREEN,2.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
16,86.445000,89.875884,89.284374,90.488316,3.430884,3.430884,MEDIUM,MEDIUM,13.000000,13.000000,0.000000,0.000000,in_lap,GREEN,3.000000,,,,False,2.839374,4.043316,2.839374,4.043316,0.000000,3.430884,run,False
17,85.419000,104.192894,101.205500,107.180062,18.773894,22.204778,MEDIUM,HARD,14.000000,1.000000,0.000000,0.000000,out_lap,GREEN,3.000000,,,,False,15.786500,21.761062,18.709957,25.848077,0.167426,18.606468,run,False
18,85.467000,85.515850,84.555235,86.410215,0.048850,22.253628,MEDIUM,HARD,15.000000,2.000000,0.000000,0.000000,warm_up_1,GREEN,3.000000,,,,False,-0.911765,0.943215,18.606910,26.220175,0.170476,-0.121626,run,False
19,86.426000,86.553738,85.589187,87.603613,0.127738,22.381367,MEDIUM,HARD,16.000000,3.000000,0.000000,0.000000,warm_up_2,GREEN,3.000000,,,,False,-0.836813,1.177613,18.299685,26.616317,0.173527,-0.045789,run,False
20,86.073000,86.249577,85.360219,87.094778,0.176577,22.557944,MEDIUM,HARD,17.000000,4.000000,0.000000,0.000000,run,GREEN,3.000000,,,,False,-0.712781,1.021778,17.824487,27.400971,0.176577,0.000000,run,False
21,86.171000,86.350628,85.397064,87.244521,0.179628,22.737571,MEDIUM,HARD,18.000000,5.000000,0.000000,0.000000,run,GREEN,3.000000,,,,False,-0.773936,1.073521,17.289600,28.071820,0.179628,0.000000,run,False
22,86.062000,86.244678,85.237866,87.179830,0.182678,22.920250,MEDIUM,HARD,19.000000,6.000000,0.000000,0.000000,run,GREEN,3.000000,,,,False,-0.824134,1.117830,16.703843,28.695962,0.182678,0.000000,run,False
23,85.850000,86.035729,84.962108,87.007369,0.185729,23.105978,MEDIUM,HARD,20.000000,7.000000,0.000000,0.000000,run,GREEN,3.000000,,,,False,-0.887892,1.157369,16.153460,29.668282,0.185729,0.000000,run,False
24,85.725000,85.913779,84.770198,86.920706,0.188779,23.294757,MEDIUM,HARD,21.000000,8.000000,0.000000,0.000000,run,GREEN,3.000000,,,,False,-0.954802,1.195706,15.194906,30.748921,0.188779,0.000000,run,False
25,85.377000,85.568830,84.358375,86.613021,0.191830,23.486587,MEDIUM,HARD,22.000000,9.000000,0.000000,0.000000,run,GREEN,3.000000,,,,False,-1.018625,1.236021,14.458362,31.786420,0.191830,0.000000,run,False
26,85.706000,85.900880,84.622261,86.983536,0.194880,23.681467,MEDIUM,HARD,23.000000,10.000000,0.000000,0.000000,run,GREEN,3.000000,,,,False,-1.083739,1.277536,13.662189,33.036745,0.194880,0.000000,run,False
27,85.810000,86.007931,84.678138,87.145290,0.197931,23.879398,MEDIUM,HARD,24.000000,11.000000,0.000000,0.000000,run,GREEN,3.000000,,,,False,-1.131862,1.335290,12.646191,34.312019,0.197931,0.000000,run,False
28,109.197000,114.103337,112.668017,115.480365,4.906337,28.785735,MEDIUM,HARD,25.000000,12.000000,0.000000,0.000000,in_lap,VSC,3.000000,,,,False,3.471017,6.283365,16.146865,40.569108,0.200981,4.705356,in_lap,False
29,108.394000,106.963779,104.100333,109.886662,-1.430221,27.355514,HARD,HARD,1.000000,1.000000,0.000000,0.000000,out_lap,VSC,7.000000,,,,False,-4.293667,1.492662,13.440706,39.928770,0.000000,-1.430221,out_lap,False
30,85.130000,85.008374,84.416355,85.625965,-0.121626,27.233889,HARD,HARD,2.000000,2.000000,0.000000,0.000000,warm_up_1,GREEN,7.000000,,,,False,-0.713645,0.495965,13.259898,40.021928,0.000000,-0.121626,run,False
31,84.514000,84.468211,83.936155,85.037510,-0.045789,27.188100,HARD,HARD,3.000000,3.000000,0.000000,0.000000,warm_up_2,GREEN,6.000000,,,,False,-0.577845,0.523510,13.042353,40.271684,0.000000,-0.045789,run,False
32,85.391000,85.391000,85.391000,85.391000,0.000000,27.188100,HARD,HARD,4.000000,4.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,0.000000,0.000000,13.042353,40.271684,0.000000,0.000000,run,False
33,84.900000,84.900000,84.900000,84.900000,0.000000,27.188100,HARD,HARD,5.000000,5.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,0.000000,0.000000,13.042353,40.271684,0.000000,0.000000,run,False
