lap,actual_lap_time,cf_lap_time_mean,cf_lap_time_q10,cf_lap_time_q90,lap_delta,cumulative_delta,actual_compound,cf_compound,actual_tyre_age,cf_tyre_age,actual_traffic_effect,cf_traffic_effect,pit_state,track_status,actual_position,cf_position_median,cf_position_q10,cf_position_q90,actual_lap_inferred,lap_delta_q10,lap_delta_q90,cumulative_delta_q10,cumulative_delta_q90,delta_tyre_mean,delta_pit_mean,actual_pit_state,frozen
1,90.598000,90.598000,90.598000,90.598000,0.000000,0.000000,SOFT,SOFT,4.000000,4.000000,0.000000,0.000000,run,YELLOW,7.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
2,133.174000,133.174000,133.174000,133.174000,0.000000,0.000000,SOFT,SOFT,5.000000,5.000000,0.000000,0.000000,free_change,RED,7.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,free_change,False
3,970.023000,970.023000,970.023000,970.023000,0.000000,0.000000,SOFT,SOFT,1.000000,1.000000,0.000000,0.000000,free_change,RED,,,,,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,free_change,False
4,970.023000,970.023000,970.023000,970.023000,0.000000,0.000000,SOFT,SOFT,2.000000,2.000000,0.000000,0.000000,run,RED,,,,,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
5,93.652000,93.652000,93.652000,93.652000,0.000000,0.000000,SOFT,SOFT,3.000000,3.000000,0.000000,0.000000,run,YELLOW,7.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
6,78.647000,78.647000,78.647000,78.647000,0.000000,0.000000,SOFT,SOFT,4.000000,4.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
7,78.088000,78.088000,78.088000,78.088000,0.000000,0.000000,SOFT,SOFT,5.000000,5.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
8,77.761000,77.761000,77.761000,77.761000,0.000000,0.000000,SOFT,SOFT,6.000000,6.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
9,77.626000,77.626000,77.626000,77.626000,0.000000,0.000000,SOFT,SOFT,7.000000,7.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
10,77.788000,77.788000,77.788000,77.788000,0.000000,0.000000,SOFT,SOFT,8.000000,8.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
11,77.905000,77.905000,77.905000,77.905000,0.000000,0.000000,SOFT,SOFT,9.000000,9.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
12,77.985000,77.985000,77.985000,77.985000,0.000000,0.000000,SOFT,SOFT,10.000000,10.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
13,77.889000,77.889000,77.889000,77.889000,0.000000,0.000000,SOFT,SOFT,11.000000,11.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
14,78.352000,78.352000,78.352000,78.352000,0.000000,0.000000,SOFT,SOFT,12.000000,12.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
15,77.967000,77.967000,77.967000,77.967000,0.000000,0.000000,SOFT,SOFT,13.000000,13.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
16,78.371000,78.371000,78.371000,78.371000,0.000000,0.000000,SOFT,SOFT,14.000000,14.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
17,78.234000,78.234000,78.234000,78.234000,0.000000,0.000000,SOFT,SOFT,15.000000,15.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
18,78.750000,78.750000,78.750000,78.750000,0.000000,0.000000,SOFT,SOFT,16.000000,16.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
19,79.000000,79.000000,79.000000,79.000000,0.000000,0.000000,SOFT,SOFT,17.000000,17.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
20,78.737000,78.737000,78.737000,78.737000,0.000000,0.000000,SOFT,SOFT,18.000000,18.000000,0.000000,0.000000,run,GREEN,5.000000,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
21,81.990000,81.469083,81.141711,81.808034,-0.520917,-0.520917,SOFT,SOFT,19.000000,19.000000,0.000000,0.000000,in_lap,GREEN,7.000000,,,,False,-0.848289,-0.181966,-0.848289,-0.181966,0.000000,-0.520917,in_lap,False
22,94.757000,93.692338,91.944437,95.530635,-1.064662,-1.585579,MEDIUM,MEDIUM,1.000000,1.000000,0.000000,0.000000,out_lap,GREEN,9.000000,,,,False,-2.812563,0.773635,-3.653305,0.618463,0.000000,-1.064662,out_lap,False
23,78.249000,78.067828,77.464104,78.639922,-0.181172,-1.766751,MEDIUM,MEDIUM,2.000000,2.000000,0.000000,0.000000,warm_up_1,GREEN,8.000000,,,,False,-0.784896,0.390922,-3.904331,0.294918,0.000000,-0.181172,run,False
24,77.234000,77.013822,76.430729,77.637355,-0.220178,-1.986929,MEDIUM,MEDIUM,3.000000,3.000000,0.000000,0.000000,warm_up_2,GREEN,7.000000,,,,False,-0.803271,0.403355,-4.167116,0.344101,0.000000,-0.220178,run,False
25,76.794000,76.794000,76.794000,76.794000,0.000000,-1.986929,MEDIUM,MEDIUM,4.000000,4.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,-4.167116,0.344101,0.000000,0.000000,run,False
26,76.855000,76.855000,76.855000,76.855000,0.000000,-1.986929,MEDIUM,MEDIUM,5.000000,5.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,-4.167116,0.344101,0.000000,0.000000,run,False
27,76.852000,76.852000,76.852000,76.852000,0.000000,-1.986929,MEDIUM,MEDIUM,6.000000,6.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,-4.167116,0.344101,0.000000,0.000000,run,False
28,76.927000,76.927000,76.927000,76.927000,0.000000,-1.986929,MEDIUM,MEDIUM,7.000000,7.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,-4.167116,0.344101,0.000000,0.000000,run,False
29,77.081000,77.081000,77.081000,77.081000,0.000000,-1.986929,MEDIUM,MEDIUM,8.000000,8.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,-4.167116,0.344101,0.000000,0.000000,run,False
30,77.126000,77.126000,77.126000,77.126000,0.000000,-1.986929,MEDIUM,MEDIUM,9.000000,9.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,-4.167116,0.344101,0.000000,0.000000,run,False
31,77.177000,77.177000,77.177000,77.177000,0.000000,-1.986929,MEDIUM,MEDIUM,10.000000,10.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,-4.167116,0.344101,0.000000,0.000000,run,False
32,76.841000,79.748791,79.421419,80.087742,2.907791,0.920862,MEDIUM,MEDIUM,11.000000,11.000000,0.000000,0.000000,in_lap,GREEN,7.000000,,,,False,2.580419,3.246742,-1.585839,3.470958,0.000000,2.907791,run,False
33,76.984000,92.813578,90.971396,94.622315,15.829578,16.750440,MEDIUM,HARD,12.000000,1.000000,0.000000,0.000000,out_lap,GREEN,7.000000,,,,False,13.987396,17.638315,12.497655,21.102485,-0.961427,16.791004,run,False
34,76.993000,75.885675,75.304521,76.446128,-1.107325,15.643115,MEDIUM,HARD,13.000000,2.000000,0.000000,0.000000,warm_up_1,GREEN,7.000000,,,,False,-1.688479,-0.546872,11.407074,20.248391,-1.014294,-0.093031,run,False
35,77.535000,76.347598,75.785547,76.942043,-1.187402,14.455713,MEDIUM,HARD,14.000000,3.000000,0.000000,0.000000,warm_up_2,GREEN,7.000000,,,,False,-1.749453,-0.592957,10.007169,18.917331,-1.067161,-0.120240,run,False
36,77.590000,76.469971,76.072917,76.844252,-1.120029,13.335684,MEDIUM,HARD,15.000000,4.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,-1.517083,-0.745748,8.783191,17.880111,-1.120029,0.000000,run,False
37,77.520000,76.347104,75.938644,76.732067,-1.172896,12.162788,MEDIUM,HARD,16.000000,5.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,-1.581356,-0.787933,7.545590,16.807129,-1.172896,0.000000,run,False
38,77.372000,76.146237,75.722199,76.542839,-1.225763,10.937025,MEDIUM,HARD,17.000000,6.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,-1.649801,-0.829161,5.978671,15.691409,-1.225763,0.000000,run,False
39,77.586000,76.307369,75.869579,76.720842,-1.278631,9.658394,MEDIUM,HARD,18.000000,7.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,-1.716421,-0.865158,4.467057,14.541113,-1.278631,0.000000,run,False
40,77.345000,76.013502,75.568299,76.439053,-1.331498,8.326896,MEDIUM,HARD,19.000000,8.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,-1.776701,-0.905947,3.044862,13.441552,-1.331498,0.000000,run,False
41,77.544000,76.159634,75.701424,76.596263,-1.384366,6.942530,MEDIUM,HARD,20.000000,9.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,-1.842576,-0.947737,1.324182,12.136576,-1.384366,0.000000,run,False
42,77.340000,75.902767,75.424333,76.350927,-1.437233,5.505297,MEDIUM,HARD,21.000000,10.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,-1.915667,-0.989073,-0.545262,10.899363,-1.437233,0.000000,run,False
43,77.669000,76.178900,75.687711,76.637657,-1.490100,4.015197,MEDIUM,HARD,22.000000,11.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,-1.981289,-1.031343,-2.453267,9.814412,-1.490100,0.000000,run,False
44,77.658000,76.115032,75.618601,76.580384,-1.542968,2.472229,MEDIUM,HARD,23.000000,12.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,-2.039399,-1.077616,-4.340792,8.566104,-1.542968,0.000000,run,False
45,77.977000,76.381165,75.871403,76.862409,-1.595835,0.876394,MEDIUM,HARD,24.000000,13.000000,0.000000,0.000000,run,GREEN,6.000000,,,,False,-2.105597,-1.114591,-6.343299,7.230666,-1.595835,0.000000,run,False
46,78.694000,77.045298,76.519009,77.540768,-1.648702,-0.772309,MEDIUM,HARD,25.000000,14.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,-2.174991,-1.153232,-8.401966,5.997192,-1.648702,0.000000,run,False
47,81.272000,78.954055,78.322644,79.546502,-2.317945,-3.090254,MEDIUM,HARD,26.000000,15.000000,0.000000,0.000000,in_lap,GREEN,7.000000,,,,False,-2.949356,-1.725498,-11.374661,4.255978,-1.701570,-0.616375,in_lap,False
48,93.401000,92.831421,91.083521,94.669718,-0.569579,-3.659833,MEDIUM,MEDIUM,1.000000,1.000000,0.000000,0.000000,out_lap,GREEN,7.000000,,,,False,-2.317479,1.268718,-13.147195,4.718004,0.000000,-0.569579,out_lap,False
49,75.801000,75.619828,75.016104,76.191922,-0.181172,-3.841005,MEDIUM,MEDIUM,2.000000,2.000000,0.000000,0.000000,warm_up_1,GREEN,7.000000,,,,False,-0.784896,0.390922,-13.368676,4.616262,0.000000,-0.181172,run,False
50,75.578000,75.357822,74.774729,75.981355,-0.220178,-4.061182,MEDIUM,MEDIUM,3.000000,3.000000,0.000000,0.000000,warm_up_2,GREEN,7.000000,,,,False,-0.803271,0.403355,-13.685800,4.377851,0.000000,-0.220178,run,False
51,76.913000,76.913000,76.913000,76.913000,0.000000,-4.061182,MEDIUM,MEDIUM,4.000000,4.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,-13.685800,4.377851,0.000000,0.000000,run,False
52,76.049000,76.049000,76.049000,76.049000,0.000000,-4.061182,MEDIUM,MEDIUM,5.000000,5.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,-13.685800,4.377851,0.000000,0.000000,run,False
53,76.448000,76.448000,76.448000,76.448000,0.000000,-4.061182,MEDIUM,MEDIUM,6.000000,6.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,-13.685800,4.377851,0.000000,0.000000,run,False
54,90.350000,90.350000,90.350000,90.350000,0.000000,-4.061182,MEDIUM,MEDIUM,7.000000,7.000000,0.000000,0.000000,run,VSC,7.000000,,,,False,0.000000,0.000000,-13.685800,4.377851,0.000000,0.000000,run,False
55,103.237000,103.237000,103.237000,103.237000,0.000000,-4.061182,MEDIUM,MEDIUM,8.000000,8.000000,0.000000,0.000000,run,VSC,7.000000,,,,False,0.000000,0.000000,-13.685800,4.377851,0.000000,0.000000,run,False
56,102.397000,102.397000,102.397000,102.397000,0.000000,-4.061182,MEDIUM,MEDIUM,9.000000,9.000000,0.000000,0.000000,run,VSC,7.000000,,,,False,0.000000,0.000000,-13.685800,4.377851,0.000000,0.000000,run,False
57,77.779000,77.779000,77.779000,77.779000,0.000000,-4.061182,MEDIUM,MEDIUM,10.000000,10.000000,0.000000,0.000000,run,VSC,7.000000,,,,False,0.000000,0.000000,-13.685800,4.377851,0.000000,0.000000,run,False
58,76.190000,76.190000,76.190000,76.190000,0.000000,-4.061182,MEDIUM,MEDIUM,11.000000,11.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,-13.685800,4.377851,0.000000,0.000000,run,False
59,76.075000,76.075000,76.075000,76.075000,0.000000,-4.061182,MEDIUM,MEDIUM,12.000000,12.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,-13.685800,4.377851,0.000000,0.000000,run,False
60,76.496000,76.496000,76.496000,76.496000,0.000000,-4.061182,MEDIUM,MEDIUM,13.000000,13.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,-13.685800,4.377851,0.000000,0.000000,run,False
61,75.435000,75.435000,75.435000,75.435000,0.000000,-4.061182,MEDIUM,MEDIUM,14.000000,14.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,-13.685800,4.377851,0.000000,0.000000,run,False
62,76.258000,76.258000,76.258000,76.258000,0.000000,-4.061182,MEDIUM,MEDIUM,15.000000,15.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,-13.685800,4.377851,0.000000,0.000000,run,False
63,76.346000,76.346000,76.346000,76.346000,0.000000,-4.061182,MEDIUM,MEDIUM,16.000000,16.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,-13.685800,4.377851,0.000000,0.000000,run,False
64,76.036000,76.036000,76.036000,76.036000,0.000000,-4.061182,MEDIUM,MEDIUM,17.000000,17.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,-13.685800,4.377851,0.000000,0.000000,run,False
65,76.295000,76.295000,76.295000,76.295000,0.000000,-4.061182,MEDIUM,MEDIUM,18.000000,18.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,-13.685800,4.377851,0.000000,0.000000,run,False
66,76.191000,76.191000,76.191000,76.191000,0.000000,-4.061182,MEDIUM,MEDIUM,19.000000,19.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,-13.685800,4.377851,0.000000,0.000000,run,False
67,76.213000,76.213000,76.213000,76.213000,0.000000,-4.061182,MEDIUM,MEDIUM,20.000000,20.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,-13.685800,4.377851,0.000000,0.000000,run,False
68,76.197000,76.197000,76.197000,76.197000,0.000000,-4.061182,MEDIUM,MEDIUM,21.000000,21.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,-13.685800,4.377851,0.000000,0.000000,run,False
69,94.520000,94.520000,94.520000,94.520000,0.000000,-4.061182,MEDIUM,MEDIUM,22.000000,22.000000,0.000000,0.000000,run,VSC,7.000000,,,,False,0.000000,0.000000,-13.685800,4.377851,0.000000,0.000000,run,False
70,76.303000,76.303000,76.303000,76.303000,0.000000,-4.061182,MEDIUM,MEDIUM,23.000000,23.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,-13.685800,4.377851,0.000000,0.000000,run,False
71,76.222000,76.222000,76.222000,76.222000,0.000000,-4.061182,MEDIUM,MEDIUM,24.000000,24.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,-13.685800,4.377851,0.000000,0.000000,run,False
72,76.543000,76.543000,76.543000,76.543000,0.000000,-4.061182,MEDIUM,MEDIUM,25.000000,25.000000,0.000000,0.000000,run,GREEN,7.000000,,,,False,0.000000,0.000000,-13.685800,4.377851,0.000000,0.000000,run,False
