session,Driver,LapNumber,Stint,Compound,TyreLife,lap_s,traffic,reason
FP1,ALB,1,1.0,MEDIUM,1.0,147.461,0.13022351797862,pit in/out lap
FP1,ALB,2,1.0,MEDIUM,2.0,130.215,0.0,yellow / SC / VSC / red flag
FP1,ALB,3,1.0,MEDIUM,3.0,124.08,0.2659340659340659,cool-down / aborted (>105% of run best)
FP1,ALB,4,1.0,MEDIUM,4.0,89.23,0.0261136712749615,cool-down / aborted (>105% of run best)
FP1,ALB,5,1.0,MEDIUM,5.0,87.316,0.0167682926829268,cool-down / aborted (>105% of run best)
FP1,ALB,6,1.0,MEDIUM,6.0,106.084,0.0425,cool-down / aborted (>105% of run best)
FP1,ALB,7,1.0,MEDIUM,7.0,84.436,0.0370994940978077,kept
FP1,ALB,8,1.0,MEDIUM,8.0,112.123,0.0890736342042755,cool-down / aborted (>105% of run best)
FP1,ALB,9,1.0,MEDIUM,9.0,85.063,0.0,kept
FP1,ALB,10,1.0,MEDIUM,10.0,121.34,0.0689277899343544,cool-down / aborted (>105% of run best)
FP1,ALB,11,1.0,MEDIUM,11.0,84.243,0.0,kept
FP1,ALB,12,1.0,MEDIUM,12.0,114.321,0.0,cool-down / aborted (>105% of run best)
FP1,ALB,13,1.0,MEDIUM,13.0,83.67,0.0,kept
FP1,ALB,14,1.0,MEDIUM,14.0,109.973,0.0217654171704957,cool-down / aborted (>105% of run best)
FP1,ALB,15,1.0,MEDIUM,15.0,83.144,0.0614886731391585,kept
FP1,ALB,16,1.0,MEDIUM,16.0,113.206,0.0191387559808612,cool-down / aborted (>105% of run best)
FP1,ALB,17,1.0,MEDIUM,17.0,83.663,,no gap-to-car-ahead data
FP1,ALB,19,2.0,SOFT,1.0,106.161,0.0340050377833753,pit in/out lap
FP1,ALB,20,2.0,SOFT,2.0,83.13,,no gap-to-car-ahead data
FP1,ALB,21,2.0,SOFT,3.0,117.874,0.5513812154696133,traffic (>30% of lap within 60 m of a car)
