session,Driver,LapNumber,Stint,Compound,TyreLife,lap_s,traffic,reason
FP1,ALB,2,1.0,HARD,2.0,71.316,0.0,short run (<5 clean laps)
FP1,ALB,3,1.0,HARD,3.0,100.93,0.0753701211305518,short run (<5 clean laps)
FP1,ALB,4,1.0,HARD,4.0,71.285,0.0,short run (<5 clean laps)
FP1,ALB,5,1.0,HARD,5.0,112.778,0.0174216027874564,pit in/out lap
FP1,ALB,6,2.0,HARD,6.0,112.842,0.2002355712603062,pit in/out lap
FP1,ALB,7,2.0,HARD,7.0,70.853,0.1535648994515539,short run (<5 clean laps)
FP1,ALB,8,2.0,HARD,8.0,106.964,,no gap-to-car-ahead data
FP1,ALB,9,2.0,HARD,9.0,85.308,,no gap-to-car-ahead data
FP1,ALB,10,2.0,HARD,10.0,84.377,0.7687400318979266,traffic (>30% of lap within 60 m of a car)
FP1,ALB,11,2.0,HARD,11.0,89.84,,no gap-to-car-ahead data
FP1,ALB,12,2.0,HARD,12.0,70.699,,no gap-to-car-ahead data
FP1,ALB,13,2.0,HARD,13.0,97.399,0.3391891891891891,traffic (>30% of lap within 60 m of a car)
FP1,ALB,14,2.0,HARD,14.0,89.436,0.3783382789317507,traffic (>30% of lap within 60 m of a car)
FP1,ALB,15,2.0,HARD,15.0,70.607,,no gap-to-car-ahead data
FP1,ALB,16,2.0,HARD,16.0,88.862,0.4262295081967213,pit in/out lap
FP1,ALB,18,3.0,SOFT,2.0,69.644,,no gap-to-car-ahead data
FP1,ALB,19,3.0,SOFT,3.0,116.782,0.2020089285714285,short run (<5 clean laps)
FP1,ALB,20,3.0,SOFT,4.0,96.706,0.4184782608695652,traffic (>30% of lap within 60 m of a car)
FP1,ALB,21,3.0,SOFT,5.0,69.831,,no gap-to-car-ahead data
FP1,ALB,22,3.0,SOFT,6.0,93.942,,pit in/out lap
FP1,ALB,24,4.0,SOFT,8.0,72.579,0.0,kept
FP1,ALB,25,4.0,SOFT,9.0,72.785,0.0,kept
FP1,ALB,26,4.0,SOFT,10.0,72.785,0.0,kept
FP1,ALB,27,4.0,SOFT,11.0,73.301,0.0,kept
FP1,ALB,28,4.0,SOFT,12.0,73.33,0.0,kept
FP1,ALB,29,4.0,SOFT,13.0,74.015,0.0,kept
FP1,ALB,30,4.0,SOFT,14.0,75.593,0.4117647058823529,yellow / SC / VSC / red flag
FP1,ALO,2,1.0,HARD,2.0,73.024,0.0,kept
FP1,ALO,3,1.0,HARD,3.0,99.638,0.04,cool-down / aborted (>105% of run best)
FP1,ALO,4,1.0,HARD,4.0,72.269,0.0542495479204339,kept
FP1,ALO,5,1.0,HARD,5.0,106.796,0.0395061728395061,cool-down / aborted (>105% of run best)
FP1,ALO,6,1.0,HARD,6.0,72.294,0.0310786106032906,kept
FP1,ALO,7,1.0,HARD,7.0,118.908,0.0301675977653631,cool-down / aborted (>105% of run best)
FP1,ALO,8,1.0,HARD,8.0,94.791,0.0,pit in/out lap
FP1,ALO,10,2.0,HARD,10.0,72.876,0.0,kept
