session,Driver,LapNumber,Stint,Compound,TyreLife,lap_s,traffic,reason
FP1,ALO,2,1.0,MEDIUM,2.0,82.972,0.1378763866877971,kept
FP1,ALO,3,1.0,MEDIUM,3.0,108.602,0.0334987593052109,cool-down / aborted (>105% of run best)
FP1,ALO,4,1.0,MEDIUM,4.0,81.227,0.0403877221324717,kept
FP1,ALO,5,1.0,MEDIUM,5.0,119.019,0.0078563411896745,cool-down / aborted (>105% of run best)
FP1,ALO,6,1.0,MEDIUM,6.0,81.435,0.0524590163934426,kept
FP1,ALO,7,1.0,MEDIUM,7.0,111.967,0.1082654249126891,pit in/out lap
FP1,ALO,9,2.0,MEDIUM,9.0,87.46,0.0608424336973478,short run (<5 clean laps)
FP1,ALO,10,2.0,MEDIUM,10.0,101.625,0.01953125,short run (<5 clean laps)
FP1,ALO,11,2.0,MEDIUM,11.0,82.513,0.0490506329113924,short run (<5 clean laps)
FP1,ALO,12,2.0,MEDIUM,12.0,98.815,0.0176630434782608,pit in/out lap
FP1,ALO,14,3.0,SOFT,2.0,80.067,0.0454545454545454,short run (<5 clean laps)
FP1,ALO,15,3.0,SOFT,3.0,121.748,0.1764069264069264,pit in/out lap
FP1,ALO,16,4.0,SOFT,4.0,141.912,0.0407030527289546,pit in/out lap
FP1,ALO,17,4.0,SOFT,5.0,81.287,0.017915309446254,short run (<5 clean laps)
FP1,ALO,18,4.0,SOFT,6.0,119.145,0.0320441988950276,pit in/out lap
FP1,ALO,20,5.0,SOFT,8.0,107.049,0.0738916256157635,short run (<5 clean laps)
FP1,ALO,21,5.0,SOFT,9.0,86.887,0.0121580547112462,short run (<5 clean laps)
FP1,ALO,22,5.0,SOFT,10.0,120.038,0.0316248636859323,short run (<5 clean laps)
FP1,ALO,23,5.0,SOFT,11.0,135.722,0.1653543307086614,pit in/out lap
FP1,ARO,2,1.0,SOFT,2.0,104.389,0.4748743718592965,pit in/out lap
FP1,ARO,4,2.0,SOFT,4.0,79.313,0.1019736842105263,kept
FP1,ARO,5,2.0,SOFT,5.0,128.796,0.0701570680628272,cool-down / aborted (>105% of run best)
FP1,ARO,6,2.0,SOFT,6.0,117.208,0.0164512338425381,cool-down / aborted (>105% of run best)
FP1,ARO,7,2.0,SOFT,7.0,78.515,0.021630615640599,kept
FP1,ARO,8,2.0,SOFT,8.0,122.835,0.0793478260869565,cool-down / aborted (>105% of run best)
FP1,ARO,9,2.0,SOFT,9.0,113.164,0.0,yellow / SC / VSC / red flag
FP1,ARO,10,2.0,SOFT,10.0,78.247,0.1605960264900662,kept
FP1,ARO,11,2.0,SOFT,11.0,105.04,0.021656050955414,pit in/out lap
FP1,ARO,13,3.0,SOFT,2.0,77.321,0.4101694915254237,traffic (>30% of lap within 60 m of a car)
FP1,ARO,14,3.0,SOFT,3.0,127.033,0.1398527865404837,short run (<5 clean laps)
FP1,ARO,15,3.0,SOFT,4.0,110.429,0.0,short run (<5 clean laps)
FP1,ARO,16,3.0,SOFT,5.0,78.579,0.0988274706867671,short run (<5 clean laps)
FP1,ARO,17,3.0,SOFT,6.0,103.972,0.024390243902439,pit in/out lap
FP1,ARO,18,4.0,SOFT,7.0,114.408,0.1529548088064889,pit in/out lap
FP1,ARO,19,4.0,SOFT,8.0,81.656,0.0798045602605863,kept
FP1,ARO,20,4.0,SOFT,9.0,81.283,0.0160513643659711,kept
FP1,ARO,21,4.0,SOFT,10.0,86.84,0.0,cool-down / aborted (>105% of run best)
FP1,ARO,22,4.0,SOFT,11.0,81.577,0.0,kept
FP1,ARO,23,4.0,SOFT,12.0,81.305,0.0,kept
FP1,ARO,24,4.0,SOFT,13.0,110.261,0.2071428571428571,pit in/out lap
FP1,BEA,2,1.0,HARD,2.0,99.268,0.0175202156334231,pit in/out lap
FP1,BEA,4,2.0,HARD,4.0,81.072,0.1442307692307692,short run (<5 clean laps)
FP1,BEA,6,2.0,HARD,6.0,122.575,0.0118918918918918,short run (<5 clean laps)
FP1,BEA,7,2.0,HARD,7.0,80.491,0.0,short run (<5 clean laps)
FP1,BEA,9,3.0,HARD,9.0,142.407,0.1354359925788497,pit in/out lap
FP1,BEA,10,3.0,HARD,10.0,80.272,0.001727115716753,short run (<5 clean laps)
FP1,BEA,11,3.0,HARD,11.0,142.424,0.0773584905660377,pit in/out lap
FP1,BEA,13,4.0,HARD,13.0,80.154,0.0579710144927536,short run (<5 clean laps)
FP1,BEA,14,4.0,HARD,14.0,142.103,0.0212373037857802,pit in/out lap
FP1,BEA,16,5.0,HARD,16.0,79.945,0.0362438220757825,short run (<5 clean laps)
FP1,BEA,17,5.0,HARD,17.0,109.835,0.1060240963855421,pit in/out lap
FP1,BEA,19,6.0,SOFT,2.0,78.172,0.0222222222222222,short run (<5 clean laps)
FP1,BEA,20,6.0,SOFT,3.0,119.655,0.0374862183020948,short run (<5 clean laps)
FP1,BEA,21,6.0,SOFT,4.0,82.899,0.0145395799676898,short run (<5 clean laps)
FP1,BEA,22,6.0,SOFT,5.0,82.111,0.0,short run (<5 clean laps)
FP1,BEA,23,6.0,SOFT,6.0,84.239,0.5038880248833593,traffic (>30% of lap within 60 m of a car)
FP1,BEA,24,6.0,SOFT,7.0,110.336,0.5221556886227545,traffic (>30% of lap within 60 m of a car)
FP1,BEA,25,6.0,SOFT,8.0,116.695,0.0893470790378006,pit in/out lap
FP1,BEG,2,1.0,MEDIUM,2.0,85.203,0.0790697674418604,short run (<5 clean laps)
FP1,BEG,3,1.0,MEDIUM,3.0,83.395,0.5088282504012841,traffic (>30% of lap within 60 m of a car)
FP1,BEG,4,1.0,MEDIUM,4.0,83.044,0.7061688311688312,traffic (>30% of lap within 60 m of a car)
FP1,BEG,5,1.0,MEDIUM,5.0,81.012,1.0,traffic (>30% of lap within 60 m of a car)
FP1,BEG,6,1.0,MEDIUM,6.0,81.6,,no gap-to-car-ahead data
FP1,BEG,7,1.0,MEDIUM,7.0,81.94,,no gap-to-car-ahead data
