session,Driver,LapNumber,Stint,Compound,TyreLife,lap_s,traffic,reason
FP1,ALB,3,2.0,MEDIUM,2.0,112.125,0.0475624256837098,short run (<5 clean laps)
FP1,ALB,5,2.0,MEDIUM,4.0,110.816,0.0606060606060606,short run (<5 clean laps)
FP1,ALB,7,2.0,MEDIUM,6.0,110.447,0.0158343483556638,short run (<5 clean laps)
FP1,ALB,9,2.0,MEDIUM,8.0,110.734,0.0152941176470588,short run (<5 clean laps)
FP1,ALB,10,2.0,MEDIUM,9.0,138.212,0.0,pit in/out lap
FP1,ALB,12,3.0,SOFT,2.0,109.79,0.0,short run (<5 clean laps)
FP1,ALB,14,3.0,SOFT,4.0,109.337,0.0,short run (<5 clean laps)
FP1,ALB,15,3.0,SOFT,5.0,134.727,0.0169830169830169,pit in/out lap
FP1,ALB,17,4.0,SOFT,7.0,113.712,0.0,kept
FP1,ALB,18,4.0,SOFT,8.0,114.055,0.0,kept
FP1,ALB,19,4.0,SOFT,9.0,114.397,0.0,kept
FP1,ALB,20,4.0,SOFT,10.0,114.971,0.1235697940503432,kept
FP1,ALB,21,4.0,SOFT,11.0,115.08,0.1525229357798165,yellow / SC / VSC / red flag
FP1,ALB,22,4.0,SOFT,12.0,115.235,0.1702857142857143,kept
FP1,ALB,24,4.0,SOFT,14.0,127.296,0.0,pit in/out lap
FP1,ANT,2,1.0,MEDIUM,2.0,110.397,0.0,short run (<5 clean laps)
FP1,ANT,4,1.0,MEDIUM,4.0,109.32,0.1310259579728059,short run (<5 clean laps)
FP1,ANT,6,1.0,MEDIUM,6.0,138.039,0.0520231213872832,short run (<5 clean laps)
FP1,ANT,7,1.0,MEDIUM,7.0,120.918,0.1759562841530054,pit in/out lap
FP1,ANT,9,2.0,SOFT,2.0,107.603,0.12,short run (<5 clean laps)
FP1,ANT,12,3.0,MEDIUM,9.0,112.508,0.0494571773220747,kept
FP1,ANT,13,3.0,MEDIUM,10.0,112.442,0.0682634730538922,kept
FP1,ANT,14,3.0,MEDIUM,11.0,112.215,0.0725513905683192,kept
FP1,ANT,15,3.0,MEDIUM,12.0,111.978,0.0,kept
FP1,ANT,16,3.0,MEDIUM,13.0,112.087,0.0,kept
FP1,ANT,17,3.0,MEDIUM,14.0,112.075,0.0,kept
FP1,ANT,18,3.0,MEDIUM,15.0,112.554,0.0,kept
FP1,ANT,19,3.0,MEDIUM,16.0,112.643,,no gap-to-car-ahead data
FP1,ANT,20,3.0,MEDIUM,17.0,117.952,,pit in/out lap
FP1,ANT,23,4.0,SOFT,6.0,135.953,0.0,pit in/out lap
FP1,BEA,2,1.0,MEDIUM,2.0,113.962,0.0,short run (<5 clean laps)
FP1,BEA,3,1.0,MEDIUM,3.0,112.053,0.1425178147268408,short run (<5 clean laps)
FP1,BEA,6,2.0,MEDIUM,6.0,111.262,0.0260047281323877,short run (<5 clean laps)
FP1,BEA,7,2.0,MEDIUM,7.0,112.576,0.0329411764705882,short run (<5 clean laps)
FP1,BEA,8,2.0,MEDIUM,8.0,147.677,0.0228102189781021,pit in/out lap
FP1,BEA,10,3.0,MEDIUM,10.0,110.58,0.0784780023781212,short run (<5 clean laps)
FP1,BEA,12,3.0,MEDIUM,12.0,133.207,0.1051546391752577,short run (<5 clean laps)
FP1,BEA,13,3.0,MEDIUM,13.0,110.152,0.009840098400984,short run (<5 clean laps)
FP1,BEA,14,3.0,MEDIUM,14.0,142.854,0.1170411985018726,pit in/out lap
FP1,BEA,16,4.0,SOFT,2.0,109.01,0.1136079900124844,short run (<5 clean laps)
FP1,BEA,18,5.0,SOFT,4.0,148.598,0.0415194346289752,pit in/out lap
FP1,BEA,19,5.0,SOFT,5.0,112.508,0.0476190476190476,yellow / SC / VSC / red flag
FP1,BEA,20,5.0,SOFT,6.0,137.21,0.0,short run (<5 clean laps)
FP1,BEA,21,5.0,SOFT,7.0,146.835,0.0214477211796246,pit in/out lap
FP1,BOR,2,1.0,HARD,2.0,110.992,0.0108695652173913,short run (<5 clean laps)
FP1,BOR,4,1.0,HARD,4.0,110.166,0.097051597051597,short run (<5 clean laps)
FP1,BOR,6,1.0,HARD,6.0,109.825,0.0476772616136919,short run (<5 clean laps)
FP1,BOR,8,1.0,HARD,8.0,109.24,0.0269607843137254,short run (<5 clean laps)
FP1,BOR,9,1.0,HARD,9.0,138.907,0.0038095238095238,pit in/out lap
FP1,BOR,11,2.0,SOFT,2.0,108.406,0.0166240409207161,short run (<5 clean laps)
FP1,BOR,13,2.0,SOFT,4.0,114.372,0.0081967213114754,pit in/out lap
FP1,BOR,15,3.0,SOFT,6.0,110.756,0.0144404332129963,short run (<5 clean laps)
FP1,BOR,16,3.0,SOFT,7.0,110.547,,no gap-to-car-ahead data
FP1,BOR,17,3.0,SOFT,8.0,110.895,,no gap-to-car-ahead data
FP1,BOR,18,3.0,SOFT,9.0,136.097,,pit in/out lap
FP1,BOT,2,1.0,HARD,2.0,113.826,0.0081490104772991,short run (<5 clean laps)
FP1,BOT,3,1.0,HARD,3.0,148.285,0.2433155080213903,short run (<5 clean laps)
FP1,BOT,4,1.0,HARD,4.0,111.431,0.1059523809523809,short run (<5 clean laps)
FP1,BOT,5,1.0,HARD,5.0,143.948,0.1116236162361623,pit in/out lap
FP1,BOT,7,2.0,HARD,7.0,111.64,0.0626506024096385,short run (<5 clean laps)
FP1,BOT,8,2.0,HARD,8.0,146.399,0.0172257479601087,short run (<5 clean laps)
FP1,BOT,9,2.0,HARD,9.0,111.0,0.0,short run (<5 clean laps)
FP1,BOT,10,2.0,HARD,10.0,134.109,0.0,pit in/out lap
FP1,BOT,12,3.0,SOFT,2.0,109.839,0.0326876513317191,short run (<5 clean laps)
FP1,BOT,13,3.0,SOFT,3.0,146.061,0.0784856879039704,short run (<5 clean laps)
FP1,BOT,14,3.0,SOFT,4.0,117.749,0.0,pit in/out lap
FP1,BOT,16,4.0,HARD,12.0,117.367,0.0978865406006674,short run (<5 clean laps)
FP1,BOT,17,4.0,HARD,13.0,122.749,0.0431965442764578,short run (<5 clean laps)
FP1,BOT,18,4.0,HARD,14.0,116.252,0.0500568828213879,yellow / SC / VSC / red flag
FP1,BOT,19,4.0,HARD,15.0,115.825,0.0827740492170022,short run (<5 clean laps)
FP1,BOT,20,4.0,HARD,16.0,140.783,0.2198852772466539,short run (<5 clean laps)
FP1,COL,2,1.0,HARD,2.0,112.738,0.0,short run (<5 clean laps)
FP1,COL,4,1.0,HARD,4.0,111.223,0.0,short run (<5 clean laps)
FP1,COL,5,1.0,HARD,5.0,143.234,0.1512059369202226,pit in/out lap
FP1,COL,7,2.0,HARD,7.0,111.138,0.094847775175644,short run (<5 clean laps)
FP1,COL,10,3.0,HARD,10.0,136.013,0.2471374045801526,short run (<5 clean laps)
FP1,COL,11,3.0,HARD,11.0,110.335,0.0119617224880382,short run (<5 clean laps)
