session,Driver,LapNumber,Stint,Compound,TyreLife,lap_s,traffic,reason
FP1,ALB,2,1.0,HARD,2.0,95.37,0.0419580419580419,short run (<5 clean laps)
FP1,ALB,3,1.0,HARD,3.0,132.231,0.1067761806981519,short run (<5 clean laps)
FP1,ALB,4,1.0,HARD,4.0,94.545,0.1260744985673352,lap deleted (track limits)
FP1,ALB,5,1.0,HARD,5.0,120.751,0.1192560175054704,pit in/out lap
FP1,ALB,7,2.0,HARD,7.0,120.404,0.079685746352413,lap deleted (track limits)
FP1,ALB,8,2.0,HARD,8.0,93.729,0.0827489481065918,short run (<5 clean laps)
FP1,ALB,9,2.0,HARD,9.0,122.764,0.092391304347826,short run (<5 clean laps)
FP1,ALB,10,2.0,HARD,10.0,93.627,0.1001451378809869,short run (<5 clean laps)
FP1,ALB,11,2.0,HARD,11.0,119.359,0.2411831626848691,pit in/out lap
FP1,ALB,12,3.0,HARD,12.0,142.674,0.0249768732654949,pit in/out lap
FP1,ALB,13,3.0,HARD,13.0,93.163,0.0,kept
FP1,ALB,14,3.0,HARD,14.0,127.476,0.0369198312236286,cool-down / aborted (>105% of run best)
FP1,ALB,15,3.0,HARD,15.0,93.07,0.0,kept
FP1,ALB,17,3.0,HARD,17.0,94.166,0.0,kept
FP1,ALB,18,3.0,HARD,18.0,94.797,0.0,yellow / SC / VSC / red flag
FP1,ALB,19,3.0,HARD,19.0,95.089,0.2089136490250696,kept
FP1,ALB,20,3.0,HARD,20.0,94.932,0.0,kept
FP1,ALB,21,3.0,HARD,21.0,99.841,0.0,pit in/out lap
FP1,ALB,23,4.0,SOFT,2.0,91.697,0.0251479289940828,short run (<5 clean laps)
FP1,ALB,25,5.0,SOFT,4.0,137.159,0.0191021967526265,pit in/out lap
FP1,ALB,26,5.0,SOFT,5.0,92.013,0.0456553755522827,short run (<5 clean laps)
FP1,ALB,27,5.0,SOFT,6.0,131.928,0.0607621009268795,short run (<5 clean laps)
FP1,ALB,28,5.0,SOFT,7.0,113.723,0.0,short run (<5 clean laps)
FP1,ALB,29,5.0,SOFT,8.0,142.493,0.0170293282876064,short run (<5 clean laps)
FP1,ALB,30,5.0,SOFT,9.0,124.756,0.0053191489361702,pit in/out lap
FP1,ALO,2,1.0,HARD,2.0,96.571,0.0413223140495867,kept
FP1,ALO,3,1.0,HARD,3.0,95.939,0.2050919377652051,kept
FP1,ALO,4,1.0,HARD,4.0,137.44,0.2031558185404339,cool-down / aborted (>105% of run best)
FP1,ALO,5,1.0,HARD,5.0,95.35,0.114010989010989,kept
FP1,ALO,6,1.0,HARD,6.0,131.948,0.2636363636363636,cool-down / aborted (>105% of run best)
FP1,ALO,7,1.0,HARD,7.0,94.771,0.1187410586552217,kept
FP1,ALO,8,1.0,HARD,8.0,133.653,0.0882061446977205,cool-down / aborted (>105% of run best)
FP1,ALO,9,1.0,HARD,9.0,94.88,0.1162464985994397,kept
FP1,ALO,10,1.0,HARD,10.0,109.179,0.0329670329670329,pit in/out lap
FP1,ALO,12,2.0,SOFT,2.0,93.204,0.04,short run (<5 clean laps)
FP1,ALO,13,2.0,SOFT,3.0,122.552,0.0032467532467532,pit in/out lap
FP1,ALO,15,3.0,SOFT,5.0,94.178,0.0292072322670375,short run (<5 clean laps)
FP1,ALO,16,3.0,SOFT,6.0,107.363,0.0,pit in/out lap
FP1,ALO,18,4.0,MEDIUM,2.0,117.368,0.0148063781321184,lap deleted (track limits)
FP1,ALO,19,4.0,MEDIUM,3.0,92.957,0.0482954545454545,kept
FP1,ALO,20,4.0,MEDIUM,4.0,147.467,0.0760286225402504,cool-down / aborted (>105% of run best)
FP1,ALO,21,4.0,MEDIUM,5.0,121.839,0.0968819599109131,cool-down / aborted (>105% of run best)
FP1,ALO,22,4.0,MEDIUM,6.0,94.584,0.1253644314868804,kept
FP1,ALO,23,4.0,MEDIUM,7.0,113.496,0.0,cool-down / aborted (>105% of run best)
FP1,ALO,25,4.0,MEDIUM,9.0,138.852,0.1598477640342531,pit in/out lap
FP1,ANT,2,1.0,HARD,2.0,92.579,0.0,kept
FP1,ANT,4,1.0,HARD,4.0,111.169,0.4451145958986731,traffic (>30% of lap within 60 m of a car)
FP1,ANT,5,1.0,HARD,5.0,91.806,0.2008797653958944,kept
FP1,ANT,6,1.0,HARD,6.0,130.019,0.1103238866396761,cool-down / aborted (>105% of run best)
FP1,ANT,7,1.0,HARD,7.0,90.976,0.1362962962962963,kept
FP1,ANT,8,1.0,HARD,8.0,143.349,0.1854613233923578,cool-down / aborted (>105% of run best)
FP1,ANT,9,1.0,HARD,9.0,111.026,0.1177170035671819,cool-down / aborted (>105% of run best)
FP1,ANT,10,1.0,HARD,10.0,106.922,0.0239596469104665,lap deleted (track limits)
FP1,ANT,11,1.0,HARD,11.0,90.777,0.0647590361445783,kept
FP1,ANT,12,1.0,HARD,12.0,117.855,0.032,pit in/out lap
FP1,ANT,14,2.0,HARD,14.0,93.253,0.0,kept
FP1,ANT,15,2.0,HARD,15.0,96.162,0.0097087378640776,kept
FP1,ANT,16,2.0,HARD,16.0,92.668,0.0,kept
FP1,ANT,17,2.0,HARD,17.0,93.253,0.0,yellow / SC / VSC / red flag
FP1,ANT,18,2.0,HARD,18.0,92.618,0.0,kept
FP1,ANT,19,2.0,HARD,19.0,98.082,0.0258855585831062,cool-down / aborted (>105% of run best)
FP1,ANT,20,2.0,HARD,20.0,93.297,0.0,kept
