session,Driver,LapNumber,Stint,Compound,TyreLife,lap_s,traffic,reason
FP1,ALB,1,1.0,HARD,1.0,115.675,0.5880952380952381,pit in/out lap
FP1,ALB,2,1.0,HARD,2.0,92.099,0.1476608187134503,short run (<5 clean laps)
FP1,ALB,3,1.0,HARD,3.0,79.454,0.1063464837049742,short run (<5 clean laps)
FP1,ALB,4,1.0,HARD,4.0,100.106,0.3669724770642202,traffic (>30% of lap within 60 m of a car)
FP1,ALB,5,1.0,HARD,5.0,78.014,0.1114808652246256,yellow / SC / VSC / red flag
FP1,ALB,6,1.0,HARD,6.0,119.355,0.0324748040313549,yellow / SC / VSC / red flag
FP1,ALB,8,2.0,HARD,8.0,100.356,,pit in/out lap
FP1,ALB,9,2.0,HARD,9.0,77.153,,no gap-to-car-ahead data
FP1,ALB,10,2.0,HARD,10.0,101.99,0.3310991957104557,traffic (>30% of lap within 60 m of a car)
FP1,ALB,11,2.0,HARD,11.0,88.978,0.9644970414201184,traffic (>30% of lap within 60 m of a car)
FP1,ALB,12,2.0,HARD,12.0,76.642,,no gap-to-car-ahead data
FP1,ALB,13,2.0,HARD,13.0,102.908,0.5282051282051282,traffic (>30% of lap within 60 m of a car)
FP1,ALB,14,2.0,HARD,14.0,91.911,0.5615835777126099,traffic (>30% of lap within 60 m of a car)
FP1,ALO,1,1.0,HARD,1.0,128.009,0.8243534482758621,pit in/out lap
FP1,ALO,2,2.0,HARD,2.0,107.885,0.3613550815558344,pit in/out lap
FP1,ALO,3,2.0,HARD,3.0,83.057,0.1235772357723577,short run (<5 clean laps)
FP1,ALO,4,2.0,HARD,4.0,79.237,0.0558292282430213,short run (<5 clean laps)
FP1,ALO,5,2.0,HARD,5.0,98.909,0.2815405046480744,yellow / SC / VSC / red flag
FP1,ALO,6,2.0,HARD,6.0,120.944,0.4169416941694169,yellow / SC / VSC / red flag
FP1,ALO,8,3.0,SOFT,1.0,90.883,0.0015082956259426,pit in/out lap
FP1,ALO,9,3.0,SOFT,2.0,76.785,0.0,short run (<5 clean laps)
