session,Driver,LapNumber,Stint,Compound,TyreLife,lap_s,traffic,reason
FP1,ALB,2,1.0,MEDIUM,2.0,85.972,0.0094488188976377,kept
FP1,ALB,3,1.0,MEDIUM,3.0,112.851,0.0785463071512309,cool-down / aborted (>105% of run best)
FP1,ALB,4,1.0,MEDIUM,4.0,84.601,0.0078003120124804,kept
FP1,ALB,5,1.0,MEDIUM,5.0,112.2,0.0,cool-down / aborted (>105% of run best)
FP1,ALB,6,1.0,MEDIUM,6.0,83.678,0.0,kept
FP1,ALB,7,1.0,MEDIUM,7.0,117.752,0.0493827160493827,pit in/out lap
FP1,ALB,9,2.0,MEDIUM,9.0,83.006,0.0212765957446808,short run (<5 clean laps)
FP1,ALB,10,2.0,MEDIUM,10.0,118.13,0.0111607142857142,short run (<5 clean laps)
FP1,ALB,11,2.0,MEDIUM,11.0,105.447,0.0,pit in/out lap
FP1,ALB,13,3.0,SOFT,2.0,81.819,0.0341463414634146,short run (<5 clean laps)
FP1,ALB,14,3.0,SOFT,3.0,125.711,0.0,short run (<5 clean laps)
FP1,ALB,17,4.0,SOFT,6.0,91.636,0.1291291291291291,pit in/out lap
FP1,ALB,18,5.0,SOFT,7.0,113.316,0.0311059907834101,pit in/out lap
FP1,ALB,19,5.0,SOFT,8.0,85.625,0.0758725341426403,yellow / SC / VSC / red flag
FP1,ALB,20,5.0,SOFT,9.0,83.956,0.0,kept
FP1,ALB,21,5.0,SOFT,10.0,84.633,0.0990566037735849,kept
FP1,ALB,22,5.0,SOFT,11.0,84.386,0.0,kept
FP1,ALB,23,5.0,SOFT,12.0,89.271,0.0,cool-down / aborted (>105% of run best)
FP1,ALB,24,5.0,SOFT,13.0,84.553,0.0,kept
FP1,ALB,25,5.0,SOFT,14.0,89.223,0.0,cool-down / aborted (>105% of run best)
FP1,ALB,26,5.0,SOFT,15.0,84.568,0.011023622047244,kept
FP1,ALB,28,5.0,SOFT,17.0,100.019,0.2710027100271002,pit in/out lap
FP1,ALO,2,1.0,HARD,2.0,84.527,0.0284360189573459,kept
FP1,ALO,3,1.0,HARD,3.0,106.795,0.0634328358208955,cool-down / aborted (>105% of run best)
FP1,ALO,4,1.0,HARD,4.0,83.219,0.0,kept
FP1,ALO,5,1.0,HARD,5.0,118.861,0.0429864253393665,cool-down / aborted (>105% of run best)
FP1,ALO,6,1.0,HARD,6.0,85.595,0.0,kept
FP1,ALO,7,1.0,HARD,7.0,85.921,0.0411585365853658,kept
FP1,ALO,8,1.0,HARD,8.0,107.714,0.0833333333333333,pit in/out lap
FP1,ALO,10,2.0,HARD,10.0,85.702,0.0297339593114241,short run (<5 clean laps)
FP1,ALO,11,2.0,HARD,11.0,85.56,0.0590979782270606,short run (<5 clean laps)
FP1,ALO,12,2.0,HARD,12.0,99.581,0.0807537012113055,pit in/out lap
FP1,ALO,14,3.0,SOFT,2.0,81.55,0.1644518272425249,short run (<5 clean laps)
FP1,ALO,15,3.0,SOFT,3.0,124.992,0.0644139387539598,pit in/out lap
FP1,ALO,16,4.0,SOFT,4.0,128.16,0.0071574642126789,pit in/out lap
FP1,ALO,17,4.0,SOFT,5.0,88.252,0.0,short run (<5 clean laps)
FP1,ALO,18,4.0,SOFT,6.0,115.442,0.069284064665127,short run (<5 clean laps)
FP1,ALO,19,4.0,SOFT,7.0,81.904,0.0,short run (<5 clean laps)
FP1,ALO,20,4.0,SOFT,8.0,92.513,0.1131284916201117,pit in/out lap
FP1,ARO,2,1.0,MEDIUM,2.0,84.241,0.0,short run (<5 clean laps)
FP1,ARO,3,1.0,MEDIUM,3.0,118.938,0.0289532293986636,pit in/out lap
FP1,ARO,4,2.0,MEDIUM,4.0,149.363,0.0848214285714285,pit in/out lap
FP1,ARO,5,2.0,MEDIUM,5.0,111.568,0.2124105011933174,short run (<5 clean laps)
FP1,ARO,6,2.0,MEDIUM,6.0,84.555,0.0325077399380804,short run (<5 clean laps)
FP1,ARO,7,2.0,MEDIUM,7.0,123.477,0.0936819172113289,short run (<5 clean laps)
FP1,ARO,8,2.0,MEDIUM,8.0,83.587,0.1588050314465408,short run (<5 clean laps)
FP1,ARO,9,2.0,MEDIUM,9.0,114.452,0.029090909090909,pit in/out lap
FP1,ARO,11,3.0,SOFT,2.0,84.329,0.0489731437598736,short run (<5 clean laps)
FP1,ARO,12,3.0,SOFT,3.0,129.101,0.0114345114345114,short run (<5 clean laps)
FP1,ARO,13,3.0,SOFT,4.0,109.613,0.0,short run (<5 clean laps)
FP1,ARO,14,3.0,SOFT,5.0,82.168,0.0301109350237717,yellow / SC / VSC / red flag
FP1,ARO,17,4.0,SOFT,8.0,87.196,0.0316742081447963,kept
FP1,ARO,18,4.0,SOFT,9.0,86.97,0.0106060606060606,yellow / SC / VSC / red flag
FP1,ARO,19,4.0,SOFT,10.0,88.479,0.0382916053019145,yellow / SC / VSC / red flag
FP1,ARO,20,4.0,SOFT,11.0,86.69,0.019578313253012,kept
FP1,ARO,21,4.0,SOFT,12.0,86.454,0.0,kept
FP1,ARO,22,4.0,SOFT,13.0,86.649,0.0,kept
FP1,ARO,23,4.0,SOFT,14.0,87.272,0.029806259314456,kept
FP1,ARO,24,4.0,SOFT,15.0,93.092,0.0,cool-down / aborted (>105% of run best)
FP1,ARO,25,4.0,SOFT,16.0,86.888,0.0,kept
FP1,ARO,26,4.0,SOFT,17.0,88.155,0.1982116244411326,kept
FP1,ARO,28,4.0,SOFT,19.0,94.803,0.0,pit in/out lap
FP1,BOR,3,3.0,MEDIUM,2.0,129.099,0.0825593395252838,pit in/out lap
FP1,BOR,4,3.0,MEDIUM,3.0,93.586,0.2056737588652482,short run (<5 clean laps)
FP1,BOR,5,3.0,MEDIUM,4.0,83.926,0.0237341772151898,short run (<5 clean laps)
FP1,BOR,6,3.0,MEDIUM,5.0,109.25,0.0,short run (<5 clean laps)
FP1,BOR,7,3.0,MEDIUM,6.0,82.18,0.0269413629160063,short run (<5 clean laps)
FP1,BOR,8,3.0,MEDIUM,7.0,110.873,0.0696517412935323,pit in/out lap
FP1,BOR,9,4.0,MEDIUM,9.0,110.312,0.4303482587064676,pit in/out lap
FP1,BOR,10,4.0,MEDIUM,10.0,82.129,0.0,short run (<5 clean laps)
FP1,BOR,11,4.0,MEDIUM,11.0,103.292,0.0143042912873862,pit in/out lap
FP1,BOR,12,5.0,MEDIUM,12.0,120.125,0.0202020202020202,pit in/out lap
FP1,BOR,13,5.0,MEDIUM,13.0,81.425,,no gap-to-car-ahead data
FP1,BOR,14,5.0,MEDIUM,14.0,108.087,,pit in/out lap
FP1,BOR,16,6.0,SOFT,2.0,80.36,0.0,yellow / SC / VSC / red flag
FP1,BOR,19,8.0,SOFT,5.0,124.416,0.0576713819368879,pit in/out lap
FP1,BOR,20,8.0,SOFT,6.0,84.764,0.0,yellow / SC / VSC / red flag
FP1,BOR,21,8.0,SOFT,7.0,85.818,0.5325264750378215,yellow / SC / VSC / red flag
FP1,BOR,22,8.0,SOFT,8.0,84.088,,no gap-to-car-ahead data
FP1,BOR,23,8.0,SOFT,9.0,84.32,,no gap-to-car-ahead data
FP1,BOR,24,8.0,SOFT,10.0,84.556,,no gap-to-car-ahead data
FP1,BOR,25,8.0,SOFT,11.0,84.344,,no gap-to-car-ahead data
FP1,BOR,26,8.0,SOFT,12.0,84.803,,no gap-to-car-ahead data
FP1,BOR,27,8.0,SOFT,13.0,85.125,,no gap-to-car-ahead data
FP1,BOR,28,8.0,SOFT,14.0,84.702,,no gap-to-car-ahead data
FP1,BOR,29,8.0,SOFT,15.0,119.14,,no gap-to-car-ahead data
FP1,BOR,30,8.0,SOFT,16.0,118.859,1.0,pit in/out lap
FP1,FOR,2,1.0,MEDIUM,2.0,84.719,0.3548895899053628,traffic (>30% of lap within 60 m of a car)
FP1,FOR,3,1.0,MEDIUM,3.0,115.333,0.1057471264367816,short run (<5 clean laps)
FP1,FOR,4,1.0,MEDIUM,4.0,82.084,0.0784313725490196,short run (<5 clean laps)
FP1,FOR,5,1.0,MEDIUM,5.0,112.703,0.1641086186540732,short run (<5 clean laps)
FP1,FOR,6,1.0,MEDIUM,6.0,81.89,0.0241935483870967,short run (<5 clean laps)
FP1,FOR,7,1.0,MEDIUM,7.0,113.575,0.2526315789473684,pit in/out lap
FP1,FOR,9,2.0,MEDIUM,9.0,82.0,0.1032258064516129,short run (<5 clean laps)
FP1,FOR,10,2.0,MEDIUM,10.0,106.341,0.0159509202453987,short run (<5 clean laps)
FP1,FOR,11,2.0,MEDIUM,11.0,82.709,0.0772946859903381,short run (<5 clean laps)
FP1,FOR,12,2.0,MEDIUM,12.0,112.694,0.0570430733410943,short run (<5 clean laps)
