session,Driver,LapNumber,Stint,Compound,TyreLife,lap_s,traffic,reason
FP1,ALB,3,2.0,HARD,3.0,95.486,0.0139470013947001,kept
FP1,ALB,4,2.0,HARD,4.0,112.059,0.0904872389791183,cool-down / aborted (>105% of run best)
FP1,ALB,5,2.0,HARD,5.0,94.243,0.0114122681883024,kept
FP1,ALB,6,2.0,HARD,6.0,128.597,0.0539714867617108,cool-down / aborted (>105% of run best)
FP1,ALB,7,2.0,HARD,7.0,125.662,0.0,cool-down / aborted (>105% of run best)
FP1,ALB,8,2.0,HARD,8.0,102.176,0.0301441677588466,cool-down / aborted (>105% of run best)
FP1,ALB,9,2.0,HARD,9.0,96.16,0.0124137931034482,kept
FP1,ALB,10,2.0,HARD,10.0,121.776,0.0584988962472406,cool-down / aborted (>105% of run best)
FP1,ALB,11,2.0,HARD,11.0,93.886,0.0181058495821727,kept
FP1,ALB,12,2.0,HARD,12.0,114.969,0.0,cool-down / aborted (>105% of run best)
FP1,ALB,13,2.0,HARD,13.0,117.591,0.0091116173120728,pit in/out lap
FP1,ALB,15,3.0,SOFT,2.0,93.791,0.0085227272727272,short run (<5 clean laps)
FP1,ALB,16,3.0,SOFT,3.0,147.478,0.03886925795053,short run (<5 clean laps)
FP1,ALB,17,3.0,SOFT,4.0,93.697,0.0292479108635097,short run (<5 clean laps)
FP1,ALB,18,3.0,SOFT,5.0,124.367,0.0147213459516298,pit in/out lap
FP1,ALB,21,5.0,SOFT,7.0,124.21,0.7224532224532224,traffic (>30% of lap within 60 m of a car)
FP1,ANT,2,1.0,HARD,2.0,108.692,0.2016908212560386,cool-down / aborted (>105% of run best)
FP1,ANT,3,1.0,HARD,3.0,94.644,0.0705218617771509,kept
FP1,ANT,4,1.0,HARD,4.0,131.772,0.0212981744421906,cool-down / aborted (>105% of run best)
FP1,ANT,5,1.0,HARD,5.0,116.147,0.0722477064220183,cool-down / aborted (>105% of run best)
FP1,ANT,6,1.0,HARD,6.0,92.958,0.0199714693295292,kept
FP1,ANT,7,1.0,HARD,7.0,126.504,0.0326315789473684,cool-down / aborted (>105% of run best)
FP1,ANT,8,1.0,HARD,8.0,92.304,0.0,kept
FP1,ANT,9,1.0,HARD,9.0,129.682,0.1850715746421267,pit in/out lap
FP1,ANT,11,2.0,SOFT,2.0,92.032,0.0,short run (<5 clean laps)
FP1,ANT,12,2.0,SOFT,3.0,138.209,0.6941747572815534,traffic (>30% of lap within 60 m of a car)
FP1,ANT,13,2.0,SOFT,4.0,91.692,,no gap-to-car-ahead data
FP1,ANT,14,2.0,SOFT,5.0,140.065,0.0828677839851024,short run (<5 clean laps)
FP1,ANT,15,2.0,SOFT,6.0,101.962,0.0,pit in/out lap
FP1,ANT,17,3.0,SOFT,8.0,96.164,0.1410958904109589,kept
FP1,ANT,18,3.0,SOFT,9.0,95.812,0.0,kept
FP1,ANT,19,3.0,SOFT,10.0,97.361,0.014945652173913,kept
FP1,ANT,20,3.0,SOFT,11.0,97.081,0.0,kept
FP1,ANT,21,3.0,SOFT,12.0,95.562,0.0,kept
FP1,ANT,22,3.0,SOFT,13.0,95.676,0.0,kept
FP1,ANT,23,3.0,SOFT,14.0,99.921,0.0,pit in/out lap
FP1,ANT,25,4.0,HARD,11.0,126.644,0.2568807339449541,short run (<5 clean laps)
FP1,BEA,2,1.0,HARD,2.0,97.274,0.048582995951417,short run (<5 clean laps)
FP1,BEA,3,1.0,HARD,3.0,128.161,0.0292580982236154,short run (<5 clean laps)
FP1,BEA,4,1.0,HARD,4.0,94.949,0.0444444444444444,short run (<5 clean laps)
FP1,BEA,5,1.0,HARD,5.0,125.1,0.0344086021505376,pit in/out lap
FP1,BEA,7,2.0,HARD,7.0,94.221,0.1522048364153627,short run (<5 clean laps)
FP1,BEA,8,2.0,HARD,8.0,138.757,0.0291902071563088,short run (<5 clean laps)
FP1,BEA,9,2.0,HARD,9.0,93.913,0.0128205128205128,short run (<5 clean laps)
FP1,BEA,10,2.0,HARD,10.0,110.863,0.0153482880755608,pit in/out lap
FP1,BEA,12,3.0,SOFT,2.0,124.329,0.062367864693446,telemetry missing
FP1,BEA,13,3.0,SOFT,3.0,92.9,0.0591630591630591,telemetry missing
FP1,BEA,15,3.0,SOFT,5.0,92.9,0.0577464788732394,telemetry missing
FP1,BEA,16,3.0,SOFT,6.0,140.33,0.0804066543438077,pit in/out lap
FP1,BEA,18,4.0,SOFT,8.0,96.384,0.0,kept
FP1,BEA,19,4.0,SOFT,9.0,96.563,0.0,kept
FP1,BEA,20,4.0,SOFT,10.0,97.558,0.0,kept
FP1,BEA,21,4.0,SOFT,11.0,97.016,0.0,kept
FP1,BEA,22,4.0,SOFT,12.0,97.207,0.0,kept
FP1,BEA,23,4.0,SOFT,13.0,97.367,0.0,kept
FP1,BEA,24,4.0,SOFT,14.0,98.469,0.1736292428198433,kept
FP1,BEA,25,4.0,SOFT,15.0,115.276,0.2154377880184332,cool-down / aborted (>105% of run best)
FP1,BEA,26,4.0,SOFT,16.0,123.572,0.0271398747390396,cool-down / aborted (>105% of run best)
FP1,BOR,4,3.0,HARD,4.0,117.479,0.0510204081632653,cool-down / aborted (>105% of run best)
FP1,BOR,5,3.0,HARD,5.0,97.444,0.0488126649076517,kept
FP1,BOR,6,3.0,HARD,6.0,111.061,0.0,cool-down / aborted (>105% of run best)
FP1,BOR,7,3.0,HARD,7.0,95.009,0.0,kept
FP1,BOR,8,3.0,HARD,8.0,118.162,0.0644067796610169,cool-down / aborted (>105% of run best)
FP1,BOR,9,3.0,HARD,9.0,93.844,0.0,kept
FP1,BOR,10,3.0,HARD,10.0,114.002,0.1273584905660377,cool-down / aborted (>105% of run best)
FP1,BOR,11,3.0,HARD,11.0,93.073,0.0,kept
FP1,BOR,12,3.0,HARD,12.0,108.785,0.0,pit in/out lap
FP1,BOR,14,4.0,SOFT,2.0,104.72,0.07875,cool-down / aborted (>105% of run best)
FP1,BOR,15,4.0,SOFT,3.0,93.046,0.0168776371308016,kept
FP1,BOR,16,4.0,SOFT,4.0,118.053,0.0680044593088071,cool-down / aborted (>105% of run best)
FP1,BOR,17,4.0,SOFT,5.0,92.759,0.0,kept
FP1,BOR,18,4.0,SOFT,6.0,146.155,0.0890287769784172,cool-down / aborted (>105% of run best)
FP1,BOR,19,4.0,SOFT,7.0,104.17,0.2462311557788944,cool-down / aborted (>105% of run best)
FP1,BOR,20,4.0,SOFT,8.0,95.317,0.0069444444444444,kept
FP1,BOR,21,4.0,SOFT,9.0,94.766,0.0,kept
FP1,BOR,22,4.0,SOFT,10.0,97.132,0.0066844919786096,kept
FP1,BOR,23,4.0,SOFT,11.0,94.631,0.0,kept
FP1,BOR,24,4.0,SOFT,12.0,95.935,0.0,kept
FP1,BOR,25,4.0,SOFT,13.0,95.278,0.0069060773480662,kept
FP1,BOR,26,4.0,SOFT,14.0,122.186,0.0659574468085106,cool-down / aborted (>105% of run best)
FP1,BOT,2,1.0,HARD,2.0,98.311,0.0300957592339261,kept
FP1,BOT,3,1.0,HARD,3.0,127.873,0.1769633507853403,cool-down / aborted (>105% of run best)
FP1,BOT,4,1.0,HARD,4.0,97.276,0.1325301204819277,kept
FP1,BOT,5,1.0,HARD,5.0,116.257,0.0220673635307781,cool-down / aborted (>105% of run best)
FP1,BOT,6,1.0,HARD,6.0,95.598,0.0372413793103448,kept
FP1,BOT,7,1.0,HARD,7.0,128.838,0.0541103017689906,cool-down / aborted (>105% of run best)
FP1,BOT,8,1.0,HARD,8.0,95.485,0.0248275862068965,kept
FP1,BOT,9,1.0,HARD,9.0,117.341,0.1046119235095613,pit in/out lap
FP1,BOT,11,2.0,SOFT,2.0,94.766,0.027065527065527,kept
FP1,BOT,12,2.0,SOFT,3.0,131.589,0.0099800399201596,cool-down / aborted (>105% of run best)
FP1,BOT,13,2.0,SOFT,4.0,94.724,0.044382801664355,kept
FP1,BOT,14,2.0,SOFT,5.0,139.99,0.029934518241347,cool-down / aborted (>105% of run best)
FP1,BOT,15,2.0,SOFT,6.0,94.49,0.015256588072122,kept
FP1,BOT,16,2.0,SOFT,7.0,133.771,0.0802348336594911,pit in/out lap
FP1,BOT,18,3.0,HARD,11.0,99.634,0.0,kept
FP1,BOT,19,3.0,HARD,12.0,99.771,0.0,kept
FP1,BOT,20,3.0,HARD,13.0,101.043,0.0,kept
FP1,BOT,21,3.0,HARD,14.0,100.649,0.0,kept
FP1,BOT,22,3.0,HARD,15.0,100.263,0.0052493438320209,kept
FP1,BOT,23,3.0,HARD,16.0,120.29,0.0,cool-down / aborted (>105% of run best)
FP1,COL,2,1.0,HARD,2.0,97.349,0.042817679558011,short run (<5 clean laps)
FP1,COL,3,1.0,HARD,3.0,131.773,0.2184959349593496,short run (<5 clean laps)
FP1,COL,4,1.0,HARD,4.0,107.787,0.1626506024096385,pit in/out lap
FP1,COL,6,2.0,HARD,6.0,96.025,0.0095759233926128,short run (<5 clean laps)
FP1,COL,7,2.0,HARD,7.0,95.687,0.0125523012552301,short run (<5 clean laps)
FP1,COL,8,2.0,HARD,8.0,95.403,0.0,short run (<5 clean laps)
FP1,COL,9,2.0,HARD,9.0,95.167,0.0715287517531556,short run (<5 clean laps)
FP1,COL,10,2.0,HARD,10.0,101.52,0.0954907161803713,pit in/out lap
FP1,COL,12,3.0,SOFT,2.0,93.934,0.0917941585535466,kept
FP1,COL,14,3.0,SOFT,4.0,119.478,0.0240437158469945,cool-down / aborted (>105% of run best)
FP1,COL,15,3.0,SOFT,5.0,123.112,0.1600853788687299,cool-down / aborted (>105% of run best)
FP1,COL,16,3.0,SOFT,6.0,93.361,0.0360110803324099,kept
FP1,COL,18,3.0,SOFT,8.0,94.048,0.0166435506241331,kept
FP1,COL,19,3.0,SOFT,9.0,99.985,0.2578947368421053,cool-down / aborted (>105% of run best)
FP1,COL,20,3.0,SOFT,10.0,95.264,0.0,kept
FP1,COL,21,3.0,SOFT,11.0,94.892,0.0,kept
FP1,COL,22,3.0,SOFT,12.0,96.405,0.0671232876712328,kept
FP1,COL,23,3.0,SOFT,13.0,117.784,0.032008830022075,cool-down / aborted (>105% of run best)
FP1,COL,24,3.0,SOFT,14.0,140.481,0.0241635687732342,pit in/out lap
FP1,CRA,2,1.0,HARD,2.0,116.847,0.4718468468468468,pit in/out lap
FP1,CRA,4,2.0,HARD,4.0,111.899,0.128235294117647,pit in/out lap
FP1,CRA,6,3.0,HARD,6.0,99.495,0.2704149933065595,kept
FP1,CRA,7,3.0,HARD,7.0,128.202,0.0094736842105263,cool-down / aborted (>105% of run best)
FP1,CRA,8,3.0,HARD,8.0,97.099,0.0288461538461538,kept
FP1,CRA,9,3.0,HARD,9.0,120.304,0.0086486486486486,cool-down / aborted (>105% of run best)
FP1,CRA,10,3.0,HARD,10.0,96.362,0.0240641711229946,kept
FP1,CRA,11,3.0,HARD,11.0,136.719,0.0211946050096339,pit in/out lap
FP1,GAS,2,1.0,MEDIUM,2.0,96.409,0.0069348127600554,short run (<5 clean laps)
