session,Driver,LapNumber,Stint,Compound,TyreLife,lap_s,traffic,reason
FP1,ALB,2,1.0,MEDIUM,2.0,105.421,0.0,cool-down / aborted (>105% of run best)
FP1,ALB,3,1.0,MEDIUM,3.0,103.624,0.0,kept
FP1,ALB,4,1.0,MEDIUM,4.0,147.755,0.3005464480874317,traffic (>30% of lap within 60 m of a car)
FP1,ALB,5,1.0,MEDIUM,5.0,102.531,0.0656167979002624,kept
FP1,ALB,6,1.0,MEDIUM,6.0,136.989,0.0293560606060606,cool-down / aborted (>105% of run best)
FP1,ALB,7,1.0,MEDIUM,7.0,100.124,0.0108843537414965,kept
FP1,ALB,8,1.0,MEDIUM,8.0,137.297,0.2051526717557251,cool-down / aborted (>105% of run best)
FP1,ALB,9,1.0,MEDIUM,9.0,118.562,0.0820224719101123,cool-down / aborted (>105% of run best)
FP1,ALB,10,1.0,MEDIUM,10.0,99.51,0.11455525606469,kept
FP1,ALB,12,1.0,MEDIUM,12.0,99.778,0.0781456953642384,kept
FP1,ALB,13,1.0,MEDIUM,13.0,149.452,0.0933572710951526,cool-down / aborted (>105% of run best)
FP1,ALB,14,1.0,MEDIUM,14.0,99.415,0.014627659574468,kept
FP1,ALB,17,2.0,SOFT,2.0,97.88,0.0497237569060773,short run (<5 clean laps)
FP1,ALB,20,3.0,SOFT,5.0,117.716,0.0,short run (<5 clean laps)
FP1,ALB,21,3.0,SOFT,6.0,98.307,0.3739837398373983,yellow / SC / VSC / red flag
FP1,ALB,23,3.0,SOFT,8.0,97.591,0.0095759233926128,short run (<5 clean laps)
FP1,ALB,24,3.0,SOFT,9.0,147.182,0.0725294650951949,short run (<5 clean laps)
FP1,ALB,25,3.0,SOFT,10.0,149.854,0.028156221616712,pit in/out lap
FP1,ALO,2,1.0,MEDIUM,2.0,102.662,0.0258397932816537,short run (<5 clean laps)
FP1,ALO,3,1.0,MEDIUM,3.0,109.128,0.3002450980392157,traffic (>30% of lap within 60 m of a car)
FP1,ALO,4,1.0,MEDIUM,4.0,100.157,0.0,short run (<5 clean laps)
FP1,ALO,5,1.0,MEDIUM,5.0,101.11,0.7144754316069057,traffic (>30% of lap within 60 m of a car)
FP1,ALO,6,1.0,MEDIUM,6.0,120.008,0.7903402854006586,traffic (>30% of lap within 60 m of a car)
FP1,ALO,7,1.0,MEDIUM,7.0,99.375,,no gap-to-car-ahead data
FP1,ALO,8,1.0,MEDIUM,8.0,128.939,0.8299894403379092,traffic (>30% of lap within 60 m of a car)
FP1,ALO,9,1.0,MEDIUM,9.0,98.766,,no gap-to-car-ahead data
FP1,ALO,10,1.0,MEDIUM,10.0,129.509,0.1868583162217659,pit in/out lap
FP1,ALO,12,2.0,MEDIUM,12.0,98.01,0.1084010840108401,short run (<5 clean laps)
FP1,ALO,13,2.0,MEDIUM,13.0,128.201,0.0165118679050567,short run (<5 clean laps)
FP1,ALO,14,2.0,MEDIUM,14.0,115.979,0.0598591549295774,short run (<5 clean laps)
FP1,ALO,15,2.0,MEDIUM,15.0,108.077,0.4034869240348692,pit in/out lap
FP1,ALO,17,3.0,SOFT,2.0,119.53,0.2413019079685746,cool-down / aborted (>105% of run best)
FP1,ALO,18,3.0,SOFT,3.0,97.354,0.0753424657534246,kept
FP1,ALO,19,3.0,SOFT,4.0,138.838,0.0762548262548262,cool-down / aborted (>105% of run best)
FP1,ALO,20,3.0,SOFT,5.0,124.23,0.0302702702702702,cool-down / aborted (>105% of run best)
FP1,ALO,21,3.0,SOFT,6.0,96.473,0.0921787709497206,kept
FP1,ALO,22,3.0,SOFT,7.0,149.505,0.0591397849462365,cool-down / aborted (>105% of run best)
FP1,ALO,23,3.0,SOFT,8.0,129.411,0.0091836734693877,lap deleted (track limits)
FP1,ALO,24,3.0,SOFT,9.0,112.616,0.0326481257557436,cool-down / aborted (>105% of run best)
FP1,ALO,25,3.0,SOFT,10.0,119.252,0.2486187845303867,cool-down / aborted (>105% of run best)
FP1,ALO,26,3.0,SOFT,11.0,135.664,0.0189431704885343,cool-down / aborted (>105% of run best)
FP1,ANT,2,1.0,MEDIUM,2.0,117.307,0.1532349602724177,lap deleted (track limits)
FP1,ANT,3,1.0,MEDIUM,3.0,97.294,0.1442307692307692,short run (<5 clean laps)
FP1,ANT,5,1.0,MEDIUM,5.0,127.206,0.1594202898550724,short run (<5 clean laps)
FP1,ANT,6,1.0,MEDIUM,6.0,116.611,0.2013498312710911,lap deleted (track limits)
FP1,ANT,7,1.0,MEDIUM,7.0,96.843,0.1071932299012694,lap deleted (track limits)
FP1,ANT,8,1.0,MEDIUM,8.0,142.15,0.2398897058823529,lap deleted (track limits)
FP1,ANT,9,1.0,MEDIUM,9.0,123.543,0.0331196581196581,lap deleted (track limits)
FP1,ANT,10,1.0,MEDIUM,10.0,95.148,0.014367816091954,short run (<5 clean laps)
FP1,ANT,11,1.0,MEDIUM,11.0,136.929,0.486854917234664,pit in/out lap
FP1,ANT,13,2.0,SOFT,2.0,94.865,0.131054131054131,short run (<5 clean laps)
FP1,ANT,14,2.0,SOFT,3.0,144.996,0.0348943985307621,pit in/out lap
FP1,ANT,16,3.0,SOFT,5.0,94.683,0.0,short run (<5 clean laps)
FP1,ANT,17,3.0,SOFT,6.0,139.007,0.0323809523809523,pit in/out lap
FP1,ANT,19,4.0,SOFT,8.0,126.446,0.2415611814345991,short run (<5 clean laps)
FP1,ANT,20,4.0,SOFT,9.0,126.25,0.1684322033898305,short run (<5 clean laps)
FP1,ANT,21,4.0,SOFT,10.0,94.363,0.0,short run (<5 clean laps)
FP1,ANT,22,4.0,SOFT,11.0,134.67,0.0399600399600399,pit in/out lap
FP1,ANT,24,5.0,MEDIUM,13.0,99.838,0.0356164383561643,lap deleted (track limits)
FP1,ANT,25,5.0,MEDIUM,14.0,99.481,0.1462765957446808,short run (<5 clean laps)
FP1,ANT,26,5.0,MEDIUM,15.0,144.016,0.0960820895522388,short run (<5 clean laps)
FP1,BEA,2,1.0,MEDIUM,2.0,103.615,0.0,short run (<5 clean laps)
FP1,BEA,3,1.0,MEDIUM,3.0,127.469,0.2703549060542797,pit in/out lap
FP1,BEA,5,2.0,MEDIUM,5.0,100.162,0.029891304347826,short run (<5 clean laps)
FP1,BEA,6,2.0,MEDIUM,6.0,99.63,0.081578947368421,short run (<5 clean laps)
FP1,BEA,9,3.0,MEDIUM,9.0,98.301,0.0054421768707482,short run (<5 clean laps)
FP1,BEA,10,3.0,MEDIUM,10.0,145.571,0.022140221402214,pit in/out lap
FP1,BEA,12,4.0,MEDIUM,12.0,97.738,0.0892608089260808,short run (<5 clean laps)
FP1,BEA,13,4.0,MEDIUM,13.0,120.618,0.293007769145394,pit in/out lap
FP1,BEA,15,5.0,SOFT,2.0,124.769,0.2665245202558635,short run (<5 clean laps)
FP1,BEA,16,5.0,SOFT,3.0,96.972,0.0990371389270976,short run (<5 clean laps)
FP1,BEA,19,6.0,SOFT,6.0,96.853,0.0193103448275862,short run (<5 clean laps)
FP1,BEA,20,6.0,SOFT,7.0,138.783,0.0355427473583093,pit in/out lap
FP1,BEA,22,7.0,SOFT,9.0,96.757,0.0247592847317744,lap deleted (track limits)
FP1,BEA,23,7.0,SOFT,10.0,123.665,0.4600431965442764,lap deleted (track limits)
FP1,BOR,2,1.0,HARD,2.0,100.695,0.1248339973439575,short run (<5 clean laps)
FP1,BOR,3,1.0,HARD,3.0,99.042,0.0174966352624495,short run (<5 clean laps)
FP1,BOR,4,1.0,HARD,4.0,99.028,0.1121751025991792,short run (<5 clean laps)
