session,Driver,LapNumber,Stint,Compound,TyreLife,lap_s,traffic,reason
FP1,ALB,2,1.0,HARD,2.0,94.759,0.0,kept
FP1,ALB,3,1.0,HARD,3.0,133.066,0.0373737373737373,cool-down / aborted (>105% of run best)
FP1,ALB,4,1.0,HARD,4.0,92.98,0.0141242937853107,kept
FP1,ALB,5,1.0,HARD,5.0,145.605,0.183288409703504,cool-down / aborted (>105% of run best)
FP1,ALB,6,1.0,HARD,6.0,92.631,0.0217391304347826,kept
FP1,ALB,7,1.0,HARD,7.0,144.179,0.0938362465501379,yellow / SC / VSC / red flag
FP1,ALB,8,1.0,HARD,8.0,92.121,0.1284271284271284,kept
FP1,ALB,9,1.0,HARD,9.0,120.541,0.0342541436464088,pit in/out lap
FP1,ALB,10,2.0,HARD,10.0,130.267,0.2432701894317049,pit in/out lap
FP1,ALB,11,2.0,HARD,11.0,105.861,0.0012515644555694,pit in/out lap
FP1,ALB,13,3.0,HARD,13.0,92.738,0.0,kept
FP1,ALB,14,3.0,HARD,14.0,139.723,0.0406427221172022,cool-down / aborted (>105% of run best)
FP1,ALB,15,3.0,HARD,15.0,114.355,0.0642424242424242,cool-down / aborted (>105% of run best)
FP1,ALB,16,3.0,HARD,16.0,112.262,0.132858837485172,lap deleted (track limits)
FP1,ALB,17,3.0,HARD,17.0,92.234,0.0101156069364161,kept
FP1,ALB,18,3.0,HARD,18.0,127.3,0.1289662231320368,cool-down / aborted (>105% of run best)
FP1,ALB,19,3.0,HARD,19.0,92.377,0.0102339181286549,kept
FP1,ALB,20,3.0,HARD,20.0,121.716,0.0751633986928104,pit in/out lap
FP1,ALB,21,4.0,HARD,21.0,117.759,0.0605714285714285,lap deleted (track limits)
FP1,ALB,22,4.0,HARD,22.0,112.1,0.050887573964497,pit in/out lap
FP1,ALB,24,5.0,HARD,24.0,94.858,0.0,kept
FP1,ALB,25,5.0,HARD,25.0,95.05,0.0111265646731571,kept
FP1,ALB,26,5.0,HARD,26.0,95.645,0.0137174211248285,lap deleted (track limits)
FP1,ALB,27,5.0,HARD,27.0,95.067,0.0,kept
FP1,ALB,28,5.0,HARD,28.0,94.937,0.0392706872370266,kept
FP1,ALB,29,5.0,HARD,29.0,94.764,0.0,kept
FP1,ALB,30,5.0,HARD,30.0,94.719,0.0,kept
FP1,ALB,31,5.0,HARD,31.0,104.192,0.0,pit in/out lap
FP1,ALB,33,6.0,SOFT,2.0,91.024,0.0232896652110625,short run (<5 clean laps)
FP1,ALB,34,6.0,SOFT,3.0,142.016,0.0482374768089053,short run (<5 clean laps)
FP1,ALB,35,6.0,SOFT,4.0,127.377,0.0168776371308016,short run (<5 clean laps)
FP1,ALB,36,6.0,SOFT,5.0,133.975,0.0583501006036217,lap deleted (track limits)
FP1,ALB,37,6.0,SOFT,6.0,136.101,0.2409402546523016,yellow / SC / VSC / red flag
FP1,ALB,39,6.0,SOFT,8.0,142.229,0.052919708029197,pit in/out lap
FP1,ALO,2,2.0,HARD,2.0,144.179,0.0148698884758364,pit in/out lap
