session,Driver,LapNumber,Stint,Compound,TyreLife,lap_s,traffic,reason
FP1,ALB,1,1.0,HARD,1.0,101.454,0.0661375661375661,pit in/out lap
FP1,ALB,2,1.0,HARD,2.0,83.454,0.0293663060278207,cool-down / aborted (>105% of run best)
FP1,ALB,3,1.0,HARD,3.0,79.924,0.0325732899022801,kept
FP1,ALB,4,1.0,HARD,4.0,78.569,0.0851788756388415,kept
FP1,ALB,5,1.0,HARD,5.0,78.12,0.2030981067125645,kept
FP1,ALB,6,1.0,HARD,6.0,77.644,0.0,kept
FP1,ALB,7,1.0,HARD,7.0,94.845,0.1244870041039671,cool-down / aborted (>105% of run best)
FP1,ALB,8,1.0,HARD,8.0,86.506,0.0,cool-down / aborted (>105% of run best)
FP1,ALB,9,1.0,HARD,9.0,79.937,0.4869706840390879,traffic (>30% of lap within 60 m of a car)
FP1,ALB,10,1.0,HARD,10.0,78.79,0.5511945392491467,traffic (>30% of lap within 60 m of a car)
FP1,ALB,11,1.0,HARD,11.0,80.46,0.2894308943089431,kept
FP1,ALB,12,1.0,HARD,12.0,85.306,0.0,cool-down / aborted (>105% of run best)
FP1,ALB,13,1.0,HARD,13.0,78.143,0.0292598967297762,kept
FP1,ALB,14,1.0,HARD,14.0,77.751,0.0,kept
FP1,ALB,15,1.0,HARD,15.0,101.163,0.582562747688243,traffic (>30% of lap within 60 m of a car)
FP1,ALB,16,1.0,HARD,16.0,81.714,0.0,cool-down / aborted (>105% of run best)
FP1,ALB,17,1.0,HARD,17.0,77.871,0.0,kept
FP1,ALB,18,1.0,HARD,18.0,78.223,0.1703204047217538,yellow / SC / VSC / red flag
FP1,ALB,19,1.0,HARD,19.0,95.991,0.0457697642163661,cool-down / aborted (>105% of run best)
FP1,ALB,20,1.0,HARD,20.0,77.539,0.0,kept
FP1,ALB,22,2.0,MEDIUM,1.0,99.292,0.0,pit in/out lap
FP1,ALB,23,2.0,MEDIUM,2.0,83.993,0.0910493827160493,short run (<5 clean laps)
FP1,ALB,24,2.0,MEDIUM,3.0,75.989,0.0,short run (<5 clean laps)
FP1,ALB,25,2.0,MEDIUM,4.0,93.022,0.0472103004291845,short run (<5 clean laps)
FP1,ALB,26,2.0,MEDIUM,5.0,76.049,0.1053540587219343,short run (<5 clean laps)
FP1,ALB,27,2.0,MEDIUM,6.0,98.008,0.0192043895747599,lap deleted (track limits)
FP1,ALB,28,2.0,MEDIUM,7.0,84.872,0.0,lap deleted (track limits)
FP1,ALB,29,2.0,MEDIUM,8.0,90.467,0.1131805157593123,yellow / SC / VSC / red flag
FP1,ALB,31,3.0,MEDIUM,9.0,107.236,0.0,pit in/out lap
FP1,ALB,32,3.0,MEDIUM,10.0,122.929,0.0,short run (<5 clean laps)
FP1,ALO,1,1.0,HARD,1.0,100.195,0.0119205298013245,pit in/out lap
FP1,ALO,2,1.0,HARD,2.0,80.623,0.0,short run (<5 clean laps)
FP1,ALO,3,1.0,HARD,3.0,79.282,0.2537067545304777,short run (<5 clean laps)
FP1,ALO,5,2.0,HARD,5.0,95.446,0.0096021947873799,pit in/out lap
FP1,ALO,6,2.0,HARD,6.0,79.155,0.1495798319327731,kept
FP1,ALO,7,2.0,HARD,7.0,78.65,0.2747068676716918,kept
FP1,ALO,8,2.0,HARD,8.0,77.763,0.0,kept
FP1,ALO,9,2.0,HARD,9.0,94.66,0.0,cool-down / aborted (>105% of run best)
FP1,ALO,10,2.0,HARD,10.0,81.544,0.0359477124183006,kept
FP1,ALO,11,2.0,HARD,11.0,94.159,0.098314606741573,cool-down / aborted (>105% of run best)
FP1,ALO,13,3.0,MEDIUM,1.0,90.13,0.0060514372163388,pit in/out lap
FP1,ALO,14,3.0,MEDIUM,2.0,83.61,0.1010886469673405,cool-down / aborted (>105% of run best)
FP1,ALO,15,3.0,MEDIUM,3.0,77.245,0.2668918918918919,kept
FP1,ALO,16,3.0,MEDIUM,4.0,97.047,0.2510344827586206,lap deleted (track limits)
FP1,ALO,17,3.0,MEDIUM,5.0,87.986,0.0,cool-down / aborted (>105% of run best)
FP1,ALO,18,3.0,MEDIUM,6.0,76.678,0.0,kept
FP1,ALO,19,3.0,MEDIUM,7.0,85.548,0.2406015037593984,yellow / SC / VSC / red flag
FP1,ALO,20,3.0,MEDIUM,8.0,86.288,0.0,cool-down / aborted (>105% of run best)
FP1,ANT,1,1.0,HARD,1.0,107.376,0.1020910209102091,pit in/out lap
FP1,ANT,2,1.0,HARD,2.0,80.184,0.56,traffic (>30% of lap within 60 m of a car)
FP1,ANT,3,1.0,HARD,3.0,78.054,0.6522462562396006,traffic (>30% of lap within 60 m of a car)
FP1,ANT,4,1.0,HARD,4.0,80.274,0.1220338983050847,cool-down / aborted (>105% of run best)
FP1,ANT,5,1.0,HARD,5.0,81.106,0.3224222585924713,traffic (>30% of lap within 60 m of a car)
FP1,ANT,6,1.0,HARD,6.0,76.743,0.0,kept
FP1,ANT,7,1.0,HARD,7.0,91.426,0.2687411598302687,cool-down / aborted (>105% of run best)
FP1,ANT,8,1.0,HARD,8.0,79.148,0.175,kept
FP1,ANT,9,1.0,HARD,9.0,75.764,0.0222222222222222,kept
FP1,ANT,10,1.0,HARD,10.0,90.766,0.2825443786982248,cool-down / aborted (>105% of run best)
FP1,ANT,11,1.0,HARD,11.0,75.436,0.1873905429071803,kept
FP1,ANT,12,1.0,HARD,12.0,92.311,0.0932203389830508,cool-down / aborted (>105% of run best)
FP1,ANT,14,2.0,MEDIUM,1.0,86.338,0.0,pit in/out lap
FP1,ANT,15,2.0,MEDIUM,2.0,75.478,0.1843478260869565,kept
FP1,ANT,16,2.0,MEDIUM,3.0,91.529,0.0,cool-down / aborted (>105% of run best)
FP1,ANT,17,2.0,MEDIUM,4.0,91.027,0.010204081632653,yellow / SC / VSC / red flag
FP1,ANT,18,2.0,MEDIUM,5.0,74.537,0.0,kept
FP1,ANT,19,2.0,MEDIUM,6.0,98.73,0.1221779548472775,cool-down / aborted (>105% of run best)
FP1,ANT,20,2.0,MEDIUM,7.0,74.785,0.0,kept
FP1,ANT,22,3.0,MEDIUM,9.0,95.928,0.0,pit in/out lap
FP1,ANT,23,3.0,MEDIUM,10.0,78.716,0.3395585738539898,traffic (>30% of lap within 60 m of a car)
FP1,ANT,24,3.0,MEDIUM,11.0,77.349,0.4191304347826087,traffic (>30% of lap within 60 m of a car)
FP1,ANT,25,3.0,MEDIUM,12.0,78.032,0.1371900826446281,yellow / SC / VSC / red flag
FP1,ANT,26,3.0,MEDIUM,13.0,76.855,0.0,short run (<5 clean laps)
FP1,ANT,27,3.0,MEDIUM,14.0,78.284,0.0880398671096345,yellow / SC / VSC / red flag
FP1,ANT,29,4.0,HARD,14.0,105.735,0.8148148148148148,pit in/out lap
FP1,ANT,30,4.0,HARD,15.0,135.949,0.7325023969319271,traffic (>30% of lap within 60 m of a car)
FP1,BEA,1,1.0,HARD,1.0,102.318,0.0,pit in/out lap
FP1,BEA,2,1.0,HARD,2.0,89.561,0.0,cool-down / aborted (>105% of run best)
FP1,BEA,3,1.0,HARD,3.0,81.296,0.0,cool-down / aborted (>105% of run best)
FP1,BEA,4,1.0,HARD,4.0,83.474,0.0,cool-down / aborted (>105% of run best)
FP1,BEA,5,1.0,HARD,5.0,78.709,0.0,kept
FP1,BEA,6,1.0,HARD,6.0,90.365,0.1781021897810219,cool-down / aborted (>105% of run best)
FP1,BEA,7,1.0,HARD,7.0,110.442,0.4524089306698002,traffic (>30% of lap within 60 m of a car)
FP1,BEA,8,1.0,HARD,8.0,86.829,0.1969465648854962,cool-down / aborted (>105% of run best)
FP1,BEA,9,1.0,HARD,9.0,84.068,0.1265432098765432,lap deleted (track limits)
FP1,BEA,10,1.0,HARD,10.0,77.592,0.1230502599653379,kept
FP1,BEA,11,1.0,HARD,11.0,98.207,0.1543624161073825,lap deleted (track limits)
FP1,BEA,12,1.0,HARD,12.0,77.245,0.0,kept
FP1,BEA,13,1.0,HARD,13.0,86.155,0.0,cool-down / aborted (>105% of run best)
FP1,BEA,14,1.0,HARD,14.0,98.687,0.1693766937669376,cool-down / aborted (>105% of run best)
FP1,BEA,15,1.0,HARD,15.0,87.195,0.0,cool-down / aborted (>105% of run best)
FP1,BEA,16,1.0,HARD,16.0,87.167,0.0,cool-down / aborted (>105% of run best)
FP1,BEA,17,1.0,HARD,17.0,76.996,0.0,yellow / SC / VSC / red flag
FP1,BEA,20,3.0,MEDIUM,1.0,96.282,0.0,pit in/out lap
FP1,BEA,21,3.0,MEDIUM,2.0,82.466,0.0,short run (<5 clean laps)
FP1,BEA,22,3.0,MEDIUM,3.0,76.301,0.0655172413793103,short run (<5 clean laps)
FP1,BEA,23,3.0,MEDIUM,4.0,98.257,0.0228187919463087,short run (<5 clean laps)
FP1,BEA,24,3.0,MEDIUM,5.0,76.292,0.0594405594405594,short run (<5 clean laps)
FP1,BEA,25,3.0,MEDIUM,6.0,104.556,0.0460358056265984,lap deleted (track limits)
FP1,BEA,26,3.0,MEDIUM,7.0,104.789,0.5818858560794045,yellow / SC / VSC / red flag
FP1,BEA,27,3.0,MEDIUM,8.0,88.252,0.1255539143279173,yellow / SC / VSC / red flag
FP1,BEA,29,4.0,MEDIUM,9.0,96.461,1.0,pit in/out lap
FP1,BEA,30,4.0,MEDIUM,10.0,139.078,0.7855805243445693,yellow / SC / VSC / red flag
FP1,BOR,1,1.0,HARD,1.0,112.77,0.0,pit in/out lap
FP1,BOR,2,1.0,HARD,2.0,84.353,0.0671755725190839,short run (<5 clean laps)
FP1,BOR,3,1.0,HARD,3.0,80.179,0.0,short run (<5 clean laps)
FP1,BOR,4,1.0,HARD,4.0,78.516,0.1692573402417962,short run (<5 clean laps)
FP1,BOR,5,1.0,HARD,5.0,102.147,0.7506493506493507,traffic (>30% of lap within 60 m of a car)
FP1,BOR,6,1.0,HARD,6.0,78.583,0.0,short run (<5 clean laps)
FP1,BOR,8,2.0,HARD,8.0,90.28,0.08100147275405,pit in/out lap
FP1,BOR,9,2.0,HARD,9.0,78.393,0.1006711409395973,kept
FP1,BOR,10,2.0,HARD,10.0,106.403,0.1086419753086419,cool-down / aborted (>105% of run best)
FP1,BOR,11,2.0,HARD,11.0,77.911,0.0891938250428816,kept
FP1,BOR,12,2.0,HARD,12.0,105.572,0.2503176620076239,cool-down / aborted (>105% of run best)
FP1,BOR,13,2.0,HARD,13.0,78.126,0.3159663865546218,traffic (>30% of lap within 60 m of a car)
FP1,BOR,14,2.0,HARD,14.0,94.114,0.0572625698324022,cool-down / aborted (>105% of run best)
FP1,BOR,15,2.0,HARD,15.0,77.26,0.0136286201022146,yellow / SC / VSC / red flag
FP1,BOR,16,2.0,HARD,16.0,101.808,0.0894941634241245,cool-down / aborted (>105% of run best)
FP1,BOR,17,2.0,HARD,17.0,76.999,0.0,kept
FP1,BOR,19,3.0,MEDIUM,1.0,91.934,0.0118343195266272,pit in/out lap
FP1,BOR,20,3.0,MEDIUM,2.0,81.583,0.0,short run (<5 clean laps)
FP1,BOR,21,3.0,MEDIUM,3.0,76.261,0.1150592216582064,short run (<5 clean laps)
FP1,BOR,22,3.0,MEDIUM,4.0,93.633,0.0256045519203413,short run (<5 clean laps)
FP1,BOR,23,3.0,MEDIUM,5.0,76.439,0.0759930915371329,lap deleted (track limits)
FP1,BOR,24,3.0,MEDIUM,6.0,104.417,0.7595907928388747,traffic (>30% of lap within 60 m of a car)
FP1,BOR,25,3.0,MEDIUM,7.0,75.848,0.0,yellow / SC / VSC / red flag
FP1,BOR,26,3.0,MEDIUM,8.0,99.54,0.1441558441558441,short run (<5 clean laps)
FP1,BOR,27,3.0,MEDIUM,9.0,75.75,0.1640759930915371,yellow / SC / VSC / red flag
FP1,BOR,29,4.0,MEDIUM,10.0,106.695,0.0276729559748427,pit in/out lap
FP1,BOR,30,4.0,MEDIUM,11.0,130.031,0.0588235294117647,short run (<5 clean laps)
