session,Driver,LapNumber,Stint,Compound,TyreLife,lap_s,traffic,reason
FP1,ALO,2,1.0,HARD,2.0,100.083,0.0757180156657963,short run (<5 clean laps)
FP1,ALO,3,1.0,HARD,3.0,111.875,0.1784897025171624,pit in/out lap
FP1,ALO,7,3.0,HARD,7.0,88.728,0.0652818991097922,kept
FP1,ALO,8,3.0,HARD,8.0,110.09,0.0805687203791469,cool-down / aborted (>105% of run best)
FP1,ALO,9,3.0,HARD,9.0,87.393,0.0307219662058371,kept
FP1,ALO,10,3.0,HARD,10.0,115.464,0.0,cool-down / aborted (>105% of run best)
FP1,ALO,11,3.0,HARD,11.0,86.143,0.0948795180722891,kept
FP1,ALO,12,3.0,HARD,12.0,110.778,0.18854415274463,pit in/out lap
FP1,ALO,14,4.0,MEDIUM,2.0,85.78,0.0,lap deleted (track limits)
FP1,ALO,15,4.0,MEDIUM,3.0,143.96,0.0560747663551401,pit in/out lap
FP1,ALO,16,5.0,MEDIUM,4.0,121.02,0.0348314606741573,pit in/out lap
FP1,ALO,17,5.0,MEDIUM,5.0,86.254,0.1010886469673405,short run (<5 clean laps)
FP1,ALO,18,5.0,MEDIUM,6.0,113.369,0.0,short run (<5 clean laps)
FP1,ALO,19,5.0,MEDIUM,7.0,86.072,0.1947449768160742,short run (<5 clean laps)
FP1,ALO,20,5.0,MEDIUM,8.0,123.868,0.0,short run (<5 clean laps)
FP1,ANT,2,1.0,MEDIUM,2.0,110.23,0.0844079718640093,short run (<5 clean laps)
FP1,ANT,3,1.0,MEDIUM,3.0,85.637,0.1792592592592592,short run (<5 clean laps)
FP1,ANT,4,1.0,MEDIUM,4.0,131.473,0.0885572139303482,short run (<5 clean laps)
FP1,ANT,5,1.0,MEDIUM,5.0,84.515,0.0765625,short run (<5 clean laps)
FP1,ANT,6,1.0,MEDIUM,6.0,116.994,0.1107226107226107,pit in/out lap
FP1,ANT,9,3.0,SOFT,3.0,83.644,0.0,short run (<5 clean laps)
FP1,ANT,10,3.0,SOFT,4.0,106.735,0.3013365735115431,pit in/out lap
FP1,ANT,12,4.0,MEDIUM,8.0,87.372,0.1322436849925705,kept
FP1,ANT,13,4.0,MEDIUM,9.0,87.201,0.0494590417310664,kept
FP1,ANT,14,4.0,MEDIUM,10.0,86.973,0.0438871473354232,kept
FP1,ANT,15,4.0,MEDIUM,11.0,86.541,0.0211161387631975,kept
FP1,ANT,16,4.0,MEDIUM,12.0,86.639,0.0201550387596899,kept
FP1,ANT,17,4.0,MEDIUM,13.0,86.303,0.0,kept
FP1,ANT,18,4.0,MEDIUM,14.0,86.292,0.0,kept
FP1,ANT,19,4.0,MEDIUM,15.0,85.972,0.0,kept
FP1,ANT,20,4.0,MEDIUM,16.0,86.21,0.0,kept
FP1,ANT,21,4.0,MEDIUM,17.0,86.202,0.0,kept
FP1,ANT,22,4.0,MEDIUM,18.0,85.821,0.0,kept
FP1,ANT,23,4.0,MEDIUM,19.0,86.298,0.0,lap deleted (track limits)
FP1,ANT,24,4.0,MEDIUM,20.0,96.23,0.1524475524475524,pit in/out lap
FP1,ANT,26,5.0,SOFT,6.0,111.408,0.0,short run (<5 clean laps)
FP1,ANT,27,5.0,SOFT,7.0,149.29,0.0220848056537102,pit in/out lap
FP1,ARO,4,3.0,MEDIUM,4.0,128.45,0.4087136929460581,yellow / SC / VSC / red flag
FP1,ARO,7,4.0,MEDIUM,7.0,85.081,0.0,kept
FP1,ARO,8,4.0,MEDIUM,8.0,129.773,0.0121457489878542,cool-down / aborted (>105% of run best)
FP1,ARO,9,4.0,MEDIUM,9.0,84.979,0.054858934169279,kept
