session,Driver,LapNumber,Stint,Compound,TyreLife,lap_s,traffic,reason
FP1,ALB,3,2.0,SOFT,2.0,86.143,0.0151057401812688,cool-down / aborted (>105% of run best)
FP1,ALB,4,2.0,SOFT,3.0,78.876,0.0205128205128205,kept
FP1,ALB,5,2.0,SOFT,4.0,115.801,0.0660486674391657,cool-down / aborted (>105% of run best)
FP1,ALB,6,2.0,SOFT,5.0,100.051,0.0,yellow / SC / VSC / red flag
FP1,ALB,7,2.0,SOFT,6.0,97.858,0.1986394557823129,cool-down / aborted (>105% of run best)
FP1,ALB,8,2.0,SOFT,7.0,77.437,0.1162393162393162,kept
FP1,ALB,9,2.0,SOFT,8.0,112.96,0.0246768507638072,cool-down / aborted (>105% of run best)
FP1,ALB,10,2.0,SOFT,9.0,76.764,0.0738831615120274,kept
FP1,ALB,11,2.0,SOFT,10.0,115.738,0.0476190476190476,yellow / SC / VSC / red flag
FP1,ALB,12,2.0,SOFT,11.0,76.312,0.0,kept
FP1,ALB,13,2.0,SOFT,12.0,102.29,0.0065616797900262,cool-down / aborted (>105% of run best)
FP1,ALB,14,2.0,SOFT,13.0,76.408,0.063943161634103,kept
FP1,ALB,15,2.0,SOFT,14.0,94.004,0.0196629213483146,pit in/out lap
FP1,ALB,16,3.0,SOFT,15.0,119.094,0.0213483146067415,pit in/out lap
FP1,ALB,17,4.0,SOFT,16.0,105.187,0.0224159402241594,pit in/out lap
FP1,ALB,18,4.0,SOFT,17.0,78.736,0.0,kept
FP1,ALB,19,4.0,SOFT,18.0,77.668,0.0,kept
FP1,ALB,20,4.0,SOFT,19.0,77.933,0.0084459459459459,kept
FP1,ALB,21,4.0,SOFT,20.0,77.894,0.0,kept
FP1,ALB,22,4.0,SOFT,21.0,77.797,0.0,kept
FP1,ALB,23,4.0,SOFT,22.0,99.798,0.036144578313253,pit in/out lap
FP1,ALB,25,5.0,MEDIUM,2.0,75.357,0.032258064516129,kept
FP1,ALB,26,5.0,MEDIUM,3.0,122.447,0.1006637168141593,cool-down / aborted (>105% of run best)
FP1,ALB,27,5.0,MEDIUM,4.0,104.318,0.1388535031847133,cool-down / aborted (>105% of run best)
FP1,ALB,28,5.0,MEDIUM,5.0,75.575,0.0881834215167548,kept
FP1,ALB,29,5.0,MEDIUM,6.0,94.505,0.1320224719101123,cool-down / aborted (>105% of run best)
FP1,ALB,30,5.0,MEDIUM,7.0,75.847,0.0437828371278458,kept
FP1,ALB,31,5.0,MEDIUM,8.0,122.646,0.0,yellow / SC / VSC / red flag
FP1,ALB,32,5.0,MEDIUM,9.0,143.851,0.0217194570135746,yellow / SC / VSC / red flag
FP1,ALB,33,5.0,MEDIUM,10.0,99.329,0.0122116689280868,pit in/out lap
FP1,ALO,2,1.0,INTERMEDIATE,2.0,95.72,0.1598877980364656,unknown / wet compound
FP1,ALO,4,2.0,MEDIUM,2.0,77.631,0.0388513513513513,kept
FP1,ALO,5,2.0,MEDIUM,3.0,84.11,0.2762951334379905,cool-down / aborted (>105% of run best)
FP1,ALO,6,2.0,MEDIUM,4.0,91.477,0.5022222222222222,traffic (>30% of lap within 60 m of a car)
FP1,ALO,7,2.0,MEDIUM,5.0,83.094,0.1628664495114006,lap deleted (track limits)
FP1,ALO,8,2.0,MEDIUM,6.0,96.301,0.0926694329183955,cool-down / aborted (>105% of run best)
FP1,ALO,9,2.0,MEDIUM,7.0,75.766,0.0,kept
FP1,ALO,10,2.0,MEDIUM,8.0,102.657,0.0324675324675324,cool-down / aborted (>105% of run best)
FP1,ALO,11,2.0,MEDIUM,9.0,83.825,0.1109350237717908,pit in/out lap
FP1,ALO,13,3.0,MEDIUM,11.0,80.756,0.0,cool-down / aborted (>105% of run best)
FP1,ALO,14,3.0,MEDIUM,12.0,97.269,0.03382949932341,cool-down / aborted (>105% of run best)
FP1,ALO,15,3.0,MEDIUM,13.0,75.695,0.0,kept
FP1,ALO,16,3.0,MEDIUM,14.0,98.79,0.0121457489878542,cool-down / aborted (>105% of run best)
FP1,ALO,17,3.0,MEDIUM,15.0,77.005,0.0,kept
FP1,ALO,18,3.0,MEDIUM,16.0,77.48,0.0,kept
FP1,ALO,19,3.0,MEDIUM,17.0,86.092,0.0155038759689922,pit in/out lap
FP1,ALO,21,4.0,SOFT,2.0,74.511,0.2007366482504604,short run (<5 clean laps)
FP1,ALO,22,4.0,SOFT,3.0,100.189,0.0407055630936228,short run (<5 clean laps)
FP1,ALO,23,4.0,SOFT,4.0,99.462,0.2574123989218329,short run (<5 clean laps)
FP1,ALO,24,4.0,SOFT,5.0,98.215,0.5046854082998661,traffic (>30% of lap within 60 m of a car)
FP1,ALO,25,4.0,SOFT,6.0,82.647,0.0,pit in/out lap
FP1,ANT,3,2.0,MEDIUM,2.0,78.264,0.9553719008264464,traffic (>30% of lap within 60 m of a car)
FP1,ANT,4,2.0,MEDIUM,3.0,76.112,0.0541012216404886,short run (<5 clean laps)
FP1,ANT,5,2.0,MEDIUM,4.0,109.158,0.0933660933660933,short run (<5 clean laps)
FP1,ANT,6,2.0,MEDIUM,5.0,75.351,0.079646017699115,short run (<5 clean laps)
FP1,ANT,7,2.0,MEDIUM,6.0,109.975,0.2146282973621103,short run (<5 clean laps)
FP1,ANT,8,2.0,MEDIUM,7.0,99.274,0.383879781420765,traffic (>30% of lap within 60 m of a car)
FP1,ANT,9,2.0,MEDIUM,8.0,101.488,0.0945406125166444,pit in/out lap
FP1,ANT,10,3.0,MEDIUM,9.0,132.333,0.0789210789210789,pit in/out lap
FP1,ANT,11,3.0,MEDIUM,10.0,91.692,0.193033381712627,short run (<5 clean laps)
FP1,ANT,12,3.0,MEDIUM,11.0,93.387,0.0,short run (<5 clean laps)
FP1,ANT,13,3.0,MEDIUM,12.0,74.269,0.0123239436619718,short run (<5 clean laps)
FP1,ANT,14,3.0,MEDIUM,13.0,115.989,0.048780487804878,yellow / SC / VSC / red flag
FP1,ANT,15,3.0,MEDIUM,14.0,82.665,0.013029315960912,pit in/out lap
FP1,ANT,17,4.0,MEDIUM,16.0,75.889,0.0,kept
FP1,ANT,18,4.0,MEDIUM,17.0,76.393,0.0,kept
FP1,ANT,19,4.0,MEDIUM,18.0,76.14,0.0,kept
FP1,ANT,20,4.0,MEDIUM,19.0,76.106,0.0,kept
FP1,ANT,21,4.0,MEDIUM,20.0,79.359,0.0,kept
FP1,ANT,22,4.0,MEDIUM,21.0,76.438,0.0,kept
