event,compound,n_prac,n_race,naive,predA,predB,obs,errA,errB,err_naive,prac_E,race_E,degB_per_MJ,seA,seB,energy_source,gate,ratio,k_loo,predC,errC,k_glob,predG,errG
Australia,SOFT,75,55,0.076029888176287,0.02054453147111701,0.025049379405352713,0.06116481356133071,0.0406202820902137,0.036115434155977996,0.014865074614956293,75.03099075606697,72.85504717394838,0.0003438249013214545,0.02681692513475429,0.03074617903328995,telemetry,ok,2.977182207699437,1.0,0.02054453147111701,0.0406202820902137,0.4856155595285479,0.009976744145598349,0.05118806941573236
Austria,SOFT,62,66,0.43615978302460146,0.13932450580678335,0.15804097209937876,0.06765814784339952,0.07166635796338383,0.09038282425597924,0.36850163518120194,52.698516351279146,50.32208140129741,0.0031405889362776662,0.03623344316047919,0.03770045257332193,telemetry,ok,0.4856155595285479,1.0,0.13932450580678335,0.07166635796338383,0.8571460559680516,0.11942145065198226,0.05176330280858274
Austria,MEDIUM,140,295,0.12142918611667003,0.1600034318374206,0.16770549940327184,0.0759061684076201,0.0840972634298005,0.09179933099565174,0.04552301770904993,52.79489284055459,51.99487126556971,0.0032254238797264634,0.01745551755954157,0.01722235784080655,telemetry,ok,0.4744033770772387,0.3885672221201616,0.06217208903875915,0.013734079368860952,0.8571460559680516,0.13714631054079807,0.061240142133177966
Austria,HARD,77,408,0.10914548511376726,0.06720102525859062,0.0893708312668754,0.07864838446770328,0.011447359209112662,0.010722446799172114,0.03049710064606398,52.81552191750488,53.41984374782375,0.0016729893799158901,0.0283378417373939,0.029888376685777006,telemetry,ok,1.1703450083546054,1.0,0.06720102525859062,0.011447359209112662,0.8571460559680516,0.05760109375741036,0.021047290710292918
Barcelona,SOFT,114,39,0.321938165107397,0.21991107711706254,0.23065034029335604,0.21272886483044284,0.007182212286619694,0.0179214754629132,0.10920930027695414,69.14052191599649,67.65882484834252,0.0034090207864289623,0.026908826214521477,0.02700360668516906,telemetry,ok,0.9673403796626557,1.0,0.21991107711706254,0.007182212286619694,0.6713808077482998,0.14764407658765208,0.06508478824279076
Barcelona,MEDIUM,126,118,0.36916130456203716,0.3078675887552009,0.32799117796416627,0.13215226427199384,0.1757153244832071,0.19583891369217243,0.23700904029004333,69.20609188332791,68.03220967575332,0.0048211160496975936,0.02251170848616094,0.022935825575216263,telemetry,ok,0.4292503306578138,0.4111437453298741,0.12657783350649074,0.005574430765503097,0.6713808077482998,0.20669639041798818,0.07454412614599434
Belgium,SOFT,69,27,0.11409468723221548,0.15927900375949378,0.16426085174318614,0.18567753385639635,0.026398530096902573,0.02141668211321021,0.07158284662418087,91.4376759755525,89.7364557787829,0.001830480715085514,0.03773208907078297,0.04010050288587449,telemetry,ok,1.1657376645622641,1.0,0.15927900375949378,0.026398530096902573,0.6713808077482998,0.10693686620139341,0.07874066765500294
Belgium,MEDIUM,56,29,0.21385561497326136,0.14717308830692702,0.15185855937229942,0.04979134696509391,0.09738174134183311,0.10206721240720551,0.16406426800816745,91.4440178090206,93.54231254219084,0.0016234210513430048,0.036780728049062975,0.03984456809968152,telemetry,ok,0.3383182858897062,0.45182685386752625,0.06649675346368646,0.016705406498592548,0.6713808077482998,0.09880918690631652,0.04901783994122261
Hungary,SOFT,80,136,0.5422890199231624,0.13693894435969156,0.15324273257363064,0.04125650046932626,0.0956824438903653,0.11198623210430438,0.5010325194538361,66.59920658997997,65.37033585929868,0.002344224342115453,0.0391652998140006,0.04256257989235979,pace-estimated (telemetry degraded),ok,0.30127660660914407,1.0,0.13693894435969156,0.0956824438903653,0.8571460559680516,0.11737667606633809,0.07612017559701183
Hungary,MEDIUM,159,82,0.284865421171148,0.12160384429140692,0.13265720930657066,0.042304045579541594,0.07929979871186532,0.09035316372702906,0.2425613755916064,65.54645444618963,63.514097295120855,0.002088626225610568,0.024185614116610885,0.02458089112695234,pace-estimated (telemetry degraded),ok,0.3478841135825094,0.45182685386752625,0.05494388238438293,0.012639836804841334,0.8571460559680516,0.10423225552493251,0.061928209945390916
Hungary,HARD,57,330,0.2095595165549486,0.05161923675885305,0.06286114715055671,0.060776937391395086,0.009157700632542037,0.002084209759161626,0.1487825791635535,64.84107193835838,64.95974104337357,0.0009676939307468047,0.036692286222914684,0.03997302071155431,pace-estimated (telemetry degraded),ok,1.177408679545643,1.0,0.05161923675885305,0.009157700632542037,0.8571460559680516,0.04424522519993196,0.016531712191463127
Japan,MEDIUM,135,161,0.26412632509290335,0.0445878053832498,0.05163272943687386,0.038218261528523624,0.006369543854726177,0.013414467908350235,0.22590806356437973,89.42904428775644,87.2834926786091,0.0005915520547166153,0.028116971566614753,0.029025464872726604,telemetry,ok,0.8571460559680516,0.3885672221201616,0.017325359678203762,0.02089290185031986,0.4856155595285479,0.021652532059336854,0.01656572946918677
